,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,0.6703958501872813,0.06206820261082336,0.07631718845689366,0.12683924574437336,0.21788692658193617,0.12342819446662029,0.008293337567858253,0.0352148432955574,0.574628196697765,0.0807003556624715,0.3090668861672891,0.02527763781249398,0.05657875763661587,0.11097739767840474,0.0668190273444745,0.2519980393546345,0.13002443126740487,0.056660457938745586,0.07313990216008101,0.09422967700611883,0.2118811588804592,0.16018973394788788,0.04928723885509197,0.21408901925148496,0.129164676981695,0.0545519623998635,0.11911154468892739,0.03468427508264473,0.02228362892094003,0.04145765156255895,0.06701661833113152,0.11497901681580452,0.07995049139305822,0.16504292288024552,0.11598838135248464,0.1549998349587934,0.048866585500635155,0.13186382143293848,0.13669809700060406,0.31086722098312125,0.21035266675980901,0.07478334784504052,0.018692848637330825
ace_Latn,0.13488398466339319,1.7481540969547735,0.05204316122378878,0.06656837569795829,0.27840521808388435,0.6002269896826117,0.03598915297447373,0.04477602651430166,0.3159125507224002,0.7668623860731353,0.5296926642944114,0.05326709444091823,0.03608580102900677,0.0048662577994841956,0.09028800467559589,0.45128781323534994,0.0590325740593165,0.18777856412892224,0.000267428735755566,0.000458491914697916,0.05011668933802781,0.0768619603378699,0.17962751228469057,0.06953601109111399,0.04946707011954185,0.006478979080051683,0.20970574081948828,0.03578449321995444,0.07687862921398664,0.042092822115906675,0.15753910226613607,0.04975172012540842,0.023199473677176393,0.023322815578528173,0.04755605517013345,0.08188771716563178,0.0017124704740302424,0.1001978592352074,0.18828142273339213,0.16882866344300687,0.09738739968595597,0.053721134707297245,0.21753381681154432
ary_Arab,0.2574708779882586,0.06161864644403922,1.03975895134605,1.1060614729265221,0.09772591728836418,0.20716112363796788,0.002159874190023967,0.06195768018139083,0.08757426468030313,0.1526328416206271,0.43046635561598146,0.04649353907609136,0.04543053206899937,0.08683026262737167,0.1729078926459164,0.1655527530261744,0.1383712319685923,0.07878712048691403,0.04641805343830151,0.07060239760309608,0.23661233397984974,0.17955013047544804,0.11559855050579966,0.13341121945377468,0.1594002425455584,0.05233071242632248,0.16335894412312418,0.029077463034815128,0.029631880467045575,0.05583039379476446,0.05248503144152987,0.062126013223531396,0.10113396091381215,0.24426819817292247,0.20731680616407228,0.23947261870539427,0.035332769828148834,0.14526859225300726,0.14975248741600183,0.22321466929989073,0.206977447155142,0.08422089557331501,0.037893033914634305
arz_Arab,0.17807159617880194,0.06368037967738513,1.003170251567467,1.316708426882653,0.09657764157195785,0.19798183747430922,0.001496266344281412,0.05242851803146332,0.07364313875010091,0.14473769327162347,0.2855525375812051,0.045014649335649075,0.042151833945266275,0.051276251685826266,0.17249941689124823,0.17768408541802655,0.12730619528090129,0.07687856581564174,0.06659661209897512,0.11999737923175652,0.1809906498969814,0.23153543364128598,0.09889346384202838,0.14433243413136732,0.16471393621837968,0.04206120400028943,0.1616669195540393,0.026176332815159173,0.01966435398033473,0.05399392288813307,0.053713020233885904,0.0625361421117256,0.10275031825183474,0.29428012977783896,0.18964139070078462,0.24152471229706268,0.034165334333265476,0.13484436195641014,0.13388149172267927,0.22410527629945415,0.2058434266865134,0.10028047920376054,0.02879671563933962
bam_Latn,0.17680950132758372,0.2273880258616102,0.07427787260293285,0.15694875460202498,0.5809941102242518,0.34129929487378274,0.01845196278986186,0.13074964587696944,0.1856909561057687,0.23434582925511016,0.3174347649582137,0.34754941929424293,0.1785821292915646,0.011070983692197224,0.194322621932912,0.4178450219745965,0.22599329917588099,0.1238871880690615,0.02675717098050631,0.053241719118042825,0.2262738431012833,0.05777094399019872,0.38625265128088315,0.12490233500676619,0.14151739878996386,0.1480469395614218,0.16357861751930422,0.054666840741639376,0.11807609777381012,0.07408112958150029,0.11411950150873441,0.11374897889615554,0.0031560467679243747,0.03417352970322667,0.21434223097594315,0.12052444292560775,0.018026437516139474,0.1312674548805349,0.4211211524498576,0.2905110021210175,0.1975244587231663,0.22109537736757975,0.1923753909165828
ban_Latn,0.11709487578604943,0.6293135611924843,0.05771619850485042,0.06827209121610445,0.3766049594144343,1.798058162411727,0.029714748207790517,0.02038210281397642,0.25069298172017646,0.9896042835004882,0.4492879544473442,0.06550124040563629,0.07084545480290926,0.006364175300892955,0.18523412260839886,0.31217605915338353,0.01606948612385437,0.19061953205181276,0.0025774252644443036,0.00038526862636338593,0.04934165918089599,0.05231680292436301,0.17190373242437118,0.11321080243553582,0.0911870610639018,0.00900677189875429,0.16068314463138944,0.06280689515745239,0.06690936251670072,0.05969351198997029,0.14954286788203758,0.05442933218253185,0.02506263867774931,0.014895772799457141,0.034370155561330246,0.08496156171538609,0.0035234158981647724,0.09995674314166166,0.14461888924905134,0.20792160505080617,0.0831484799086277,0.03313837777922069,0.24094067749872775
ben_Beng,0.14714444106654634,0.11602732312060655,0.05557023062700739,0.11433032411725705,0.20890625915254296,0.22581255612222087,1.7452756011334358,0.08461130457330882,0.10055304101481982,0.12420240805721193,0.2931888074827025,0.04208520643377361,0.0746487030510139,0.1096735686029384,0.1855250752138047,0.363242169445889,0.16705591411589804,0.1019885663591169,0.07458942295752034,0.12091103958018107,0.22907772686499103,0.09644069328178967,0.17318842956054903,0.21744007808484525,0.16308177748116537,0.07275103840834354,0.15208776298689058,0.04202317929545533,0.6763931126402302,0.06338486396640682,0.01830535182198278,0.15360420932375393,0.07801968579965206,0.1479071863729052,0.2322921825088227,0.3127402855610259,0.06326399357640954,0.1649298980763135,0.13228553614019264,0.30868666291662983,0.20521932674162616,0.1318873677691436,0.10127922361433936
bho_Deva,0.12558478516508403,0.11269006005364601,0.05254214118174184,0.10825804502968872,0.2241742521544532,0.20509595922858695,0.009540054116433794,1.1464631579703863,0.19980058528120728,0.12450818565791667,0.2473824528513142,0.04662447009056536,0.09781281252194761,0.12050649784202874,0.2261710810369711,0.3631484858625672,0.17185832873857168,0.9497719174326384,0.07365398156387297,0.12487850526925377,0.38173608085904903,0.12355063395636484,0.11171446010153377,0.18474879920067036,0.2451073899110671,0.06983895422102201,0.15653100908791961,1.283505351861518,0.06198637031966195,0.08546934093165925,0.009603434329806822,0.18814677100079213,0.09801506971454473,0.13134997479680205,0.2159964928446499,0.3940667095640023,0.05873557518915462,0.1407042908722868,0.11560309757932519,0.28479129421630484,0.20329341001167633,0.12637150918037732,0.1566747607193616
bjn_Arab,0.39701720042259603,0.04221897779892587,0.09072988753820396,0.1790056095667304,0.12298473588323616,0.07651014521996388,0.004064376516046284,0.032111648755469235,0.7602376790727233,0.08546060053071733,0.36580665909664023,0.021140633619537115,0.037428461120784615,0.07153261087093948,0.08234283289062273,0.17005329155773952,0.12815650294183006,0.06964729333080111,0.04777279634182537,0.08071143356755402,0.21405763078622086,0.1939209841400778,0.04659816588503681,0.1954411361374954,0.1252181570144313,0.0503892557322534,0.12304321326878964,0.031129478844369833,0.0211654039176112,0.03817019991283647,0.06379571198796818,0.10234973587648842,0.06571714786116538,0.11180675969705425,0.10998875087766946,0.15526766608032216,0.03688000439276585,0.1334143693330111,0.11065387947010837,0.2496081471636113,0.1798643628262557,0.054756035737652586,0.012838002694983789
bjn_Latn,0.13706706118879883,1.035571069866184,0.05012604518303456,0.08951152680550264,0.3535205691973473,0.8909042611508555,0.024341711234415548,0.025216011157989996,0.157382471325181,2.148969093025053,0.43755572908297935,0.05261018689366584,0.055517862876889576,0.004193552239938531,0.11771799117844081,0.3518361166642731,0.04106897601457555,0.1642720620860785,0.00014936776284476378,0.00010758876560911709,0.07909408601185049,0.07567180869207496,0.21037486472603414,0.09216957909905538,0.03828406224645725,0.0061209989904515835,0.1926729204344689,0.05894052632545622,0.0641190341183854,0.07094361156503547,0.17316590684923094,0.02614589903068794,0.02381889649795241,0.015303902862069695,0.04314764346710348,0.031630883525625014,0.0058171987389923855,0.0733835117833481,0.11730467734030545,0.27015956455447354,0.1138748027314808,0.035200916192867145,0.3414815019159457
