,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,1.9956134630954807,0.5524443285974652,0.0,0.0,0.5049850756910566,0.0,0.0,0.0,1.8873453607726844,0.4497396563145326,0.14300443987012734,0.13825334218900043,0.3314610739424868,0.16913142492189337,0.19174440335348564,0.46025482300439435,0.12149395326088452,0.30944475054169907,0.4535923756410689,0.0,0.3395019867621354,0.3899419843449703,0.11170378187272778,0.7748283443593706,0.6371080402477265,0.7725280600755013,0.5964156525896129,0.2666681003021214,0.11087898639126514,0.04388048894364793,0.08346850729662059,0.5392281298222237,0.0,0.34458590494749863,0.9191105119786815,0.07741259860038419,0.39877297601745276,0.9426041976617974,0.35565262258923624,0.7647613599643712,0.794634310661456,0.9908543928797737,0.12305141309433498
ace_Latn,0.19759818287414266,6.179783530880243,0.24149254450381097,0.1364385709801761,0.5998371091129968,2.3947213715401876,0.07187179964438517,0.19314301256791033,0.5614970178180378,2.777769235273796,1.0057273904446706,0.3722173111248068,0.4986281865919304,0.06728037283657251,1.001597496180815,1.04149166995788,0.5307035367575015,0.5161951070291639,0.2575844062935144,0.0941311655126933,0.17042675599042578,0.23814848213994377,1.1268649107733895,0.8243623534608604,0.8106566337061398,0.4758439267005148,0.8178926625846756,0.33516301752013344,0.192722696784557,0.6678014929792893,0.08665292427470916,0.48980639255785263,0.09671062737726288,0.2115057261671085,0.5862297992166141,0.4674036153010239,0.3800865658348225,1.0045918296670973,0.804581435938375,0.38545535302020273,0.3592444569170663,0.7111891420439314,0.2850981905077319
ary_Arab,0.37099017978566096,0.6569094150339474,3.2299731176868125,3.636602711967152,0.29765228143985567,0.0671044423017193,0.0,0.0,0.017095969317868054,0.7555493576704215,0.31668886672659013,0.2725241900391673,0.3934378756269039,0.036210163564508235,0.21570543973555978,0.6090841392998012,0.29245127973199203,0.15785953624624405,0.5398042683558053,0.03483799395735154,0.4809372783827648,0.46530993177482216,0.31194803416122685,0.7092256872721769,0.8254194812333449,0.680257502721874,0.7917413040862087,0.3111769556096302,0.1265588942067497,0.19025644678277764,0.17118202484150835,0.4884876280105699,0.4067095829098095,0.9372000069706843,0.7351989115751358,0.4816341180084578,0.3275646998026165,0.7158597388737249,0.5462545271609027,0.2577386433424991,0.6500440128985172,1.0484668371892045,0.18456197679989028
arz_Arab,0.2067592163781402,0.6671435208929779,3.1404006036419148,4.582163326350765,0.3340632038462932,0.16083093766948053,0.0,0.0,0.18230513557788797,0.7072526774237531,0.27373320516076305,0.2965121339985153,0.3425815935941774,0.033671287163467234,0.127310126255626,0.4135034197841616,0.3202049941371303,0.13611091436582967,0.5339937530122665,0.25552646075992413,0.33700083741087106,0.45455157761173126,0.21615728564177505,0.6811553417137954,0.7562865204167242,0.7342894458358522,0.6689954591496825,0.2486081466085892,0.07825534212920182,0.22828263876473187,0.1788516502849955,0.3652965760222928,0.23831192069125695,0.777393204389984,0.71719531282384,0.5053902420692289,0.3345071178997774,0.8113406279878284,0.48973322288735766,0.1710408996398627,0.574106775722873,1.0172561191925453,0.22796449773212313
bam_Latn,0.23563519862043236,1.623247623267062,0.030090001646494002,0.2549149997128115,2.1012394095184863,0.8076550952814259,0.020210530619741984,0.3603779525492907,0.49360777820698054,0.9600018826077505,0.6618775170453723,0.44236040909820495,0.90204871761257,0.1079325046660582,0.35706441647583986,0.964449211311333,0.5084288519988309,0.09973746783335713,0.32310757221470965,0.07738155028567384,0.26511123900541467,0.42694076865082486,1.1684788786710794,0.6929911644563269,0.8975880441931867,0.4369302620637363,0.3970815728751127,0.12339980733544387,0.16012459266035872,0.5750435245157126,0.0,0.48218271104686483,0.0,0.23818502650108542,0.7226209756046131,0.6636175514993274,0.40816647027264263,0.8380827621513731,0.895930220049804,0.5674313867797132,0.6456573969791872,0.8865262900720499,0.32407662222707323
ban_Latn,0.439396134992168,4.1434976947493265,0.2790982278377472,0.29183840142551887,0.6244347183145118,6.240863143953998,0.17614840317653702,0.16017823782589335,0.5923436577991463,3.902476982708043,1.2961479393907496,0.4786090857969727,0.6168311897681349,0.0358451390568284,1.1711571919755812,1.0570083148532259,0.42719348850859795,0.5942825210556464,0.33229572659876405,0.11751920038965036,0.07908018528528427,0.1714420856664205,1.3458175569803332,0.9861273000065962,1.223558134222122,0.45866490671211,1.1045295671354172,0.31379407983585317,0.22531811407660163,0.7857897131968379,0.140132962582598,0.5086000703181712,0.0655560242427149,0.24542465839930383,0.5129850081592062,0.507912782240977,0.5545480365690372,0.9400494875924492,0.7505167324397322,0.5821304520987649,0.40385032648480035,0.8689026336618717,0.32935764616330765
ben_Beng,0.3455336714627748,0.6559350437646891,0.15636964096919037,0.19309503052501142,0.628988971146061,0.11773399886950209,6.951632100069203,0.20750879067222527,0.41596763526109903,0.7710978626393032,0.3025670146640618,0.1678088868771379,0.48337032911553734,0.41950965096551407,0.515323811032534,0.8302507474058736,0.37587235651899675,0.3977699489127815,0.6148670486624699,0.5994762723532006,0.5355605286409677,0.19196911391589122,0.47667076524276997,0.7990081923657861,0.8151429700408777,0.7857726714941098,0.697596012362883,0.4116297133956639,2.5541645714858348,0.24442922248164045,0.0619550847764323,0.6306101922063938,0.0344584877265941,0.584963440416935,1.1075820200192688,0.34109997128427416,0.4237358461640852,1.1466826759100925,0.5343329505508354,0.5702019390280508,0.8692957943904407,1.1198019541971789,0.38925164855221794
bho_Deva,0.44569326387870944,0.5240322552013161,0.11277420728969201,0.0,0.5161677040617647,0.0,0.07069786374732567,4.293910513064626,0.3503871629473352,0.5194341610584647,0.17177599785026842,0.16490011990342346,0.5055038699987771,0.3109601656503127,0.3004636060318244,0.5412169128134483,0.36947414732396844,4.359748565081034,0.4275342511040261,0.361049453242277,0.8357966025933425,0.2506407361689469,0.3129136766368408,0.7124059499876854,0.8198573045801716,0.7248653667064193,0.4837109021360213,6.012923422014602,0.04680730935921407,0.2572902234948433,0.0012767004239142565,0.553076248738563,0.0,0.4284524212230334,1.1696756328625906,0.4182494132790371,0.41836800868325597,0.9169393068061442,0.3153062726696394,0.7671603785993888,0.661831227645818,1.0164022783716593,0.4220133572886633
bjn_Arab,1.278072726208789,0.5702743954776199,0.014561876895708536,0.08538107065560574,0.29132913692817297,0.0,0.0,0.0,2.8388884928821536,0.4530211287170385,0.14730802002306653,0.13718565306861663,0.13853555790440097,0.0,0.06258611437861994,0.37675157068500553,0.15174054273730064,0.1397645323807737,0.42986022238963173,0.03887058234145968,0.29758238544262205,0.5840382012910403,0.11752924814313026,0.794779658957605,0.6036412886227307,0.701364718897171,0.678220675721791,0.2571569586837654,0.047836040528057566,0.032283173634056084,0.09684012519169194,0.47025783634565776,0.0,0.2767699418212253,0.6613440398131925,0.1159719086049158,0.23932641341885486,0.7517468317247165,0.37963432625558724,0.33769534909965593,0.5934718855080234,0.8930245532035386,0.17762390326913202
bjn_Latn,0.2794943642968333,4.269979774539861,0.07524038632640195,0.26075055966781235,0.5975876424306481,3.1872190873860102,0.11585499574867075,0.20216041602861567,0.642927738024829,7.483879504845291,1.2788054683675139,0.5266267896868735,0.5223255088850616,0.06538337255457138,1.0544413816513085,1.0646723674650165,0.6125858904017782,0.5425528171142,0.3994733701026991,0.08687417567863776,0.14391668195716,0.20386986277725772,1.284922407220475,0.8275454837370564,0.939059428834736,0.3606402417553154,0.8271803610959712,0.28365097269312933,0.1974853255071034,0.781014036872044,0.11092502998354004,0.36030535894490257,0.05853305227603656,0.20408621669723948,0.5319784876578266,0.32285492595881626,0.4637597489524836,1.0176463457894522,0.7964511815737279,0.4030002711796188,0.3985284427545768,0.9442092215808549,0.4218358123156065
