,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,1.221813772912907,0.2320062604777723,0.31362193066590865,0.28952879567075585,0.25723410134499713,0.2179742909024085,0.02497349600416142,0.1383213889807066,1.2499459314934025,0.3228656667410766,0.24564061454904074,0.05522222365204224,0.44699490100377365,0.36513951152496166,0.1143143640535423,0.4333968804825948,0.22751278258101265,0.19579494749650356,0.18456452588905897,0.20394474852872665,0.574979553816998,0.16191517559867713,0.04583128592929495,0.3141808771249835,0.37501442701021614,0.142303805077212,0.3790317723961267,0.12077648761239622,0.11263783392959495,0.0979073551169005,0.13392048886548674,0.2671399460169492,0.23121875192895888,0.40053189420300533,0.33233992185806427,0.5174219517962778,0.17400409654597715,0.31047240008178173,0.19457570538464422,0.16805257834480974,0.34184945463401584,0.20809884416361207,0.0980749735325408
ace_Latn,0.37535726006287284,3.367263332191357,0.24599053211267413,0.2945733936887662,0.37732325289700874,1.6621333755996819,0.13675261219464632,0.2637376301206945,0.5821666393166888,1.7331304686993663,0.7977394253939072,0.3389797445738445,0.44484391976292686,0.07855126765707779,0.7703314418416143,0.8836807738193662,0.4012919184514097,0.4733811729084504,0.2078569560554798,0.12688465341120672,0.1657622208049597,0.09285206331613528,0.8256007991026415,0.6887172927693558,0.6400148208731545,0.21310996848669878,0.6857734852691476,0.36970297820434267,0.21009156899300163,0.5769159895813497,0.4525198535985913,0.3494377549294577,0.05401181313223764,0.2897007693575096,0.4134972289705535,0.6583353388397067,0.28167204148036495,0.7312342247658873,0.7720277401220378,0.375986608431545,0.1628955118361782,0.5545136620442129,0.44892993276984267
ary_Arab,0.30247091321357156,0.3691349629406658,1.8846766952805931,1.9423597899664344,0.20407421005175574,0.3987865365931446,0.032431289550136896,0.2017528135622023,0.22544320858633315,0.6898905599844303,0.31366951012013794,0.137127818517127,0.37376565853609783,0.31800462465649115,0.2943318125851351,0.42668524250212014,0.31531713442287096,0.22579558955013057,0.20418881472043343,0.24244845295540451,0.5504511269180977,0.1615151393540202,0.2504077127221131,0.2984405642522734,0.6657029964371856,0.22375957253745116,0.4863055504914483,0.13650146734302002,0.16018044837650444,0.2162053907849204,0.1392438192165567,0.16058067270580084,0.2519798348070054,0.5871978358182632,0.5032245084336553,0.7761630038970629,0.24176343630142003,0.5043867902838214,0.3928301777484432,0.14020524567669268,0.3076003700086791,0.28865168667370106,0.1974771017383914
arz_Arab,0.2840306368338347,0.29568938124105665,2.0020111394968265,2.365229615005604,0.1891743253189792,0.37542760733690744,0.038114875172972365,0.19996029962004755,0.1524923575807516,0.6036671937493231,0.19828033557803154,0.0911459819281687,0.4106892819413348,0.26550230754727205,0.3106995669622127,0.26434601638543653,0.27945812433256934,0.22060027978614577,0.22352696900564212,0.22100957998407636,0.5079837682304137,0.28731974949004374,0.19121941474360754,0.3469371937179031,0.5810375526792756,0.19148052068231036,0.5245770439032462,0.13001123969461928,0.14354396802414657,0.2083311041191552,0.1333999388110657,0.12948969293037543,0.16436074310026613,0.5124496376948503,0.45574592157825256,0.6845867235111571,0.17561251718485368,0.45453869261140717,0.3789137030852437,0.1331696396144483,0.30707966706264456,0.2842024700091709,0.17571065387011564
bam_Latn,0.39864413194189324,1.1876941993852153,0.2691357544179164,0.4169607699900028,0.9769331929895901,0.9114195191723166,0.05853995175062853,0.4805440573662195,0.38961091887604793,0.947071553268989,0.5474429928432649,0.4981234529024047,0.6815987815058764,0.12681038151075066,0.6008413059893023,0.97266723715581,0.6042080840236815,0.3729786197793336,0.3050410479337823,0.1930262188472044,0.26427952313986214,0.054176299009679046,1.0167050005132106,0.6876320277527044,0.8343471171969039,0.28335692541138663,0.5807263565257536,0.1825263418905257,0.2478696656645483,0.6738653842295479,0.26069514055098264,0.4777189983635966,0.08996536429738793,0.3484946836343766,0.6551550478306015,0.8337671044793726,0.2875619185486557,0.7173300925752851,1.0614076649793907,0.4801030095339039,0.3163012500998112,0.7554484445321547,0.4270169489623663
ban_Latn,0.44184940660852,2.2429610164248115,0.35534871996653655,0.34658732544015824,0.5168280953038832,3.446209887957585,0.12089521449279944,0.20534107949756253,0.6001955306045177,2.1797344695866863,0.8799208501411973,0.3358684865335866,0.4796992510367083,0.08357208477071523,0.9810350405118128,0.788546559390429,0.31905074698947494,0.5412722571930387,0.30285058754316546,0.1710211527601948,0.15307957296878144,0.08052658032097672,0.8903100958416857,0.7805726256457854,0.957645909077558,0.27811793063696416,0.806281744322527,0.44553848112662875,0.16004445220156496,0.7486189414118284,0.5151856426464478,0.3105918416727234,0.04331993734505469,0.3221880195406119,0.3386459860484882,0.6507946731850263,0.34745350769645583,0.7109072063421372,0.6553998661647629,0.42627117399650183,0.149540480878771,0.5461605903867672,0.608984453864975
ben_Beng,0.33281224154831707,0.4811099053572433,0.1222625503970769,0.3203086800955647,0.5129071050754762,0.4368232783176106,3.5542021921567155,0.25102786023426626,0.15140014804010826,0.49877978532134865,0.3695351908592939,0.13644655168268516,0.48600163453152395,0.3348040729463459,0.29134905517540377,0.6618501141199358,0.35829774249607205,0.26110725323775646,0.20135506020455632,0.3432086387114742,0.5057455084839166,0.09295005856523134,0.24688416527784288,0.4215093599181661,0.5244571390635634,0.2058568908264952,0.4844512491416849,0.21771936181879,1.0800241397759096,0.1946444306243255,0.07552505583992662,0.47507086967951007,0.27619130678702936,0.5618318650598461,0.5850681772431175,0.8433821286686783,0.26499630925510254,0.5575830001882787,0.35335454700500857,0.27882355819530646,0.29635682002442265,0.44777014858275144,0.23707051342351995
bho_Deva,0.3076696712879813,0.3507674640237683,0.14682028076445738,0.2558869669028792,0.3773949162510841,0.43359544618862295,0.03617345829917813,2.154551675928063,0.33394050993093766,0.530875360802356,0.3536319740510828,0.1045146890332786,0.45853382276545757,0.38816327373463794,0.2927292586071202,0.5531551794756774,0.3771390791356465,2.631380216399175,0.15411422338247757,0.3135342954641187,0.5810213030555155,0.12212296270232026,0.24131999094614123,0.4444513771953526,0.62718968460146,0.19587038700536985,0.45195495899176885,3.300379283080266,0.22083664643123044,0.23812150861716094,0.04861680625656476,0.4289644607933902,0.26655354598705366,0.5890654614391445,0.7302962804028861,0.8603095222112447,0.21257096275519988,0.49445915192401424,0.3417848714705948,0.27003469628559346,0.3305614960832143,0.4252840581470658,0.22665850998402035
bjn_Arab,0.7771051935267163,0.16354796693321413,0.3415522431321837,0.2585927895637961,0.2921628042547329,0.1895360866266082,0.03914547850780694,0.10965228898771974,1.3359227604730817,0.2906056172550632,0.2570560852952198,0.04709355815451156,0.358130403884812,0.33778252796349795,0.12284942384109448,0.3478123284751857,0.21788726025995012,0.20465290560986488,0.1458990412264951,0.18044739107701196,0.5030130493339005,0.20112452787210194,0.04356609014956813,0.30015188521828173,0.42986630942196213,0.16866999211252542,0.38214552570857996,0.10846079119673946,0.0976669025364003,0.12233190371198732,0.11043044935372205,0.189237505591469,0.1434805381337388,0.30879748683733377,0.3178068048469313,0.4092620050485688,0.16691792664773591,0.29010858107880694,0.2172536651635211,0.12747711423321825,0.28747825828909224,0.1343687865428328,0.09804660022152138
bjn_Latn,0.28227166427299777,2.4844138204304627,0.3188562276998561,0.4561793440393051,0.4754781617319198,2.2999422834638756,0.09740594876114395,0.20806312934386548,0.5082568720728766,4.044178405007419,0.9524592269643879,0.3798818854964942,0.5384379731618943,0.07587051531562479,0.8513910885345347,0.7790943482960861,0.42432869258498696,0.5013027757960259,0.3173626238218679,0.14471576232172256,0.2105709819751087,0.08441808150252247,0.9375996925371499,0.6688743767897279,0.8358868729382457,0.25743423339650756,0.7883671773502231,0.39735487828750093,0.1131094038617985,0.7759194103528959,0.4724678414131761,0.2510486633796264,0.0503132295792728,0.29244508698466165,0.38868823939059755,0.5889190113312743,0.4020384937833729,0.6728832481000516,0.6354537171119939,0.4024598473223866,0.15572980398842054,0.6202011028130189,0.633805977190338
