,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,5.3487912854066915,2.573602514219473,0.9838604610158496,0.595974537748855,0.8548870209176594,0.6506863512273718,1.4982567333618115,1.814296357745989,4.087608218675427,0.9340129174415653,1.864436706292085,0.3811267866396072,0.7220940635854869,1.0277353861800353,0.5970649582237365,1.6490359995729265,0.4501467417065251,2.2386667540760437,0.3939771178247163,2.733042709089223,3.4160924057161375,3.486709937422155,1.6393076030526532,0.5376101931237731,0.9520429429020433,0.7361763234137303,0.6908664481851555,2.212480878882106,2.653731879132419,0.2606027617134,0.5313847217691734,1.8891872511972412,1.4885216351538044,0.7857496731345474,0.42426457098317144,1.751771542655933,0.3647841335841264,0.5427497147508734,0.4752058247471155,2.603105499197835,1.8992625070401388,0.5586473017062829,1.4387702679651215
ace_Latn,13.33336554409677,14.559016229776327,7.819696137068822,5.5982870794656066,10.828140516365432,10.849654993347537,6.436390364284401,8.019887283513052,13.050512317783898,11.589809349018495,11.68237633648233,8.50273855163412,10.682609290372842,6.78029732726798,7.266472167605625,10.791442386511024,8.99194526975701,8.059928199381224,3.600598701896525,9.381524990518171,11.712884501875727,10.992808043560132,11.731960282703879,7.446335278763111,9.407176217553326,8.819659983291169,9.174232379327206,7.875245030143273,9.756117394596055,7.006362076612997,2.2941128615737436,11.416333161675876,8.175470191884008,5.7518042900478585,7.294697260970283,8.898133753844485,2.8800595576880967,7.240143701153768,9.052933667573534,11.497158671113374,10.126188618401581,8.250249168720844,8.300085548136096
ary_Arab,14.583112199113241,18.31885142404859,18.35440897564671,16.40584865688439,10.162868214883076,15.621030300540818,15.857496517393198,19.414370226016526,17.14798676198499,16.157993121096506,15.596327576437023,5.512058498838256,5.368195452417566,3.7477330075136255,10.685328843262269,12.161357535382038,8.205203436562064,18.524660915457122,7.353374209631411,18.12597368763766,17.70477531876906,16.796033366437154,13.780515281684714,12.694771758285894,13.7625379662138,14.482771883407507,11.612350676795518,18.96118033970213,18.026886227096465,2.9412181556822907,4.582725104374813,11.44279092846217,17.821077975206354,16.9729252253908,4.942764188893313,13.528324942362541,6.594535819257596,10.205126885841299,7.416952412774387,16.766774773459545,10.529598627401318,13.319211061693363,4.535340898428479
arz_Arab,19.462923221953716,23.01167476531316,22.277335965025074,23.700406597891075,16.59325888760029,20.290029992380827,24.26482037152068,24.437894550915274,21.479925355208696,22.89753253937064,21.24212635021575,14.500118184971104,15.068164014381113,7.459235275406021,17.235942152623302,19.143554871777088,15.038649897442438,24.177856523422687,13.939257599865261,23.884290008251906,22.394725641761216,21.680385610320034,19.894100649838837,18.93897740286967,20.241742670656755,21.384652562428734,18.602149418323673,24.563930611590557,22.899886358403926,9.833043520560697,6.3449871075388335,18.837161307906936,23.459932757531988,23.305837870519508,12.256018573470945,21.043893387265165,14.66967759791384,17.228186985307612,14.955394207389848,22.375938932356522,15.945232781900051,21.348174295062847,12.471685004212738
bam_Latn,6.794219558895469,7.215618371186925,2.5600639276080526,2.14568450463449,6.645264720323223,4.660006457660386,2.867979511156946,3.18930683776391,6.680166473937338,5.383156016316815,6.0600226920130265,3.5998734390616276,5.596450534285036,3.3202836407636935,3.0673500707415378,5.747962503975994,4.3598966410604065,3.2329147060076373,1.752306155449174,4.085703953733169,5.714076049847902,6.008326423382418,5.855569061470864,2.665515837672061,3.366533318955906,3.462667263569943,4.619613476395741,3.245967659190442,4.710379828839885,2.0648001041465163,1.1936263751221723,5.723546741994898,3.9296991117534246,2.3882978441409404,2.7147512055102343,4.044908097591468,1.3829727846642876,2.8870382136723647,2.83651308486449,7.132203789359262,5.30713174899979,2.874734790701775,3.981900816447863
ban_Latn,17.56813140255785,18.02048429093129,12.623724610126631,10.382860486851401,14.68503975804256,19.305039087941893,11.565412886152695,14.321825731431181,18.034513073707835,17.963409911298577,15.976593276112048,12.640163314977485,14.045378465462665,7.848597965435359,11.982455446906377,14.31446819841172,12.640304710691119,13.913106984838286,4.567023048064481,15.251168776608914,16.681527337483235,14.997434262738008,15.290686338471831,11.710275866417295,12.377425167874371,13.558002956937262,15.21627166573847,14.867227365235827,13.903584124549084,6.95733359141607,2.841505790582765,14.329136819216597,14.169543411862579,10.611247312188086,11.819795640532114,13.597737879880574,4.106044850150441,11.379873233712328,13.731709691248833,15.771791872187777,13.923695282149462,12.34295694766808,11.40860533773443
ben_Beng,23.435358129705484,23.23871540055124,11.895430015509866,6.926383523379843,16.960468573890754,15.507658331157987,25.465866364434117,22.391644772289307,19.457934513450738,18.790124798308774,19.536849684152568,6.569974809785899,12.022037023392919,5.53133393566591,13.73336282847076,9.103991584045543,8.727917647590411,25.345401219236255,2.6749328802799703,23.23842109421378,22.27327250720339,16.876822820503158,15.96708110886474,8.489914190888545,16.40345056169992,13.54000084982376,15.233845660620977,25.199190509250382,21.601458595675496,1.9556529272556435,2.2443240062924765,13.597593520145535,21.2146539109385,11.932891415141894,4.749011612281812,16.158874971436024,2.677538430130756,12.719801630506968,5.109993584649247,22.946090576171944,7.259596177838113,10.229834164650619,2.2838475835591976
bho_Deva,12.510570036239288,16.68365390383837,10.495327433842782,6.651569181860424,9.096108893151424,12.074776531507489,15.600303579003475,22.26807068003906,13.351349063752226,13.176328336247632,13.537011387010374,7.230256477472555,5.236189126814219,6.162517023174777,10.134938362096033,9.948886121678665,9.334158849907652,19.13228480172998,2.9823109578978517,18.324108294938085,17.618045054713814,13.948219019415692,11.480288341166903,7.376796413915923,10.898786834307863,10.640906479917978,10.135439129133196,21.635619657816523,15.404980387081098,3.6605532217286885,3.595933316143344,7.0837963141842675,15.232093260066062,10.71373233265656,5.574099075110545,10.796572743318027,3.2151428840523706,8.07601415521273,6.524815962513725,15.477286499924523,9.044022821865802,9.541646718822895,9.933587979238137
bjn_Arab,4.790169931452415,2.4668842283732215,0.9968616157940144,0.6298213628546002,0.6636489127143552,0.6490946822413367,1.423956425246649,1.9448679854800501,5.384697722712353,1.0269414355031823,1.5047481933129239,0.07802477188923414,0.42345948094958624,0.8264453602677972,0.5122096590120007,1.1290522242006937,0.45842086118554715,2.2547599240871907,0.432961263739805,2.7100188668988294,3.0808985806567937,2.9350828561904345,1.163950138550911,0.3766406864461033,0.9193334446076551,0.5473338770679591,0.5009077147445758,2.083541391629965,2.048449677990871,0.2543989034671994,0.346550618309744,1.4236425990873598,1.1963892781583612,0.7726951240589878,0.34716871188136583,1.764955050590351,0.3387800177710476,0.4780708608282459,0.35472855969796063,2.177711889957883,1.4096500064675215,0.5280120478967957,0.920824415576962
bjn_Latn,19.297298999963814,21.909697012786964,18.262717454699988,16.80892749277354,17.003287759564977,19.40863202363043,18.818922171712106,20.592870732155003,20.672827111198494,23.24720464115039,21.68587309536188,16.418694093916844,15.863573323507083,11.831274892303544,16.160070213137224,17.506205654426385,16.69620299678646,20.473674312581714,10.706563006743366,20.52717044258558,20.432903521362093,18.030163914549952,17.655721525220013,16.39960369622918,17.130547809490405,18.655626534146514,18.202814368148214,21.708340339883332,18.904127407313084,13.456298397405018,3.5104381615520515,16.98716043029405,18.879841891530212,16.33789745155635,15.972735677647059,17.654766366884353,8.778837264817906,15.659218083360424,18.191879917830846,19.047699367565656,17.67395725162152,16.93033469124392,17.26220946248699
