,arz,azb,ben,bqc,bul,ceb,ces,chk,cmn,cnh,crh,dan,deu,dln,dyu,ell,eng,fas,fin,fra,heb,hun,ifa,ifb,ikk,ind,ita,izz,jpn,kaz,kor,ksd,lat,mah,meu,mlg,nld,nor,pck,pol,por,prk,rus,som,spa,sqi,suz,swe,tbz,tih,ttr,ukr,vie,wlx,yue,zlm
arz,13.231164106298017,0.18185025644564184,0.0616757625115297,0.2375596633757608,0.25023760092363007,0.042300375580765326,0.2565452360432265,0.31956683862403196,0.032384047891956334,0.10320373359789516,0.44886220503624275,0.3303278495553396,0.2720039376884978,0.08875431224523776,0.06949775646347711,0.1801246102369305,0.1296605726933784,0.20876814668822774,0.3834478205792348,0.2110820129114907,0.15716428853895462,0.19850928786171548,0.1912205825420371,0.086220875159909,0.019826313532175285,0.11961731532539235,0.4854221528171782,0.08089078433423626,0.5700867617894162,0.2405038043519928,0.4644889622426498,0.07245207900119022,1.0670457037525414,0.1989239280035875,0.16274076905234414,1.0301496195218451,0.10318947849427469,0.09586593069380085,0.15956451944197708,0.20019595168168025,0.17470624985575212,0.009596127241946922,0.17007700301877027,0.1178462468037262,0.1596768067650505,0.9311191653867384,0.5734958216271834,0.17543521909310453,0.1964870114092556,0.5001413683909367,2.5502855261717468,1.0082616962837414,0.09704291361362052,0.20845316970718086,0.02570638330721601,0.6586698215370348
azb,0.38727776208515685,16.459250652848738,0.05613704137091728,0.2061910438927474,0.3387788679471904,0.032131336842117324,0.182887573196414,0.302862673084841,0.024079208376145578,0.09267356663281039,0.3716216122540167,0.30143413159762805,0.21277428226212508,0.14635935659900934,0.04872882616845227,0.22812813261487533,0.12866953667713413,2.615550794203447,0.41694458639428505,0.27759073038513826,0.14330936596642832,0.3520928523097624,0.2135318884515111,0.11509990199743428,0.013758116962803706,0.13164875854260089,0.30274082398754787,0.1339233228026725,0.4767827943742667,0.4147630755839271,0.22625045760716045,0.07284957677334558,0.5497723517249173,0.20883914695131803,0.20296871714461834,0.7895984509277549,0.0846589028496808,0.0933504864392533,0.14622491638474958,0.1633951849630111,0.2795656051644167,0.01971746234484125,0.18184452874852836,0.09581315941237321,0.18785379835301078,0.9102627275425349,0.5153852588135189,0.17317485200303093,0.15187951934419727,0.5960278171655025,2.455663812359219,0.8140136842126043,0.051729078575825205,0.18816797799961052,0.02910161922919012,0.45468937066843335
ben,0.1860203125436398,0.029193337691363556,16.132297402821308,0.358796270548751,0.19404170765505357,0.03651520561299395,0.11365920968370287,0.23840633930670208,0.027116008356837508,0.30921137018375255,0.40670345078373193,0.26809994765879847,0.19983870839314247,0.326945592503599,0.04537852233363352,0.15483045462394546,0.11203371168923847,0.045276531350391246,0.16686024517382209,0.20909327564207558,0.1481283040219099,0.2836880500851738,0.15750900311166016,0.15578334944662695,0.01378437343338883,0.13575889697977414,0.12959375320924685,0.13530015442425677,0.43649226490235105,0.3682469545223777,0.2030158783109289,0.06862206057752748,0.5047200080125647,0.283308465912739,0.1896813057445987,0.7404226826788533,0.15179734844946827,0.07533969227363449,0.08018128626700666,0.2554763252159119,0.18327999453970503,0.011984486527942156,0.21043580677208232,0.10532438630006023,0.15202382068279574,0.20796712061979966,0.46915728106691074,0.11146531957045772,0.08384459193125929,0.41502847669621334,2.2426055938731526,0.5068648056679702,0.04081907776271725,0.18451279656174627,0.036700911500910566,0.3687085556787138
bqc,0.4472222042660714,0.5230979158104259,0.20601287981391087,7.722417185224208,0.14474467721054868,0.534800826517327,0.6702680931391277,0.4850923486747485,0.024929988721043544,0.10169640532232864,1.2751839670368226,0.45553000829050605,0.6254463747479128,0.42498131552309987,0.23860418125535587,0.3160090589375791,0.48924364401252307,0.09170659118918652,1.1760967412713412,0.5944719417996464,0.19579286888849723,0.2304714482440007,0.4930020648104849,0.3330562268134469,0.27729681355879043,0.6167616898426347,0.5573820529379672,0.12760618678820743,0.24553488880398044,0.4037389245773315,0.25721178193586086,0.22130831437543932,0.6991745187626204,0.1572315621018892,0.45537161361141354,0.6180924310021948,0.526657279771531,0.24926725135434097,0.4653536144651123,0.2385743305104071,0.5344821120790201,0.012942258525103938,0.2400569947058783,0.16366394344431423,0.4956321685772488,0.9837758354341705,0.3607391764221655,0.6743609275527567,0.5771425138038413,0.36993466461509983,1.603667857403422,0.6565078567577068,0.133518612470839,0.33463347574635127,0.07873597960634915,0.6081369809053533
bul,0.26654503478529795,0.11344471486518738,0.023617852774259786,0.167529376949773,10.808864068132225,0.03774939270452672,0.11669003284986165,0.15702611945277942,0.04654412065867419,0.35973808826014786,1.0516124791059136,0.24827716034655847,0.40418529685374777,0.30676446292405973,0.047338969542785894,0.43428826950663274,0.09120907684041651,0.0312800892473556,0.3990228960009792,0.22182003710202236,0.15767492528963412,0.341488256909422,0.14848161935277265,0.12190852591542346,0.011942554253484006,0.11340861085004406,0.3331666716780601,0.1757224725140945,0.4883173380563426,0.571961566419936,0.22971264518462692,0.06271631061240515,0.4931218961332295,0.24920078375318083,0.18652903116659544,0.7476416831141407,0.1347181530185864,0.05551343448601667,0.16455302396042643,0.3197083711160711,0.18146746406488742,0.009608718132383776,5.4954987863049976,0.10541329520905095,0.198900913845408,0.8165860472745877,0.4782113882069607,0.13191945854933193,0.11594914932858515,0.5953387743306336,1.6505394881779765,3.4635030232826582,0.07290767631116003,0.23634190021478935,0.03496365481207444,0.2898848927107471
ceb,1.0859967222058786,0.4792038055330841,0.43198896679064647,0.07803373339872362,0.6189294120639564,15.261481493156104,1.0714437895740603,0.984921093747233,0.27100283743624615,0.008357289932694514,0.7884214386133144,0.9678502353361282,1.3721672902363622,1.3325460677110068,0.19100745018222137,0.39213851480954987,1.7173326874642048,0.3183428028974133,1.7641110906781332,1.5342124608575822,0.3022284280052707,0.17812100931015623,2.4759008041713293,0.950791036784543,0.4622749005859275,1.508734773622858,1.2335430236224143,0.21610100693866655,0.3952211862192108,0.6697805397869736,0.413790679430498,0.6051725685769798,1.5570852888867854,0.5091926471551815,0.7826909876008536,1.0899930224221903,1.0764624961882618,1.7578563928259692,0.9428085711628373,0.9473611265401438,1.225813791352379,0.05378948570872029,0.16384061278707496,0.18021738888974123,3.172041710600949,0.8249480094681424,0.2689792907864959,1.059120280051483,0.3436768793006668,0.4555747200095397,1.7494178282745851,0.3607047831024202,0.16202960418424334,0.1871164114570935,0.13450759666375298,1.7225488815974694
ces,0.7787352778561376,0.5438231015575754,0.277871157629252,0.10948188462159367,0.1770377578837615,1.6294707609763786,13.307293522025299,0.5335414617471155,0.15946551240163417,0.04024444339790458,1.5019262238910698,0.6559933665885143,1.0813893529921643,0.651558308329649,0.08987980913454606,0.429166151593274,1.457369918168646,0.16292802901821127,0.7377213130275156,0.823456097530918,0.1790800912692809,0.5439926377819199,0.7721955052779258,0.8120501206741046,0.25695531610408884,0.9446375240308064,0.6744206930829911,0.14289302931531092,0.17461568490609858,0.5793290159518026,0.33679446444386646,0.3346882065615903,0.7278649749493257,0.2592582247754429,0.9307424745783629,1.1889906378304425,1.4250253186554478,1.005481946881229,0.6678796225198501,1.8920343927489733,0.7042855189429694,0.011984579977656593,0.23473679111771237,0.166800377375437,0.9107357725190489,1.112620720812812,0.13563632936433434,1.2087271961040964,0.45599878816152056,0.5151878958225533,1.495149405123902,0.5308123410217398,0.1263316940129464,0.1885055209151524,0.0950927232733584,0.7085293867488117
chk,0.014756654530458256,0.06634024660211806,0.2447349116764222,0.18304734969011874,0.048254589219246136,0.02283637275118726,0.2879054091821269,16.935806985944243,6.793867962610412,0.4702060892750484,0.48659039835357065,0.11268275780721497,0.178980008336193,0.11367164103392272,0.2143210413941887,0.022912427271957976,0.1323591259566975,0.04263789368879045,0.3816439765972491,0.15912207802266276,0.18718867436218697,0.18713114260166033,0.06406986385066893,0.24987866628751007,0.1582680085454865,0.04217230390622971,0.4578826827617549,0.05363630368472479,1.364859729394341,0.07816056934426495,0.10988230328197784,0.02998668215375246,0.3992619422141877,0.17288806866337914,0.13740097997865172,0.37217127686580687,0.06426839728057325,0.05529966397150164,0.14606423460072662,0.28763184411980247,0.13685975547242601,0.0027867506227345707,0.09280560608628032,0.1265681931641727,0.18350083130736378,0.27195804825623376,0.18743765422512354,0.1936355262291051,0.012670807135152276,0.2760900304724756,2.558959624941263,0.3885437315248578,0.07426386833843497,0.24135879980582461,2.3357125517268194,0.21763275769087034
cmn,0.14346941808392835,0.0752748319280341,0.03386995406294344,0.1741416720982988,0.13813597477399295,0.05218942349975548,0.0915161304362519,2.388575912003052,15.962198696240407,0.0649943212336144,0.21124957564566793,0.260550901256906,0.21206186348493236,0.22593556708339982,0.0963037700836037,0.34317382705868976,0.07704119840828222,0.05102760952909654,0.2427920854870746,0.11776886716754266,0.13146571612141947,0.3091399444958416,0.13089148247687454,0.09378663085013408,0.012072955057474492,0.15678619924496381,0.17418042535449874,0.2339442650105263,0.8810426414686132,0.40027096832384595,0.15333425754656269,0.04129551827737425,0.4222856175162707,0.19241889619772895,0.20078040749044285,0.5760933406206895,0.13447244112197004,0.06592925198380355,0.08498055577282389,0.15870890784554853,0.20052238212220186,0.03423878673396834,0.24882845596684106,0.09477054968118125,0.15891820657080874,0.6058687929237695,0.318371532693182,0.12051335442927728,0.09398177732195472,0.6155035933262054,1.774207421440326,0.6243149999824332,0.09257300172006591,0.17793137271203546,3.965544292370175,0.23769963299398944
cnh,1.6496342960407486,0.45169852544495986,0.5910808777442619,0.1432746825031501,0.7230210988003817,2.7221331631032917,1.0545210938242588,0.6085707878703362,0.34222156717157415,1.1552368620354987,1.4328017454541269,1.6855387983335604,2.0716590372993933,4.236984372846,0.24236918153885087,0.7164181910002512,2.25132444117397,0.1398837257055046,1.8368014156687853,0.8755324666877273,0.2216766776204749,0.4823271329496638,2.3898796969132117,1.8034581594704646,0.9240570299878647,2.2626682647544665,1.7390909808579675,0.2016670489115019,0.4258171232864572,0.6790218797868186,0.6227735537180576,0.8660901389882174,1.3073945191338308,1.2274669810796135,1.613919620578148,1.5717555574034712,1.464043587294461,2.198895171009774,3.360625117985665,0.8249282623837705,0.9648745117287546,0.5232677636136398,0.35946328936997857,0.370526300241282,1.8903052524942907,1.0191832182333642,0.3825090169412381,2.0020987521358444,0.1956949419564742,0.8745305702272281,1.4087664597878327,0.42065845153205356,0.10326869280380639,0.12738148863398377,0.14994496593801496,2.0592773974316856
