,acf,cat,cbk,crs,fra,hat,ita,lat,mfe,pap,por,ron,spa
acf,16.867932593572494,18.855135801629427,17.218063392034686,17.360729937012113,16.74789788712509,17.253385735583034,17.934880252691574,7.305784750273929,17.04132251840827,18.90648984251662,16.837631828896445,14.371312214279467,16.32819701978756
cat,16.867932593572494,18.855135801629427,21.546103122980757,17.588062139013918,16.74789788712509,17.253385735583034,24.932330034299966,7.29174397205613,17.053808697840598,18.90648984251662,22.758287209961654,14.371312214279467,24.76862570837575
cbk,16.867932593572494,18.855135801629427,26.98911149474282,17.719259551714455,16.74789788712509,17.253385735583034,22.6588753030548,7.286499652608428,16.756501687740002,18.90648984251662,22.724283821930886,14.371312214279467,24.545792219515302
crs,16.867932593572494,18.855135801629427,17.5547684405828,17.00868015124566,16.74789788712509,17.253385735583034,18.815975079016024,7.2976852492728606,16.848315757642066,18.90648984251662,17.25577062722739,14.371312214279467,17.071762343589544
fra,16.867932593572494,18.855135801629427,22.06479609563158,17.560231894205586,16.74789788712509,17.253385735583034,27.083949356808883,7.286813407007396,16.908577311326507,18.90648984251662,26.223451149971904,14.371312214279467,28.711342829800245
hat,16.867932593572494,18.855135801629427,17.276465572103678,17.525676292759204,16.74789788712509,17.253385735583034,18.339891425495118,7.274565981240368,16.890886920774307,18.90648984251662,16.294372936247488,14.371312214279467,16.915678921971445
ita,16.867932593572494,18.855135801629427,21.33826254492857,17.216077611168977,16.74789788712509,17.253385735583034,36.628664421702425,7.287929185654784,16.99649146024966,18.90648984251662,25.293705042050462,14.371312214279467,27.97049716132176
lat,16.867932593572494,18.855135801629427,20.174211732508457,17.11493366366992,16.74789788712509,17.253385735583034,24.0690190655558,7.309751855536439,16.91100927961263,18.90648984251662,20.609524795490916,14.371312214279467,21.325390472077515
mfe,16.867932593572494,18.855135801629427,18.01837217407492,17.193249592454514,16.74789788712509,17.253385735583034,18.996673206817682,7.292924687907807,17.065428590389455,18.90648984251662,17.012424662099118,14.371312214279467,17.05388138111236
pap,16.867932593572494,18.855135801629427,20.72248802959135,17.272054718352503,16.74789788712509,17.253385735583034,21.12246381916315,7.278856552308274,16.992883518733993,18.90648984251662,20.974719038760096,14.371312214279467,22.35703581687279
por,16.867932593572494,18.855135801629427,22.270106119703467,17.597054268814095,16.74789788712509,17.253385735583034,25.675542083324075,7.279324734630968,16.979343822849263,18.90648984251662,27.72543889532606,14.371312214279467,27.553380462251386
ron,16.867932593572494,18.855135801629427,20.784710583062793,17.31292453940945,16.74789788712509,17.253385735583034,24.427728362633154,7.279057755005554,17.052342024605576,18.90648984251662,25.060222085327243,14.371312214279467,27.1954375978298
spa,16.867932593572494,18.855135801629427,24.620527978209406,17.68685720032934,16.74789788712509,17.253385735583034,28.04624979515664,7.293759518684488,17.0390589233254,18.90648984251662,27.488921826536416,14.371312214279467,30.837449653971603
