,az,be,gl,pt,ru,tr
az,8.575019904897513,4.550031777850229,11.555023468559234,12.511338149730781,9.326453253743635,18.795359951936504
be,2.7315955568420236,13.136902825743832,12.713535631061173,13.758347390602685,14.1846833758005,14.974915251493726
gl,2.804623065935337,4.14835573289229,29.830385725391405,30.261143857185242,10.966551091706393,13.071002296671153
pt,2.6473184434011934,4.35480464730067,22.413384523981172,50.92353390160302,11.187352563801118,13.101830895356434
ru,2.534727234790025,8.469204994477305,12.961155768338111,13.68687045522497,40.37436176680641,14.923871396057873
tr,6.715408158657425,4.376596807443557,10.476852135314774,11.353818841282795,9.29190205551479,41.0290002238248
