,az,be,gl,pt,ru,tr
az,3.8489386336847033,1.2349650103559369,1.7832984139358299,2.5118320337582407,1.7285602729634855,6.626556235405204
be,1.1162441646056265,6.14939648015588,2.116420740194215,2.4984039649159104,4.476961362433023,1.7996129532852212
gl,0.8568409393222094,1.2643816616100105,19.088258115576927,19.073815152698206,3.2455394863926896,4.963609170386118
pt,0.8630449126600968,1.5480163358117656,11.997390494230888,39.465827906109524,3.6574254442039393,5.215008021906795
ru,0.8663655440912772,2.6581671630850607,2.012357620686725,2.3371208941207637,29.04758380675471,1.812214243076971
tr,2.463350663181787,1.1195506801008621,1.6168675633520682,2.3315377921603098,2.017993762612461,30.01738038657237
