,az,be,gl,pt,ru,tr
az,1.4489955033674864,1.01220474553524,1.5200213682931696,1.1365559312160172,1.884491432288458,2.5146882066241716
be,0.476557731675432,2.2262394995880013,0.7321110982580926,1.230915460855547,2.543925345226028,0.9012734397714594
gl,0.821856018782958,1.0614159832303438,10.21631630910315,8.697821771618951,0.9898100395964198,0.9629147609755191
pt,0.7259354943843722,0.8701625304024898,5.155471993799331,28.155540666754177,1.2461080421889767,1.1193477530163334
ru,0.5223325090580736,1.5001356175366058,0.8835770118602924,1.0535447741473565,18.587112644832892,0.822757710740207
tr,1.4054762668925664,0.8933345536131662,1.2452231632952828,0.5727536871145511,1.2352294247662403,18.826674362270506
