,acf,djk,eng,ewe,fin,fra,fuv,gul,hat,ibo,icr,kor,mai,mfe,mlg,por,spa,srn,tam
bzj,14.265459987233717,11.880831500644314,15.285138861765365,,10.822357463193606,,,13.013290469926822,2.482782251744822,,,9.228079119774593,,,,,,13.826795067129519,
crs,10.978120797393046,13.078675411521104,,,10.341546645306765,13.21673785839119,,10.732544067640614,4.849045987609376,,,11.48955211100089,,20.773013014545057,14.061455633371416,,14.692365573702473,,
djk,8.228257650602746,,13.3037925567923,14.668693083825204,16.030716578915317,,,16.146523919450203,10.19774475626094,13.541345043362222,2.026347457800181,6.471128031260331,,,,,,15.846001185472632,
gul,10.439743666296637,15.373366086382859,10.581971563484458,13.219000374450522,7.473775338503649,,13.334829329929645,,13.293951148012153,14.402490025082868,8.543041740551315,1.7271128436636716,,,,,,14.544912836088978,
hat,12.975897210149576,9.801856057308234,,14.687793533581434,10.316830478735236,14.790076809630204,,14.228205347909961,,15.898145405473604,,14.646629468216002,,13.244963720497882,,,6.427215105967153,,
icr,10.177031019781271,14.49403271239455,11.384980063753213,13.51732220702817,14.540860289248132,,,8.118414558127034,8.131745382089765,13.446058555700107,,7.631873170821306,,,,,,15.584452428344889,
jam,9.41843210176157,14.418567210848678,8.559678593961324,14.924312737041944,15.323005269897145,,,8.066995621315163,12.573518375365516,14.252944575799981,,12.366674089542249,,,,,,15.816407945382394,
kri,10.364574795410979,15.752005027425248,14.83020935184259,11.870895246672124,16.03717682945657,,,15.150648414187874,10.37734794986745,14.557236819269287,,8.661173054156828,,,,,,17.75343425551864,
mfe,10.779422706492198,10.569389886647617,,,6.385541377314724,15.59183627590373,,17.24314346742293,14.156092027196113,,,15.297176072690464,12.336807068865738,,12.864633815707105,,15.10453186438979,,11.590697938109127
pcm,9.266740678517445,15.620822367560692,15.636545281652687,,9.664556479030272,,,8.036812563791736,14.714727332998557,13.153020606579558,,13.89041913003473,,,,,,14.327245867432751,
srm,12.457365607362062,5.116013912077695,15.39167869054882,9.95181612138211,12.816380730077812,,,12.690194505721372,15.446093686096319,,,9.056016641212127,,,,11.959234887588224,,14.1963266323409,
srn,15.074451945294623,18.329520566802486,15.591825123713383,10.804506742081516,8.96048952522055,,,16.453192092705876,16.152895627937607,,2.49006768063988,13.402153294753298,,,,,,,
tpi,14.692407010100942,15.27649169968349,14.01134979616942,,14.843335770465805,,,14.868985826021722,3.6815734191835627,,,13.360393742450935,,,,,,17.594523264426932,
acf,,10.486749751117781,,13.283963381338266,8.855267262671788,10.583799844700067,,15.614914344128355,12.597929711075452,14.047563711066607,,10.803308911823054,,12.39190423142857,,,15.37570380057081,,
cab,,12.800807137840225,9.977948404148258,,11.643813154535296,15.712830951931132,,12.350668541616084,,,,12.78858302008887,,,,,,,
ktu,,11.510526208901902,,,9.040439836674006,,,15.19733729393043,,,,1.0955641256130872,,,,,,,
pap,,14.547009329698318,,,12.78928161752859,5.972958649528731,,15.071568290754483,,,,9.103349256681627,,,,13.79348316841624,13.230593292865828,,
sag,,12.699768177178036,,,9.851531777101721,7.067568976973091,,13.834877261421752,,,,0.03408345502311852,,,,,,,
