,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN,eng_ENG
ara_ALE,13.12758809888203,15.35273104287837,17.95781899421583,16.467120344826064,6.633937915343805,10.68008351530052,10.496919306190883
ara_ALG,9.682443454552207,13.747726801764351,13.549195169045438,13.931684304100985,9.870903563646351,13.531065219478263,9.761604264336219
ara_ALX,8.303191317667412,15.444456542233349,9.099633066121509,13.230659971228759,13.47119497169808,10.047691990418508,6.076382176171251
ara_AMM,11.953730313360362,15.808232958462693,15.162077409701787,20.265017009470732,8.502647366729937,8.867388823190922,10.347403894091437
ara_ASW,11.577223599734035,8.9384729594711,12.030453728677246,7.908893205795479,9.98102703944321,11.736872539750244,8.333844957095616
ara_BAG,12.994435644072341,7.564630973723757,13.50634012131434,8.627412103479223,9.500357839347625,7.843283895427787,5.849186341348533
ara_BAS,6.320914250316272,6.651589863937526,11.915434909747031,4.723523731621893,7.546169706734345,5.150848963729805,5.069791921324008
ara_BEI,7.014105958601324,11.056358336474302,11.25991367609326,7.524996534506714,11.619935144195697,6.466597638069215,4.943592187745369
ara_BEN,11.726374358743339,11.310644463625383,12.08805907432677,4.839691216116217,13.58015885327892,15.56793306605511,6.222090040528014
ara_CAI,14.333411321643059,23.066985272597663,9.120815546805334,10.618882627530201,6.242446539008989,11.65403496093292,7.129871626144967
ara_DAM,15.057506141285144,7.582540712080349,12.566920694340306,15.668482041961054,13.127505939407982,8.771942340078393,10.842068970268315
ara_DOH,8.356466762077673,8.828447315799714,14.30502816079093,9.626700700860926,12.780414952849487,12.227465296075337,12.464818756225599
ara_FES,10.690578231161895,9.101096180738901,8.072231849641263,15.810590661252496,9.565971244796184,12.922737059713791,3.4208477950254936
ara_JED,16.87102073288446,7.504703161756146,12.202531069171192,12.539340775380714,5.211223935430904,6.604276890358222,5.86143535583899
ara_JER,17.29971095990491,11.76250633924918,6.2663521981956825,9.662097489111906,12.58809417208591,13.264715433199353,4.04466923093934
ara_KHA,10.601000383966356,13.971402737048694,14.362328224228113,9.925472655817543,15.207793015431198,8.164663710996662,10.738188390745176
ara_MOS,13.99159372253965,13.026314609818396,13.625333615720372,17.214954032051356,9.750785181614967,8.78743929009982,8.392421546275335
ara_MSA,10.898846643449945,17.661483889293724,14.1828907116724,22.241869149362334,6.242375639003773,9.534204679119933,5.530783998719232
ara_MUS,10.775001495458701,12.561863033107104,11.487391348913281,10.573791936490878,14.313454768830763,12.739459423822606,8.419807485556992
ara_RAB,13.138665975164038,11.154676300323144,14.302354453409608,10.327229070118673,13.888301631244989,13.068270253444044,5.854483458768207
ara_RIY,8.629253737362513,12.933789222803957,17.22657597138667,17.620922144404723,9.402368066450373,11.39556449189851,6.7028607052600275
ara_SAL,9.040950556929248,9.393384469463113,12.630119746952149,17.948986666272635,10.306334771401623,13.091252420581453,5.204457739911954
ara_SAN,13.624914180610173,4.60888049812594,15.992334818333262,12.21612445300207,7.235971614471105,10.072384095704932,8.256449560832756
ara_SFX,7.8065139035736255,8.664554867253663,12.272868100168829,7.0429808454827105,7.473360944344715,8.826739243003367,5.196340786515388
ara_TRI,13.797837893201576,10.04011782481652,13.60594866573466,10.568756669767964,5.740498927307442,14.331422452919632,5.557747883653589
ara_TUN,11.298371471354121,9.611762300851137,8.55173245262771,9.958655451882834,7.593835921647554,10.675360956466053,11.341573233177426
eng_ENG,6.4653785285765,11.143783515066103,9.158585518678642,8.980776849388299,7.429298530862523,18.533952572105513,84.92796298131748
