,agn,atd,bcl,bgs,bkd,bku,bnj,bno,ceb,cgc,clu,due,gor,hil,hnn,kqe,krj,mbd,mbi,mbs,mbt,mmn,mog,msb,msk,msm,mta,obo,plw,rol,suc,syb,tbk,tbw,tgl,tsg,twb,war
agn,3.7591413299336462,0.9032144718674096,2.42041077358677,0.7963573396868704,1.516101431626366,0.5144858044429876,0.42147738536083756,1.0374933986267925,3.395372173570419,0.977703051158347,2.372127124503937,0.7179736265603358,0.34196772331676234,1.3611331332812913,0.2986881971059488,0.8124873175305866,2.6925263879082117,0.7328226633134204,0.6989812932939962,0.6090278557485346,0.7507128385189669,1.3385133764592334,0.38874992233604094,2.381311293113604,1.2579216258660255,1.300178911153792,0.4595754610385265,0.5813124261589777,1.3013757059584952,0.860202837153361,0.49337629316548526,0.849743234372026,1.8307898449137725,1.8052240585532002,2.6573873614389205,0.37266085737817134,0.9484124033664261,1.9876522734832813
atd,0.5871023941350937,4.014329701160169,0.5818280369013176,0.663736377474433,0.867037992078299,0.7004539582150253,0.4848776681068992,0.342398513567263,1.1105164568523662,0.9104484836263,1.0297642182391815,0.7808862465805626,0.35277320945924295,1.1916618401100612,0.16754672636662743,0.9285817991101417,0.3989242792194976,1.0738790007821726,0.9664478060483513,0.31469588771439944,1.1119249421577566,0.7968289850831926,0.27414516921035986,0.5497111737598159,0.9390007264410086,0.8906313550884624,0.26946868552024356,0.6038876378968935,0.9272116434853414,0.19001040692475754,1.1276203577052812,0.9517897214129228,0.6325303113675892,0.6691006518386008,0.787437786024461,1.000455629982516,0.5428902535643085,1.2597967474625766
bcl,1.3130163349182498,0.8184550738811017,4.7524720021347555,1.0418725615054578,1.858454786532417,0.552475979479656,0.844585040460669,0.9291366257849148,3.984887866609762,1.1426573239944982,1.6753581079084738,0.9253655075864461,0.44064772280831,2.457495538793115,0.4750533748934641,1.0687591174480375,2.647279490175286,0.8556033403516419,0.6625568524045377,0.9191402452303373,0.8173617774863874,1.101553351471656,0.31194768255327127,3.0496800952934997,1.6188939712279156,1.461845371274944,0.22220506124613076,0.6816726671918221,1.799555874522186,1.0815690246245024,0.5249863105034527,0.9439275048989086,1.6864753155997518,2.0978304060752277,2.9509739723364534,0.9406084872908697,0.7697439032822678,2.7238801100185586
bgs,0.6308469777831763,0.9800615180872018,0.6900559059884402,3.2593651496662526,0.9939724647026124,0.28193476336342016,1.005252076103256,0.5135361220241976,1.8937734152111887,0.8126193852686241,1.023775583345992,0.3497125797764045,0.7382879704998926,1.266154979712036,0.09822891411270591,0.4274005015542367,0.3151410303697169,0.6797430866845706,0.5285255336013062,1.0125067777320211,0.7870683875549576,0.6131627563952405,0.07335880329583871,1.0914938179586584,1.087188284628796,0.4824780392560385,0.4718678831106528,0.47426967145717974,0.7362917805743004,0.2449076992668472,0.7472188558401944,0.7501831085268328,0.5649364815846042,1.0715381013754106,0.8732340131279329,1.222913967731955,0.7226625618349842,1.744611573063896
bkd,0.8434749484277594,0.9086478555659784,1.3000521326149372,0.8965178706405588,4.235473218078033,0.670714284996136,0.65116959620205,0.6328557144913018,2.9189824475244546,0.7743717132271944,1.2849971003387741,0.5599341439033708,0.5528322968931656,1.484785601955235,0.600231021261687,0.7173541593058675,0.839007455671943,1.3331930602943811,0.9910295081680532,0.9579834297539899,1.0059663248717334,0.8857623333158673,0.29829210892233654,0.9261881486327327,1.1363223631599657,1.195333779016366,0.42421315225463574,0.5498545180412052,1.0577391027914453,0.9490030437828578,0.5937124791110762,1.150771757490695,1.0116072378946424,1.0477453750112742,0.8512926833700257,1.1126874593941622,0.8971823694956486,1.9751583829135526
bku,0.6458315941861343,0.5201632582219703,0.5551339512531714,0.6473449994996499,0.6723491378637774,4.304096922015004,0.7883759517261768,0.46341401423472256,1.5170130963490656,0.3936236011627726,0.9672699207638312,0.6527435057442752,0.5116289949319713,1.0278766562881652,0.514607951977223,0.6997823555184999,0.27649290124654735,0.3207283688825786,0.48164502225449324,0.26230031818080246,0.48046121525038304,0.8009526234655332,0.41362515642572095,0.4662491913476013,1.1966729138307601,0.9735436600722488,0.28133858967737463,0.48277667303902777,1.2281287665378904,0.4595276392324696,0.41576084713502026,0.6857683364599004,0.49665775051990935,0.7361057989617071,1.031425856893984,0.724596691470403,1.0183612884778817,1.2349043112245865
bnj,0.45251835798301765,0.5573511016055552,0.7837518503255907,0.9413134191039203,0.554081430321893,0.7984225929665354,5.837648409685848,0.21614812435895725,1.2214804827696135,0.5230155773219064,0.6823309364640245,0.5764945933367048,0.3271986097520541,1.0576909202668336,0.21564147875325382,0.7535242087600715,0.169079964275792,0.49809404342330194,0.6682037359242219,0.15925779879454804,0.6426194244274736,0.773188750844412,0.4571478534854123,0.5487969381628889,1.1680181475255844,0.46066235868416194,0.3789299357237527,0.37456229734581425,0.9865618037865579,0.3294343559285778,0.48432036290920744,1.0121674118637047,0.5280943994596453,0.5660398444496227,0.7929670333306056,0.5925952473060462,4.162795993831674,1.490854242127266
bno,1.3386969478090083,0.7561442818802367,0.8380346909655548,0.8880492453136387,0.7004549435738467,0.4592300607069129,1.1440754856120108,3.7842933896612045,2.698213388817705,0.7392180287987223,1.7931588056497292,0.7698183497699146,0.4014453313311583,1.9806177726536487,0.4501037068635175,1.068833243549495,1.4639971112304517,0.9175474663723753,0.6510199252155668,0.33262930092466125,0.8867643231949129,1.2235764269853715,0.5390347948658158,1.0576264646622002,1.4103278088514881,0.29309696782681605,0.27175804958308414,0.49918480084690486,2.596545967200117,2.1829355528776424,0.5266133965134154,1.2344151671403347,0.8732286006005718,0.8117846254346329,1.3265979320641885,0.9256987719133813,0.9046056104784127,1.4447544933584562
ceb,1.4352259988625193,0.848093000878552,2.217880491221909,0.8957828075787497,2.209799801707862,0.46398795083659883,1.0440828408940892,1.411929554276517,9.111340923512182,0.9586181368370894,2.158321730891421,0.7465102907193949,0.6191542059351309,3.5136268438591647,0.3838399068794966,1.1884667272271376,3.2997353560545264,1.1068528458683864,0.7279698953653394,1.1546216935503357,0.8490014453026485,1.4485645303372043,0.6527640388957792,2.5511735044030805,1.7521497434935849,1.3099160583394958,0.4448423678243235,0.6251852490793135,1.043154688854854,1.3526298520462205,0.5806724896585944,1.1206867351058705,1.3691209683857968,2.135671452446102,2.3200485597804357,0.7976759453863396,1.0867439049310967,3.3612425524486134
cgc,0.781764019420036,0.88665811146513,2.1841385410591183,0.5729744557577954,1.7935058207536823,0.3699560067423298,0.8362879760145832,0.659438100267136,2.774802728984339,3.1141199105121453,1.4600660920735187,0.8121591194800944,0.36795774812321597,1.7767385430880853,0.30675883890107764,0.9319827584277549,2.266466617419927,0.914080832286619,0.8255050770488087,0.77716263067355,0.746631250016382,0.718344143316042,0.324065370861131,2.2008550737896875,1.0203936376853333,1.2627504587192055,0.2797115593766752,0.6537390539591751,1.4882679204661675,0.8231265911571212,0.6034289233410118,0.9929921783805336,1.4355913359480765,1.4744049459087496,1.5633167509539354,0.7065976456693889,0.7487472013007511,2.8866138056588966
clu,1.6032271399031899,0.8700735433410342,3.0369334789768385,0.7304756299705901,1.3790666566688161,0.43469187638094886,0.7430173195099123,1.3666433311762325,3.9095869110141,1.0491058858294389,3.697986573508308,0.7264036840618818,0.4916689984525956,2.9828409037457906,0.4347219888841025,1.2330188125266652,3.7627819228362953,0.8972569788168121,0.6235050344695537,0.7306151627859506,1.045868256558544,1.2087104001076692,0.496863595101723,2.769827018818366,1.5694559121675766,0.7189237924168623,0.3742653170731123,0.46527159715014876,1.3976703483296709,1.5484305389430937,0.4153647363774694,1.1888560366965004,1.6605376999193253,2.1227904195969836,2.2457484152501483,1.0349087705567064,1.0531888513567762,2.986258211939579
