,agn,atd,bcl,bgs,bkd,bku,bnj,bno,ceb,cgc,clu,due,gor,hil,hnn,kqe,krj,mbd,mbi,mbs,mbt,mmn,mog,msb,msk,msm,mta,obo,plw,rol,suc,syb,tbk,tbw,tgl,tsg,twb,war
mbs,10.726711207909927,12.457757593754328,9.455118981760315,8.963480942770524,11.52240595637856,6.869585557722082,8.557627794585835,6.051689037457311,14.529265971586861,7.038025066911315,7.295517028786177,10.269737652869424,9.452093245226848,4.987803368373915,9.712589378873238,9.879834624073743,7.563537715847916,11.290810906981886,10.441784772441414,12.848786884271144,11.12112988810234,7.019766679866659,8.280345904426028,11.078868869288891,11.351333049511764,11.475026842305414,7.629793478851875,10.220202686780233,11.253701755761345,10.33253571248625,9.049260520042786,8.168727863675674,8.42888547514242,9.511199142132618,10.830493694288815,12.020818465602757,11.84294206477089,7.680766001285992
mbt,8.142485985818846,11.974000512097772,7.470120648116857,7.578422811971926,11.270811376891073,7.926655376885594,9.200607362734456,4.219366815615682,11.514852305943982,8.527940351952783,8.380544259523884,11.599205500844137,10.205635469040821,4.379274479601914,9.630097356609008,9.806252256882457,7.4629836835389485,10.361912403629967,10.98748232911029,9.519160516378523,13.57949814468137,6.495665888171128,9.19584646884289,11.600890371096078,10.364246119679379,10.9201536737269,7.38485799936977,9.983771056661004,10.69381311420992,9.45065456976854,7.993828189191291,7.91186096751085,7.848808119877707,9.544052802910901,10.305322190961624,10.539022551568959,11.419662612839566,6.713131266038479
mmn,10.578250132987339,11.588881431670748,6.524064162059914,7.608416770893816,9.605407701919185,9.996526112857513,9.955669920994712,7.492587943811779,13.202288662043735,8.773488975498967,10.952324925388147,10.419487332701923,7.022724633359909,4.647121855294776,8.630263628332049,11.10707041419243,8.309642740682179,9.970691436447176,10.039615406647762,9.705479006460566,9.776214439642912,13.468588352210736,9.768805835340503,12.552032152264282,10.545618277667062,10.888888968884876,7.742767009112004,8.690020613410363,11.188708599861357,10.841000905212866,7.367337599505692,8.086826608867986,7.832241947974136,9.05390781684399,11.661953061653335,10.459733172759696,12.018008932123681,7.785318610067094
mog,10.055492552416082,11.100833653739889,8.614386816916078,7.394551032895729,8.818955412261674,6.372025199736423,8.5344080249581,8.023747932997024,13.084313644060092,10.053634518404127,5.803524558953531,9.420101007398808,10.539778204603278,5.996719501239424,9.750147592964762,8.117107603442948,8.00533328171737,8.992461232784365,10.05318052749948,5.507507521047555,10.257231251367912,7.974753101909691,13.408146364660176,7.027586757595683,9.176099845807322,10.48645633508401,6.945103167145195,8.968835321047216,10.85452974179518,10.390438266792861,9.844682118800367,8.368753294895996,7.15939987352369,8.07506478148063,11.31321270754928,12.454189960099162,11.476221903302182,7.305050439327905
msb,10.822914182129612,11.179767900473179,11.950226767445645,8.664419878177695,10.300331824861082,8.808060453110619,10.050341669794436,7.911580607229329,15.784672779152316,8.49425775605679,9.690372757944653,10.742808575976829,8.414667767932762,10.520139573354648,9.693640265134379,10.61775206157478,10.13059433592706,10.111409147169413,10.679684720365097,9.24424545957959,9.825847671429742,8.696166310435839,9.818621339657891,17.873753595347964,11.32768853475059,10.484999528123522,6.998411722730927,8.08199156079239,11.520317398657232,14.085697597315255,8.907837369530663,8.130841055950743,8.981346274914134,9.674558767856801,12.34128888526087,10.67616915084407,11.79959196192636,8.367778375149065
msk,10.535873601849207,10.146929550976335,8.329102206810731,8.23500591754128,10.67017272282429,8.626908023861308,8.291212846655615,7.032682371169267,14.201852048653818,8.841009332293167,9.456769373238034,10.68306516213061,9.226424120626946,6.329077317422262,9.222801621580414,12.300478775372977,9.186516846109011,11.521395900168114,10.716204532559727,9.4716867599854,8.839184658713378,8.766785537381645,8.779745379615923,14.111221897902656,13.525395848435245,10.643362849706733,6.61870180313677,9.485711783690169,11.614692050929197,11.71833206729781,9.269765048691402,8.016564951763668,7.911283008439702,8.705571301317947,10.802424212138297,11.288530071734337,11.08400377159873,7.165227494535093
msm,10.033959933539965,11.566757849361366,7.811044616134086,8.448490519254795,10.75576988393436,8.434862628127297,8.359498140515282,6.45460151977018,12.048485080255961,8.837666979695987,7.956633651541869,9.331199852516932,7.509231499939517,6.1021421795867665,9.377989156376081,9.524806498269143,8.15372574222257,12.671157717678907,10.761310881815463,9.927264206361427,10.585750429379228,8.215634097183083,8.729585121836545,12.90639522680602,10.695870079913231,13.460232006042999,7.57364796630933,10.423165262530322,11.101720995687147,9.72320364866244,9.04302994130066,7.903179776208168,8.461680438350939,9.296130158324335,10.978814129826828,8.901461362635704,11.546621892546288,7.164575578303212
mta,9.40472798163241,10.887464069351541,10.59919282309086,7.655530299265628,10.96424998462306,6.50757193276013,7.832081756006555,8.723142400059503,13.491566949672084,9.7332237107343,7.924841495828187,10.564604257661864,10.736750838144559,3.185129301821758,10.102110058363651,10.339017995531217,8.10378493502427,9.225990004431758,9.010371457506889,8.239232972310027,10.4510798956359,8.4660830588734,7.55009917822321,11.375424489570696,11.372384356594782,9.598850139837113,11.071011789382672,7.5712559711795535,10.00659199104383,10.152365535970258,9.613894772957444,7.553385797683837,7.94255823000877,9.47156061458519,11.749840737415926,12.113149012712206,11.689409358354485,7.148014958467284
obo,10.348088723098568,11.696695164013775,7.13403570307395,9.193160255326235,8.560785706793101,7.880556790886138,9.219347336893414,5.567322073532186,12.591516007230968,9.029720817395644,6.46288536066263,7.707325795372638,7.71907745050924,6.3160839204201,8.147012632864008,8.303983009830358,7.456440707282111,9.84483524342259,9.57422955922783,8.651909774470697,10.162348201749042,8.708620606394291,7.737855712703799,13.148981665389876,9.522080924188685,10.699172334179838,6.97548506738967,14.446287972930556,11.265824632907938,9.249537688604354,8.99868212219248,7.698548706945574,7.141006771864503,9.678397602877194,11.277120237728818,10.80783578395329,10.602713373841038,6.645893328997745
plw,9.21523847068383,10.187422643979835,8.067037851808383,7.010496420240998,10.5420164975034,7.346482981705805,8.571990081399065,4.475830781113389,11.377432885552848,8.39210413867089,9.462426382243997,11.005498261580104,7.47624887022406,5.6286425746013595,9.550641776183822,10.141935995563015,7.463775362550742,9.26536027096912,8.819730966334333,10.137726194419388,9.793931660471731,5.6837082958057366,9.013622625151028,13.542412181272825,11.569500126258399,10.500303754538603,7.968439400430303,9.765904333582865,14.494328312830977,9.731543006111359,9.227857392966548,7.848159085487048,8.348084861717153,9.59599562117902,10.411891730180654,10.501641533255299,11.643260870009398,6.581417618495268
rol,11.512866867878799,10.288016223142874,11.273399067296824,9.304204587065188,11.27591300455906,8.022076549330812,9.329194505392621,8.322762060777379,15.880013592390405,9.696668225200284,9.749508498353405,10.156346327422687,10.325737252806372,10.415313497296594,9.81931387675144,9.818121604499218,10.13124773005856,9.686331436339515,9.719154936457711,9.553578616391494,9.593409867616074,9.111386341044772,9.935160807279361,14.361728723432988,11.670641308163683,9.535776657393319,8.076585375269417,8.068503692162663,10.959807901940536,16.457318038431367,8.054611077190392,7.932530198476548,9.221023019018206,9.210155087989433,12.447820851567325,10.91611158585518,12.26729018884964,8.943808854183048
suc,9.603140843746704,10.578870388375003,9.195440360747597,7.546182186239532,10.004289750584439,6.001981459276156,8.084872299324521,6.420637936124344,13.256596174390308,9.899790593236293,6.536593667603789,8.167368910691566,11.052074038038713,6.334514818617182,9.758955726944581,9.510922298748026,8.580701937800791,8.88821224209872,10.109658620122376,6.8625129436762204,10.40392530171076,7.8054713174951305,6.193089840016751,10.152782248122078,10.60988143747115,9.877731654923448,7.043160659959083,8.97420350647125,10.30431493880673,11.098523591247469,13.602587777924796,8.913127593033,7.381613318758798,8.313961714389057,11.330407297506172,10.177217697521748,11.57489661467558,7.077182356168367
syb,9.61950064763045,11.370498655494336,10.415297322723477,7.6515412295104985,11.061198527639348,6.190455914722558,8.29722376353116,7.461862969050862,12.917290251683594,9.837970027457777,7.847353565360116,11.676341910152827,10.887255719614583,3.5433177912768565,10.363014610046656,10.213481963341405,7.1716753141114795,9.093398649221394,9.684540247773683,8.319495717719311,11.650167998332986,7.147098511572822,7.313657389940147,12.426990076457347,11.737539291940312,9.9829151721002,8.98940152997913,9.341076421351582,9.944371432570092,11.532355657074023,10.063310576181198,12.758203528443154,8.921810818055752,9.555367725383068,10.794689497821357,11.288414954659293,11.450909702890012,7.859162990745509
tbk,10.081658722236138,8.94622595398665,8.507508315333595,6.722765363950392,12.210375076608711,7.33630826938849,9.671972110526271,8.628032091425249,14.685158656345706,10.028595302748368,7.774511079145382,11.61208066700131,6.933992895381107,2.419365703155506,10.241139971700965,9.073070619037034,7.014498736543725,9.482561923438556,5.487526214056867,7.995811164678026,9.558230740266188,8.928627393385247,8.774102935584702,13.444476655301699,11.203587755793194,8.427126910080284,7.6150921978586155,6.424972552771815,10.847961750387448,10.548778167561828,8.682136444519344,7.153903026411845,12.854803716042207,9.378426077781217,11.144024748726977,11.660141775301492,11.820557358609111,7.90017126794401
tbw,9.749123041855395,10.155098402848678,10.812285479916062,7.356629059506821,11.576085589733607,7.460206140729802,8.744447838066082,8.867449986076199,13.120676804317402,10.151751308253305,7.493740728242318,11.23364434994923,11.3719791705585,3.558295188569121,10.236830957140251,10.427706475500527,7.333165637473737,9.305721007451623,9.887722251207757,8.670920748580327,9.544800976693594,8.416237506760956,7.290302055805724,12.430149774844791,11.117935068797566,9.495977913225277,7.132809133984258,7.501797381023836,10.986472674392258,11.738116350369534,9.53395113547235,7.601057838193828,10.20568685607168,13.947639949106563,12.126186141774879,10.096556633071097,12.609728814001976,8.05460946815703
tgl,9.078315935857013,10.31429087251099,10.695794779879547,8.418902965977464,11.245280349888823,8.483318960093477,10.5385843665885,6.802932155928806,15.47067564579998,8.386445714546447,9.26495145957992,11.14428445642436,7.673268097231737,9.214669943897594,9.622601640924186,10.59553023078539,8.695377798235715,9.94840491696771,10.628844736105073,8.563420146521656,9.38810312833356,9.651741930366605,9.878926074271241,13.677950268592532,10.972696588595634,10.415140632845803,7.422052392698173,8.403321006200848,10.780781419306344,11.16193799010524,9.358666021249327,7.790547281731362,9.27137788463308,10.024470671811201,17.001365015150103,9.996734683881334,12.42150760132064,7.425917008948268
tsg,9.716562626118064,11.115839071157351,9.270645587786456,6.386408964673818,10.946036461889468,7.662149127217291,8.546878189918807,8.565653473594367,13.28424300497545,8.452570731968766,7.091307202439346,11.097213386291434,11.735243062350255,3.72102806328879,10.430511158928315,10.144671371132953,7.1985008096810565,9.358196127875088,9.981732761718428,7.748020380526518,9.494151475772462,8.36664476056372,7.699290096164914,13.120788515674029,11.213074091235624,9.866678119122291,7.79394469455956,8.210837730709876,10.734672885054005,10.092684648053824,9.516667189696387,7.963909764095783,7.650425771423803,9.292575326892552,10.463050230415574,13.862804889454248,12.345928098428208,7.72565875360912
twb,9.261333203544027,10.53647796168033,8.003008198931315,7.549433271867698,11.011579186108149,9.357908572927963,12.041056325039694,4.2368611930762325,11.480753229990214,6.9362588995416585,8.311772136963668,11.61131976457736,8.349822455878469,3.786574549410615,9.098792090490692,8.706140998687886,8.242377524739018,9.916280986797414,9.730378344733293,8.618380589717123,7.102855529219348,6.74761377458903,8.6356785783451,11.289702421761334,10.469649142258941,9.66786647048819,7.814528632499624,9.07584200459404,10.653912853997145,9.438722190886342,8.268057697870349,7.736371531753868,6.7863820072055185,8.611382755226442,11.664990954355618,10.14784608543918,16.134789363075484,5.978828765128523
war,10.928622111199937,11.640152428154177,9.378417341653977,9.486507988156818,11.04443941564072,9.057594744742339,9.12152135317991,8.018473787317502,15.106087585464135,8.432979890202839,9.207974771215715,10.271027418895216,9.325992704237567,8.994731131460075,9.059141036880588,9.851427855519562,9.577527066543968,10.50819935186434,8.834136514963541,7.437546611491094,8.595348971610168,9.173800402076155,9.394986702363857,14.366220474220409,10.992472559215265,10.036761649029698,7.073498436497673,10.463823653606495,11.26802006611464,12.052255889113697,8.430395764489111,8.333196198946517,8.26713255514417,10.213577820420348,12.562179132654943,9.857566999135054,11.40861903175312,11.312889669563406
