,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,12.041083226335115,8.483197323756723,5.4736804874873926,6.8385840583885384,5.865407866910009,4.035160887566649
ara_ALG,4.166143353842014,4.900254431750379,3.039788725199109,4.99008116856593,7.964915311560012,4.909463229614132
ara_ALX,5.959973726219402,16.40042815591014,4.172306249904435,7.735961240354283,5.533178111905161,3.8328905368002077
ara_AMM,9.969663383696506,10.151242115775183,6.34411904994737,8.234580519618445,6.210909356113479,3.832191131698726
ara_ASW,6.426677423555514,15.665840188335524,5.044833499045779,6.105000133574657,5.552920654573589,3.531649049661878
ara_BAG,5.688157080527543,5.771254778782969,6.611877949516034,8.57206846757683,5.477492029594032,3.754740714171079
ara_BAS,5.900672281650928,5.736315827483119,6.33398092887014,8.008634296595307,5.6468388151754825,4.139059652466931
ara_BEI,15.81259030747353,5.766781529225002,3.907927675635081,4.4123699515721855,4.667689119554389,3.731155306286279
ara_BEN,6.4361049088735625,8.500427516037181,6.500320090499078,6.709465687880323,7.911465203321293,4.735402104269632
ara_CAI,6.3691119959114575,17.201743584919925,4.858681567238473,6.435448996679004,5.886091134223885,4.074107332647696
ara_DAM,11.516254174180713,8.527794645564615,6.136917883490677,6.75444228989917,6.0548202683761945,4.148000019856498
ara_DOH,6.99730994877435,8.278153309102583,17.078047069241435,10.424178666277308,7.791073627059724,3.9777107200986612
ara_FES,3.606495823226278,4.570623928027164,4.150110397841661,6.578218239713773,15.01614861683688,4.109031008625149
ara_JED,6.86578160646235,9.518580241987346,7.389442009682674,7.0854208082054,6.254969045548514,3.6795076834146228
ara_JER,12.221053253361859,10.059288156705803,6.218175448786366,7.049720327527678,6.035784075583656,4.293272786992541
ara_KHA,5.885534937500921,10.01514047286712,5.625795244020112,11.113789791051614,7.039742421410812,4.208050802075051
ara_MOS,4.345631720179773,5.2135835339312955,5.273616617634013,8.07071252279713,5.4958637583370935,3.523195184870849
ara_MSA,3.6572047246538695,5.268411333787592,3.4284783093887015,20.855052274901173,5.686326381824357,2.892415945887013
ara_MUS,6.380854665603707,6.935552831722789,6.944826190666276,12.868710354072928,6.58769782694741,4.121829985642
ara_RAB,3.005682980464248,3.8744419968273864,3.486478053221687,5.554901931342737,16.18460188199737,3.828189101149023
ara_RIY,7.4720002771256,9.232982563674177,9.773840109827526,11.14784197471987,6.5107098769556675,3.966446094245047
ara_SAL,11.355619643184548,9.200871081045586,7.508515344571119,7.72534126378958,6.293306166044071,4.48737952683468
ara_SAN,5.436890766837543,8.383320134225608,6.869445527761489,8.167878340348048,5.591384666591931,3.5604517496919184
ara_SFX,4.712690169319828,4.0093596172630495,3.4740364095738188,4.001251083653885,6.189779056928088,10.214878660583354
ara_TRI,5.276174310953803,7.847865582409294,5.170252464761991,6.2776513884572775,7.6038269388762165,5.622678821599568
ara_TUN,4.526940045560335,3.98379657358142,3.0716243570832287,3.8579335945598525,6.578686890658495,11.797564413529598
