,bho_Deva,hne_Deva,kas_Deva,mag_Deva
bho_Deva,9.127891058066824,9.077517690875531,6.254350763430833,6.45128217454005
hne_Deva,8.397106687111421,9.9816349805446,6.410801674820586,6.298546333011289
kas_Deva,5.768475627261595,6.623055353466649,6.744925424371714,3.4157830832626557
mag_Deva,9.325016713917968,9.274114276789255,6.407072358074882,7.879398572525254
