,ace_Latn,ban_Latn,bjn_Latn,bug_Latn,mri_Latn
ace_Latn,8.061693073365118,3.674386418272922,4.820548996427256,3.6761031764201673,4.566972569120377
ban_Latn,5.471824737302791,8.316861339783474,6.6265613602602915,4.651050230107483,4.679352424521395
bjn_Latn,6.275753549728121,5.5564293906015765,9.149072816654094,4.246317527674515,4.901329524346884
bug_Latn,4.310287692124867,5.275080209840528,5.625455232157943,6.122804045531565,4.05168166655223
mri_Latn,2.8433723545979293,4.150744521634296,4.341582185317235,3.762624887000977,8.53292672728581
