,cmn,hak,lzh,nan,yue
cmn,16.954272675825763,10.341799669024883,12.332565881355984,12.190627606186503,14.644464471946437
hak,10.72813499086545,12.611431816747013,12.646527156849508,12.158254690785334,12.789519014297307
lzh,11.70465771748977,10.376975345733166,15.123749129013742,5.384257646639217,13.633581418358947
nan,10.162091393989556,10.524712751745662,14.486947966310318,13.364282629893086,7.0222901182809645
yue,14.511755861238326,10.685767732685877,12.620301428883913,12.25764843926773,17.694980743990733
