,cmn,hak,lzh,nan,yue
cmn,6.777162491055512,1.7867955516614251,2.453744097843084,0.7263659236180163,5.76593479611894
hak,3.3444178250812575,4.331850053310849,2.47979028035782,0.228825321384321,3.6748792059509183
lzh,3.2007682465360867,2.3052141019369228,4.819519862593332,0.008381431875523038,4.517068218166656
nan,1.0561095542463876,1.0040779482633115,4.7120040926627444,3.601216975505508,0.3536277057810129
yue,5.478806502712871,2.387379200096684,2.878677991293064,0.7263406244440318,7.626979251983984
