,acf,car,crs,djk,eng,ewe,fas,fin,fon,fra,fuv,gul,hat,ibo,mai,mfe,mlg,nld,por,spa,srm,swh,tam,tpi,twi,yom,yor,zul
bzj,0.28085494519115695,,,,8.766246187509731,,0.20887882318403272,0.02135398553229115,,,,0.5889660113611576,,,,0.28053055150122547,,2.5769449730818605,,,0.45475602535349263,0.22522859426818095,,0.2694748900033088,0.5831674931267075,0.6101060085729688,,0.5261062524660476
crs,0.4933907255494753,,,,,,0.14631945305917712,0.0275846214666375,,1.0045113158385561,,0.5882134946083653,0.12098851114454301,,,0.31399334546408453,0.6315559140537826,,,0.3942052403690935,,0.3754500115457918,,0.20062907052840662,,,,0.46948568408052677
djk,0.13997810714293973,,,,8.261160335007464,0.01726241620391111,0.13112471202258114,0.38473175288256206,0.7910230993708202,,,0.43395532611001736,,0.0950386604441914,,0.338089281863814,,0.7037241218444625,,,0.6224389920555993,,,0.1338615669827467,0.8088682864876379,0.0,0.6231477713242907,
gul,0.12767375524656419,,,1.3000528992122529,19.78571645302624,0.711924043618903,0.1737338646340747,2.2714747468511147,0.47944162860184447,,8.436147639001397e-05,,,0.30831630554111683,,0.532406597915394,,2.663955897920369,,,0.2740203146103988,,,0.379468542067403,0.67065512868875,,0.1268196964863534,
hat,2.453349575404088,,2.240271581482631,,,1.0109441752346289,3.0877265404597334,3.4535154629832525,1.5004593894352265,2.008687423957052,,0.9570256985946606,,0.1911365497659646,,2.4520522704569507,,,,2.7862988159543347,,,,4.018782931552404,4.079366556186909,,,
icr,0.1764314208075109,,,,13.67926124856349,1.35287849694755,0.19050099812307292,0.2529197742366205,1.9987443504738671,,,0.8398633203804606,,0.5417442914446864,,1.1386772189621273,,3.598067668584983,,,0.0007164338674315549,,,2.002346800492763,1.2141424836016443,1.4670886030730919,1.126127197223808,
jam,0.8366480549918192,,,,10.823842273267745,0.00273559074155723,0.8429167327317847,1.1013068690656427,0.25049289654143936,,,0.6723294973291168,,0.038296467165858716,,0.7767323398946921,,2.3249211326322543,,,0.027044483566799175,,,0.8811892542327437,1.4878295767859477,0.12154136225043717,1.5949201728489057,
kri,0.5921332428598156,,,,10.631098586468998,0.626549896435167,0.13103047969137185,0.14307889292039017,0.35035275293710605,,,0.20163079782240523,,0.17449464993699718,,0.3741390275864032,,5.038575515168912,,,0.39822732066494104,,,0.8242242387414425,4.6897239514435745,,3.7425612986244023,
ktu,1.0418888344541992,,,,,,2.745325214008952,2.5532330241173797,,,,3.4751036255042593,,,,,,,,,,3.7422596516191526,,,,7.518061580947585,,0.6938099005888692
mfe,0.3081086690924514,,0.47029172988082124,,,,0.2162474002963244,0.2857750637845401,,4.10863756261123,,0.30653059802744714,0.12922068670062878,,1.8339846095169898,,0.19885480402863784,,,0.9930843934672736,,1.5202146825598528,0.23547434163678044,0.2264716086474656,,,,0.21309049954307407
pap,0.09410971712414526,,,,,,1.43710375375719,0.21125012492101375,,1.2126752810121317,,1.055324242462036,,,,,,2.5655562704706725,0.0,0.12249340483577509,,,,,,,,
pcm,3.4353175609572886,,,,30.645193602421845,,5.431457660055454,1.3533566429507737,,,,11.741989382268494,,6.243051013078626,,8.60479961579739,,15.140469841752008,,,4.15646007171192,,,11.696253982740282,1.2807781595952963,,9.232708942237734,
sag,0.46613798641900095,,,,,,1.6909459442036978,1.453550472315445,,3.676627956652005,,0.06519972106386382,,,,,,,,,,,,,,,,
srm,3.319119392851749,0.0,,5.7442048701147135,6.391097848082665,0.07741384814713026,2.358846034249162,0.9110175370624388,2.7756829589500125,,,2.187021903448928,,,,2.429883488343987,,5.182029511220091,3.9130997604752755,,,,,4.464183975539194,,5.6730471566927125,,
srn,0.3058852656013699,1.3309406025933976,,,6.228488394692111,0.2764187672919098,0.4688654306819399,0.39134293969572753,1.3773637542916042,,,0.3127683096129027,,,,0.6032303856154183,,3.067471454562911,,,1.5872678657391783,,,1.6800680883621866,,0.32837198146000846,,
tpi,0.47492143257116337,,,0.1802512682269069,7.147105925854558,,0.24038396190999353,0.4161248133554476,,,,0.3341700671800494,,,,0.6293069726411105,,0.7754378906614428,,,0.13014861517096515,,,,,,,
