,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,3.1305162615913726,5.838262653729945,,4.11594609602304,4.044500679984482,,,,,,,,,,,,,
bul,,6.1514697130431,,5.524520175953716,5.395156898916164,,,,,,,,5.782258062417379,,,,,
hrv,,7.400056470568174,,4.141040494801935,3.2877202263400136,,,,,,,,6.677159917681935,,,,,
slk,,13.424424118054988,,2.885399158235454,2.3066748440563765,,,,,,,,4.131726531742522,,,,,
nob,,,2.839855167681957,4.993726060101265,2.8665480062279047,3.7755147962901465,,,,,,,,,,,,1.4825772629411584
swe,,,8.339701861707935,5.423787017302401,3.246219091483155,3.558739930421677,,,,,,8.110311159994787,,,,,,
ces,,,,3.9193869167376105,4.053395774758294,,,,,,,,4.218319436700555,,,12.378327466747724,,
dan,,,,5.77201472426616,4.104811000932752,5.074356928915217,,,,,,20.632057397910906,,,,,,11.65579366323073
eng,,,,5.662044764302544,4.256816139687541,,,,,,8.131215646921714,,,,,,6.8542717954609795,7.104449637333694
fin,,,,3.1337970866734675,,2.98743848273556,3.793188856182397,,,,,,,,,,,
hun,,,,3.1497711249705,2.8426126303471855,2.9577297266023517,,,,,,,,,,,,
lav,,,,1.8876173024355896,2.912101358574302,,,,,4.062256483382436,,,4.4582469391770765,,,,,
lit,,,,1.9349220141625303,3.6155824766795632,,,,3.156320611790287,,,,2.645432915832034,,,,,
nld,,,,6.933220296285201,5.354592189947292,5.552278175083222,,,,,,,,,,,,7.349968671979218
deu,,,,,4.289014613056842,4.0911885115283555,,,,,5.887657621857418,,,,,,,5.235826947697389
fra,,,,,3.8707089127536083,,,5.780640683012621,,,,,4.042026746228765,5.685576428165112,,,,
ita,,,,,5.116752356505335,5.998193744304003,,,,,,,4.646596115409739,,7.510570782376849,,,
por,,,,,1.825239206998405,,,4.8887345852561355,,,,,1.9211094977527883,,,,9.65796219846227,
ron,,,,,3.518345108772197,,,6.154680096254304,,,,,3.576795931609283,,,,5.843654642163157,
spa,,,,,1.7712665849417577,,,6.132721742201598,,,,,2.3508324320964853,10.043407834053477,,,,
