,spa_Latn,srd_Latn,taq_Latn
ace_Arab,12.737134873526943,15.736774326568806,17.052514879229914
ace_Latn,22.35535482517676,24.04004645834664,24.790393354142747
arz_Arab,27.56479584317026,24.891572235028807,17.58672302235509
ban_Latn,22.885659100755177,24.191340323348776,18.752190256954073
ben_Beng,16.542437862594866,18.329325679701686,14.653353089639666
fur_Latn,35.45325897510996,40.09845794264017,23.02231034445518
fuv_Latn,16.22021089977139,18.336735883615347,16.971514520856168
hne_Deva,18.33270324541432,21.398466465635536,20.321287615864957
kas_Arab,8.257442500529038,13.908018668674554,13.705372016042647
kas_Deva,14.628728789742526,19.11848705483343,16.33861140639241
lij_Latn,37.29554662215903,40.27019433580764,22.457543355417023
mag_Deva,19.414457932327124,21.4899050016125,20.631816101798705
mri_Latn,21.87718209159221,21.40352920992783,16.847745604616783
scn_Latn,32.345817723581696,37.167208160670306,20.256144500242144
srd_Latn,35.69871630283122,46.96642711934416,22.092359231183742
taq_Latn,17.40139446279375,20.32175729988364,22.52703711502368
vec_Latn,40.95851348975023,43.369592616390094,23.759155453589955
ary_Arab,,22.762833613856838,17.75662680646148
bam_Latn,,19.30677301128128,19.516498342617066
bho_Deva,,20.05836118653364,19.84246814277271
bjn_Arab,,15.452140355387733,13.398960444966296
bjn_Latn,,24.3145608559893,20.070966225773386
bug_Latn,,21.669105740816864,22.514701954500964
crh_Latn,,22.189926879589013,17.999131494245493
dik_Latn,,19.482485872848375,19.087171564700938
dzo_Tibt,,5.552592949935837,11.787994355777244
eng_Latn,,88.39211212322556,47.56310171810041
gug_Latn,,23.664254733006977,19.918691564762774
ita_Latn,,52.500956877864226,28.608249103737176
knc_Arab,,7.993362483939414,11.573442613738884
knc_Latn,,20.527786197369103,20.14796826815971
lim_Latn,,33.74485627760559,22.978868211085498
lmo_Latn,,38.087475730916964,21.249095231861894
ltg_Latn,,23.41330655565952,17.090771278030044
mni_Beng,,15.611829622613124,16.208722277426837
nqo_Nkoo,,4.514950489663954,11.43743395867455
nus_Latn,,16.049411974993568,16.040067295550188
pbt_Arab,,17.52893563071448,16.963783714640186
prs_Arab,,25.350251852457284,23.72712046406294
shn_Mymr,,2.237611166562432,8.994118709902544
spa_Latn,,47.949978137147994,28.614823632481002
szl_Latn,,37.213465192158694,22.54934873545838
taq_Tfng,,9.364888403722576,15.943539140174698
zgh_Tfng,,12.572636078733273,15.560063277355532
