,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
gpe,0.0,0.0,0.0,0.15153053340476264,0.0,0.05262162596255189,0.0,0.0,0.0,1.3078423098336202e-12,0.0,0.15079018235357017,0.017342691814733625,0.0,0.0,0.0,0.0,0.08274485843621356,0.0,0.0,0.0,0.0,0.0,0.0030910606724994655,0.0,0.0,0.0,0.07447126708834434,0.0,0.0,0.020158781120868045,0.05503124337022916,0.10811496756721692,0.0,0.0,0.0,0.0,0.0,0.0
gul,0.0,0.0,0.0,0.11011440611967313,0.0,0.0394105815615011,0.0,0.0,0.0,8.054355735995625e-10,0.0,0.056353056283476616,0.0008276150868892282,0.0,0.0,0.0,0.0,0.06596939608615557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11183804063750932,0.0,0.0,0.0,0.0676143081587414,0.04570966357000497,0.0,0.0,0.0,0.0,0.0,0.0
gyn,0.0,0.0,0.0,0.05944581671862548,0.004560319287390671,0.057559323843068604,0.0,0.0,0.0,0.0,0.0,0.18107861691829866,6.44085280387368e-05,0.0,0.0,0.0,0.0,0.07970716195873821,0.0,0.0,0.0,0.0,0.0,1.98977646938344e-05,0.0,0.0,0.0,0.0,0.004958061036420305,0.0,0.019520097689015872,0.007000253949634685,0.08239699047254995,0.0,0.0,0.0,0.0,0.0,2.6605324593350972e-53
hat,0.0,0.0,0.0,0.18928867460476703,0.0,0.023998744280372887,0.0,0.0,0.0,5.282818438804721e-17,0.0,0.19084217790319774,0.0012920224396074623,0.0,0.0,0.0,0.0,0.04605314728364637,0.0,0.0,0.0,0.0,0.0,0.003785404142216988,0.0,0.0,0.0,0.06928023605162957,0.003437937949071871,0.0,0.0070647873491484605,0.163891186485698,0.08037774546796964,0.0,0.0,0.0,0.0,0.0,0.0
icr,0.0,0.0,0.0,0.13578917028847656,0.0,0.027229674221418105,0.0,0.0,0.0,0.0,0.0,0.21053153072551492,0.0,0.0,0.0,0.0,0.0,0.06787678698775934,0.0,0.0,0.0,0.0,0.0,0.004813268886285905,0.0,0.0,0.0,0.04159689566890778,0.0,0.0,0.004425054760446526,0.24043893912379397,0.18103269488481094,0.0,0.0,0.0,0.0,0.0,0.0001671626621060112
jam,0.0,0.0,0.0,0.19932471571280283,0.0,0.03179523910395289,0.0,0.0,0.0,0.0,0.0,0.2015849434724538,0.004609599308310518,0.0,0.0,0.0,0.0,0.05065152493460185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07275103571628583,0.041158798785980895,0.0,0.0,0.3652599634536532,0.08934117822382366,0.0,0.0,0.0,0.0,0.0,0.0
kea,0.0,0.0,0.0,0.06272267229931605,0.0,0.03370599886113357,0.0,0.0,0.0,1.9098578620135435e-13,0.0,0.17804461326647006,1.827499795126988e-05,0.0,0.0,0.0,0.0,0.06749068662356576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03401104756254975,0.0,0.0,0.036216722085165964,0.3212346271673355,0.0867321756034849,0.0,0.0,0.0,0.0,0.0,0.0
kri,0.0,0.0,0.0,0.04191298398654599,0.007830229878843697,0.08412516561679259,0.0,0.0,0.0,0.0,0.0,0.2463863953224041,1.0727653433082255e-08,0.0,0.0,0.0,0.0,0.0705637172417269,0.0,0.0,0.0,0.0,0.0,9.711725085432576e-08,0.0,0.0,0.0,0.08976031989267634,0.0,0.0,0.18603257546274898,0.0002338273141669516,0.1049116017789888,0.0,0.0,0.0,0.0,0.0,0.0
ktu,0.0,0.0,0.0,0.22927342161782982,0.0,0.0574604835191718,0.0,0.0,0.0,0.0,0.0,0.25279828468126236,0.0,0.0,0.0,0.0,0.0,0.07252101205977597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055948909502307,0.4101543059965746,0.28444677060970686,0.0,0.0,0.0,0.0,0.0,0.0
lou,0.0,0.0,0.0,0.16954938039952264,0.0,0.021804720405018043,0.0,0.0,0.0,4.9714823235602564e-08,0.0,0.26881323258874107,0.0,0.0,0.0,0.0,0.0,0.06141493530184971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03655095895153559,0.018679766616440618,0.0,0.006708619101241514,0.38016053686483664,0.1030718011731694,0.0,0.0,0.0,0.0,0.0,0.0003949538046713811
