,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
icr,0.911064976329953,0.0,6.631949241660422,2.0400577126708974,3.4516953932060432,0.0,6.509213629878915,6.5073719831655445,0.0,0.7851640126629308,3.885708673516551,2.2978738573517457,2.0318474531301938,1.0004422142595637,0.0,3.336275098680678,0.0,3.2384520949991695,1.5761783017772233,6.501853290390692,0.0,0.0,6.631949241660422,1.9424929299289402,6.525835478364963,0.0,0.0,0.8407682814396654,0.4691605154510196,6.794145724480311,1.8598357642459225,3.669558554615243,8.107380077799018,0.0,6.505531378268739,5.965141529328975,6.631949241660422,2.349130252933336,2.6345307516742995
jam,1.6907921615607862,0.0,8.640361953502241,2.369644597745831,8.797404700383,0.0,8.67276664233599,8.67276664233599,0.0,0.47503365466445907,4.609304983699393,2.5745536152412405,2.701152636760842,1.6586781516042637,0.0,8.65653397226617,0.0,1.9744154769199713,1.1904115644412046,8.67276664233599,0.0,0.0,8.640361953502241,8.668702770108046,8.676834326622963,0.0,0.0,0.6858558211063779,0.23680887650368285,7.9583767290293945,4.326242647406082,3.448087591302249,7.272001124400858,0.0,8.67276664233599,7.290295794348851,8.648440402736071,5.158447804761846,8.446286751893767
kea,1.4037324934241928,0.0,4.693744555094031,1.3512267276804872,2.4820515019873595,0.08731762662877335,4.709120840523237,4.7052673322702585,0.0,0.3461941278376973,1.5289247421823364,2.063519110900207,1.6281059140322185,2.101555840323008,0.0,2.4851886503211964,0.0,2.4156603184191097,1.9429583295933341,4.700139121009225,0.0,0.0,4.6950220759233,4.709120840523237,4.5545466501800345,0.0,0.0,0.42095924222870074,0.28417163967036085,4.814631805829908,2.3518187886114323,2.4229938196567296,6.118620400335504,0.0,4.271439167519956,3.0472994563566034,4.693744555094031,1.7132813851984219,4.411659028816656
kri,0.13437248051599032,0.0,5.393614051501046,0.8712451595803169,0.49586247613821516,0.15696656443851012,2.5916550429646468,4.012974076606475,0.06565126050420168,0.0,0.9431420102398277,2.3861721775239415,0.353734712572342,1.7208325551790773,0.0,2.835475962995148,0.0,1.3664061738161017,0.0,5.141851711957606,0.0,0.0,5.402816379820163,0.26629772760104103,0.0,0.0,0.0,0.16231006662817887,0.4691689008042895,1.7237989244869172,1.4541134606261985,1.0985314015918983,3.6162736789737,0.0,2.8779592305044557,0.0,5.402816379820163,0.46663734345418423,0.0
ktu,2.1635282839521937,0.0,6.911328225370807,2.590424394844178,3.7200617687089874,0.0,6.995942926540552,6.971556620427723,0.0,0.4426659478960409,2.769489599839098,1.9391136388947159,2.536156016612503,0.0,0.0,3.537073114373389,0.0,1.3262222788445281,0.8892683841139597,6.941311777878023,0.0,0.0,6.947339734268324,7.413739572354178,7.026666776372627,0.0,0.0,1.2599537328465316,0.36456434560699963,7.3943913047907195,1.7066670379895548,2.5121205400871824,5.960095371497954,0.0,6.971556620427723,6.593291210386208,6.917304195336895,3.6938282338524675,7.002066183463973
lou,0.8560414453505046,0.0,7.055701125576418,2.062436539336389,3.6473178594817366,0.0751485196254232,7.079299276698412,7.061978569373674,0.0,0.10339578978130841,3.7010700548470123,2.4722038553975727,2.271188026274082,1.3601258278612791,0.0,3.628010465133262,0.0,2.1409649430658924,0.6823832315750512,7.057269440030953,0.0,0.0,7.055701125576418,3.6499949182456874,7.098291754815827,0.0,0.0,0.6438080915219765,0.2539645152466564,6.956469268593183,1.776983740228149,3.212324776022986,6.610561987644625,0.0,6.962669024509519,5.877709305074425,7.055701125576418,2.5238212354009906,2.327115192249063
mart1259,2.3672608061869638,0.0,9.7264156434553,2.1722692734886375,9.7264156434553,0.0,9.514292054505324,9.499635464307689,0.0,1.4260207784040055,2.122666656882717,2.6151234735531963,2.8187346943402574,3.112932282378352,0.0,4.968179813998421,0.0,2.221550199146557,1.56867408166252,9.756382368748438,0.0,0.0,9.73139730740285,9.766412353305249,9.519187639982537,0.0,0.0,0.8926709838792972,0.7545855583933132,9.242888559866943,9.73638407697077,3.3920550350059306,4.412597455145474,0.0,9.519187639982537,7.746160794941283,9.73139730740285,5.751118712695978,9.266680475131256
mfe,1.0299094451430584,0.0,6.285203010467388,1.355031516359669,1.340283205589998,0.0,1.3973943583106307,5.136996570671074,0.0,0.09961502349100318,1.238049993624177,2.1038782813264474,0.9325756759996839,3.5662467474787256,0.0,3.1775245112660597,0.0,1.4987316062798919,0.4002142574810708,5.9156158514119666,0.0,0.0,6.287672966783618,1.7115492120492584,1.3985110848820874,0.0,0.0,0.2920902404551382,0.10048231511254019,3.953097904391471,1.5212699239210725,1.4342694620939254,5.140581889944014,0.0,4.747470928745683,1.3996295977433288,6.09118318657163,1.155538420443468,2.3936218521484407
mue,0.3990891592705201,0.0,8.434398448193116,1.0356424847975862,4.180974086436117,0.0,0.9042915372489764,6.8996228015939325,0.0,0.8541234617581538,1.295336787564767,2.250518496627758,0.6131406173589555,3.711100718637597,0.0,3.7398325165826045,0.0,0.8111953591841503,0.0,8.46761670549578,0.0,0.0,8.434398448193116,0.8986315298803794,0.0,0.0,0.0,0.19487815411412426,0.5524861878453038,4.106646632593272,0.7102947791402398,0.8509378067151059,8.991529567496688,0.0,6.514650192366095,0.0,8.434398448193116,1.2010347376201034,0.4068835340313646
pap,1.353547604638497,0.0,6.017941828185477,1.6415664790238487,3.0995948534513644,0.14208551212674483,5.746313090849332,6.028560225672053,0.0,0.40339084093460026,1.8870741127955937,2.0811937311040354,1.7569290260376211,1.9262225626227154,0.0,3.1701417479298013,0.0,2.9955448611180198,1.4869975803988817,6.025016598801171,0.0,0.0,6.017941828185477,3.9645619630611564,5.458063956829536,0.0,0.0,0.6983379883032466,0.40312577524187554,5.294927065795301,1.6476537527984698,3.015830715594796,6.217698638521745,0.0,5.74123756030311,4.288062894392231,6.017941828185477,3.3943763304000085,2.1239103542065094
pcm,1.37248967722683,0.0,9.090811923432195,1.9649977118256379,4.726519972791781,0.0,9.175469351800517,9.15540841584284,0.0,0.16212382348829993,3.7996522120137475,2.623016121708108,2.6987227266101934,3.3268509188598077,0.0,9.110590470172674,0.0,1.2454026716165003,0.0,9.140420186606875,0.0,0.0,9.090811923432195,9.274400865643633,9.18553282343053,0.0,0.0,0.42124303190698026,0.6730146153987039,9.12548095132926,4.547874252431338,3.0604455990190056,5.936071160736719,0.0,9.113467687124079,8.039889720577866,9.090811923432195,5.361985541486155,8.584844707553305
pov,2.5793290332057937,0.0,8.95055473372376,2.0122015907361663,2.2547528833065633,0.0,9.000775158055053,8.99236598772835,0.0,0.8328029206227759,5.971442265803855,2.6258677067456118,2.710572768151277,0.7162169450741516,0.0,4.608902722255008,0.0,2.2607076688727434,1.9684712566466416,8.975594697862235,0.0,0.0,8.95055473372376,8.988167292151731,9.004985643825522,0.0,0.0,1.0992213358628802,0.5604124635731897,7.342916324646008,2.4705553207726667,2.649143201636597,5.477412834288318,0.0,8.542017323567581,8.542017323567581,8.954718354334439,4.189004098411138,8.30631674590211
pre,2.8863187985666543,0.0,7.381217418554504,2.255625984776243,7.381217418554504,0.0,7.406449085168541,7.211062353121312,0.0,0.95608121621573,3.216312072420276,2.1308903388025544,2.332775264763616,1.7249041454761436,0.0,3.7358530475418052,0.0,2.498394545962711,1.5385558520466114,7.398019384568097,0.0,0.0,7.381217418554504,2.147904813240671,7.412079566186201,0.0,0.0,0.26202407564148344,0.3579738679076427,7.395213746893608,3.701818525639005,2.8492409622320767,6.085627576362946,0.0,7.0346468377705795,5.721171564225929,7.381217418554504,4.518000660602867,7.0373227880677405
rcf,0.7253525213253642,0.0,5.882988927748607,1.6898055235142793,3.1057218292477673,0.047370779559680845,5.911573355636373,5.9039237165927085,0.0,0.3061314852815227,0.8623497936554533,2.2606511955893285,1.9527839022136062,2.1337018310797555,0.0,3.0414223120687414,0.0,2.656876883866653,2.671384250530374,5.89629384939327,0.0,0.0,5.88488595344204,3.052222315593261,5.923085054856139,0.0,0.0,0.6187554225674066,0.2475002475002475,5.739113247301617,2.105991432193454,3.1995044342931567,6.443095357501943,0.0,5.907746059833723,4.303535083109496,5.886784202958037,3.6190589877136468,5.917323606469582
sag,0.949990579653144,0.0,6.971482413215608,1.4106491846129074,2.199530165204629,0.0,2.5813292240001395,6.683663813310521,0.0,0.5418028480643529,1.0615379816312462,1.9556445040317962,0.48093423915199984,2.1537209056927287,0.0,2.9920747729636465,0.0,2.692024556619522,0.4533831732474443,6.9812162985452435,0.0,0.0,6.972871306063605,1.2189636971176827,0.6571245771060296,0.0,0.0,0.2504505250464179,0.09538558218870634,2.7764682810530497,2.516811584253869,1.456417239529585,5.864624557517181,0.0,5.689222974966798,0.5552746840781674,6.971482413215608,0.6729234001846597,1.774386902914622
srm,3.060071208080375,0.0,8.247050325066217,2.486166705550758,2.372126810846041,0.0,8.302843931673811,8.302843931673811,0.0,0.31114866092517895,1.4952618543215326,2.383322575183068,2.4124420479499618,0.9311282283642953,0.0,4.133625968870969,0.0,2.09522832839114,1.2508217076911838,8.287552763413782,0.0,0.0,8.252091466815394,2.1820366759501817,8.323320147430099,0.0,0.0,0.5600479817484711,0.8140911782119598,8.297740609802055,2.174229916506617,3.631689850792758,6.304578338494085,0.0,7.70677791428713,6.192146369684698,8.252091466815394,4.871972875136577,8.318191630986218
srn,2.1325859127467703,0.0,6.485434053327728,2.243475149841443,3.307191275319177,0.0,6.500765065374149,6.498844726157735,0.0,0.3154092899374129,1.3479081307316945,2.09754979147486,2.0200875079463643,1.9390152531241618,0.0,3.3206899153106435,0.0,2.5656385652305036,1.048149893559972,6.496925521150492,0.0,0.0,6.485434053327728,6.500765065374149,6.508457784464096,0.0,0.0,0.9827087244132126,0.4201137538779732,6.205275744220779,2.0612047940834812,3.0069950220438644,7.346195633205668,0.0,6.212618794261182,5.047180667433832,6.485434053327728,3.9660651928749595,2.599925559364836
svc,3.339604722510943,0.0,6.904822635381038,1.8058022478181994,1.7447866566763983,0.0,6.9374831517666475,6.928743507885035,0.0,0.15958233485176196,1.476305633128684,2.2120757506477324,2.1351238586483468,0.9544477491046492,0.0,3.5430587813690058,0.0,2.3759170187078626,0.6399633689853244,6.928743507885035,0.0,0.0,6.904822635381038,1.8183891127837366,6.950634035361486,0.0,0.0,0.7669241783866356,0.10547039797496835,6.933110575602322,1.9202294675820741,3.110169478698006,6.244305210762908,0.0,6.154955507265645,6.32675365929547,6.909159591884811,4.091064838077704,2.3717717591191487
tpi,0.9331849957698065,0.0,7.494337513874328,2.0632837781094615,3.817809646958669,0.0,7.510893151612219,7.504262126786809,0.0,0.8324556009812846,3.26580583451049,2.5683970962289884,2.4351159635103046,2.452751872704501,0.0,3.991508361348961,0.0,2.4154131995605317,0.449159765820483,7.504262126786809,0.0,0.0,7.494337513874328,7.778772162344412,7.527522096955347,0.0,0.0,0.30138093299866614,0.13570864587445716,6.403520855143535,3.416536219560356,3.1334714363194847,8.539407427825175,0.0,7.2867651110254,5.337177788284179,7.497642800092115,4.558595337024574,7.524190419917251
trf,3.7863419186565115,0.0,5.460009020852942,2.102353199179586,2.937934574572893,0.0,5.514755594110472,5.5000494469804755,0.0,0.34272016180886333,3.2394307130759774,1.963896823642178,2.0281689527538718,0.6826328989268117,0.0,2.768018377701067,0.0,2.4190719391142874,1.7891478367547717,5.489071205871279,0.0,0.0,5.460009020852942,3.0830805350194037,5.5258369177666165,0.0,0.0,1.1406825111518835,0.5696382796923953,5.831500091177123,1.744058709274713,2.6775389878157116,5.671913027067939,0.0,4.497278417322207,5.18498452344184,5.460009020852942,2.533589735757647,5.52213819835795
wes,5.6672335039160355,0.0,8.239003973027431,2.367009074320913,4.234638150154448,0.0,8.28164931151543,8.285938138632996,0.039625931209383417,0.5965593716032855,7.280147480670922,2.2268508984808366,2.566402784779265,0.2624696283762743,0.0,4.179207460194245,0.0,2.6055406179456653,1.5773017330559205,8.25175138786538,0.0,0.0,8.247497868991202,8.33704168341926,8.298831314175285,0.0,0.0,0.97678853002083,0.48116360145250064,8.522805131687532,2.1380840537137553,2.934669595464716,4.97383333195428,0.0,8.031161678603857,7.788233511557808,8.239003973027431,3.8878674235038173,8.043664899241469
