,arz,azb,ben,bqc,bul,ceb,ces,chk,cmn,cnh,crh,dan,deu,dln,dyu,ell,eng,fas,fin,fra,heb,hun,ifa,ifb,ikk,ind,ita,izz,jpn,kaz,kor,ksd,lat,mah,meu,mlg,nld,nor,pck,pol,por,prk,rus,som,spa,sqi,suz,swe,tbz,tih,ttr,ukr,vie,wlx,yue,zlm
arz,27.215702852163137,6.2811241020885245,3.4209196268662665,14.137343745763205,12.830389237578704,0.1021587973863153,18.379322774818863,14.372689355969293,2.380710151803423,15.850290253816803,15.723164601852169,7.873211423305633,15.555991235828564,13.154339911090268,9.747784322088178,12.473587925326768,1.4615936541132615,7.011886824646725,18.30310820013024,16.49082062983303,23.209984478967716,21.848597784480198,15.550687480696496,16.872514305535148,1.4724338673893842,11.713197948531352,13.748935815084295,9.138854103188079,18.624222272894627,16.252550229860855,18.588533556221755,0.4469411872458578,18.118721709503422,7.515748072796525,15.99397260727676,19.142964342549238,15.925796608417416,14.586399657578008,8.41701857043642,19.36732328992652,0.753267629620092,0.054232032905708646,17.881268829283137,15.416523323261499,0.054231808821804624,18.834532011015035,0.019980115495491557,15.75452691475602,13.295649852615496,8.182834978935603,17.281824454720894,16.95431248815239,11.514285599048545,12.46154293874263,10.526694984292984,9.803888971556843
azb,18.877550820787157,30.811727877632865,3.4305808611440924,15.832895424063246,14.779796933005255,0.04150681461108243,18.39069784313271,14.267180292856562,2.823269985807417,16.110787239530815,16.044881507441016,12.009074008360189,16.21630598882789,14.283549030314537,10.063507589789737,12.723332166836949,1.5425173142393676,13.97157687273286,19.34709038899011,16.31268942595451,23.591587421121712,21.33009113921609,14.405778010474297,17.728302509101006,2.359280451603504,8.257735391236091,15.171265811909713,8.549994198326113,19.991062981900217,16.291063566679277,18.301762591996095,0.05137777970823752,17.955691728674655,7.190238503517989,16.794968653519295,20.441517857234142,15.644702572434891,14.754916195468413,10.578277953773139,20.015537840900553,2.350147429291591,0.054232032905708646,18.724794118920748,16.247158783513715,0.054231808821804624,18.835011674346617,0.054231808821804624,15.972895679469303,15.11114747332801,10.269788690893964,17.827013288010836,18.016132958927532,11.949288851882073,13.128206559157366,11.940076698344857,9.157783280253557
ben,18.95247183380252,12.96453869883208,31.107337789187056,17.459038869331987,10.826834301556918,0.030221288285869098,18.434182751969065,15.300055202912954,2.5578137893527,18.862779113316,15.578863642698442,11.531003034263183,15.823809961926896,15.315090177391804,9.436880853381266,14.712396490937152,2.5342137120320785,6.003051343376874,19.56865944602033,15.624867326589603,23.619568134628366,20.391706675866537,9.34817571138467,17.860851349687774,1.2925204325878932,8.386194231059454,12.082731369162934,8.695287739213162,20.405297622832403,16.167313443951766,18.768357988157476,0.0651454799546348,17.732172593861193,8.826937445512282,17.16299939842699,20.31294542039751,15.571503386374749,14.490751286669909,5.398039172486568,19.785588004619992,0.5250062971430383,0.054231920863525164,18.795689525204285,16.988374080931337,0.06060238370933089,18.697281691900365,0.054231808821804624,16.318874194635274,13.49283713882446,9.467407094895435,17.42869454052448,17.006580008256194,11.52701280842358,13.385751540145325,12.054170873674517,10.743569973186121
bqc,19.707500955487227,17.777531216763634,7.771039889092175,29.92696345632603,16.111301354394385,2.6149553196850888,16.227961804125428,18.08264930258589,9.175446770053808,13.956132843753865,17.88723059253819,12.764342563650565,15.453963717643646,17.210727361864894,4.897830480454541,19.55281028340754,7.4952371111161185,13.414010309565572,5.567187226481629,19.50398744219046,21.20880578962315,21.198489616033985,15.062528693749453,18.330384556759217,3.631884507940989,14.957054322020817,16.046604529601662,16.78526391113959,20.40106399996949,22.24236266572998,18.375041919095995,4.04625259848403,19.74067683742774,3.305561339761819,18.273705759173065,20.051286795144,16.193606520078554,17.84366248697595,12.626918123975173,20.255178248661778,15.930628820442722,0.04664592080209121,19.357106527436674,17.044124458346776,8.883456311095808,17.276525433888857,1.5009205829426822,16.112341107938693,14.040567352947308,11.183789580692443,17.967277790014187,17.170587478640243,10.52317809585663,9.501496204352366,12.667707103465586,8.53462643498403
bul,18.83189447254973,13.550484613093147,4.013064901330299,15.719108817261745,31.001454110502213,0.17798252488392513,18.154442137168882,15.556983259312476,3.6626255788362365,15.951188759793173,14.039233139736737,13.444245454782969,16.401473563151637,15.619326951918625,9.28016129562581,15.157569847122002,1.348427196846528,5.181783519239847,19.298032511274705,16.121229100625325,23.233231391959006,20.548328008116368,10.058429938408839,17.96921990035915,0.4275040741976129,6.2310783834451495,14.505841884668671,10.023233248131163,20.524643047132532,5.223651063990162,18.429476867253335,0.054231808821804624,18.330271012306007,6.221584681393896,17.423894349982895,20.777079823647192,15.233259314553003,14.17362009058828,8.285633595365894,20.14723203145065,0.84239526077229,0.054231808821804624,22.646361165631674,17.304635810650243,0.054231808821804624,18.801170428214117,0.054231808821804624,16.058036045746878,14.847748481140982,10.337149773254753,7.0569025632455675,19.720302621968195,11.577400006352763,13.856749566739596,11.265126923793312,9.04550769373348
ceb,23.04348139088479,19.60883465253261,1.2424774053139078,14.269929802256382,13.70845189000422,31.471064485087457,3.199748161616952,17.693663932421337,15.07998602293692,11.1565155734089,15.87836477509553,14.32905283246289,7.813527547726233,12.455955366028206,13.605749724105504,19.053175183406882,7.764687048700779,9.567627140477596,6.394084049316788,10.135310236388575,18.51333410025778,12.626623713083172,11.340697347784278,13.778498472131496,6.4536308759660255,12.960555932895657,3.9556406521762217,6.6735535861048305,19.53145122086611,21.940784626188414,4.565408772581688,13.1325462575702,12.70509797767993,8.680878691778597,11.028803818905732,9.748969709476121,9.543070396074796,12.298093855047133,9.610976540743081,8.948468578318991,12.81159118593319,2.6178384077924046,22.194080248350513,10.596208766702786,17.334272824247428,12.662771398085454,15.313700085599224,4.1688561667454245,11.11539665485851,6.575575073110174,18.65888406141167,19.173361238231593,7.940946540511081,10.268823915974707,20.16355895823938,12.099660440770995
ces,20.74375642549231,18.434941420176624,13.73015120644712,17.490298785152216,15.292514173877974,4.778292809659789,30.095453952099955,19.539465094433922,8.576214791064716,13.811202386778076,19.57358338355631,7.741334024872179,15.808256928264008,18.401291999719323,8.403713453714927,20.854359777487208,6.233190823169326,15.08087750716824,13.2645172442542,20.392409636338034,21.205713095157662,20.867199600283453,13.215141810249767,18.331206120355052,10.24970053600768,15.84662548019894,13.005424390336747,14.880167415257006,20.78832832459167,22.606423683363943,18.578942275733688,8.567808516989226,19.882018803184426,7.1892961972820455,16.71324565963634,20.08120220467334,15.876543714796751,19.591358531327348,10.156648714713269,20.806784558413728,16.088707653868838,0.8380608744622711,19.948750432427627,16.608108598642016,13.150835200527336,14.640015979651693,3.447248732611506,12.800885943706009,4.509538076601001,10.215301086483407,18.564882299246992,17.15674750005613,11.005428120647283,7.288631478914756,16.832550988995877,6.965039320395401
chk,14.198599651428609,11.36790057957489,6.509881817995083,10.302543009203305,5.4291785616087145,0.43816597648172073,13.420202916613611,33.19942560677817,19.993981165177402,2.039271765077231,12.880897850202144,1.2371626130996496,9.298123296508749,9.547507961462793,0.4334414719802267,10.77881960302088,0.48460598003328287,10.682320294133408,11.560090649619546,15.356618939354671,18.307111357293667,18.171679290012182,14.782941071568692,9.149298152074168,0.10143670396871882,12.820522555962643,1.097167453136135,11.151918550401193,22.368194235231144,13.439411657985392,11.187947408498816,0.054231808821804624,15.908274005182541,0.48879999293885595,10.104015679426332,13.160965694402424,13.652052568182313,12.170607243738337,0.12750869384387611,14.907711613649901,2.8617769604658116,0.047831159823437296,14.501935302060762,12.020227718681731,0.056483849148641546,10.920160586424513,0.18477660691284928,12.505715695399457,0.7059810066954378,11.103357249929722,13.912423989916114,14.664164579369988,4.940547460731197,10.536130132477266,14.477048191456332,5.829280906504702
cmn,18.20476273295757,14.37979716971009,4.396786015309543,17.664975890812684,14.201348478825107,0.054231808821804624,17.93305451769932,19.021223398030752,29.688934620834758,18.0771239150202,15.669969776820853,17.08233325266948,16.244608156845384,16.981446923377312,9.361489077168104,17.639777215562393,2.050440761296459,5.583214631567833,19.320254141042824,15.355746836989695,23.666656520646267,20.068060036836908,9.47291285111691,17.177133431668903,6.298915408520937,13.215893848659327,13.875740852033797,8.819052283679282,22.088534165876002,16.022486743512353,17.666918327948995,2.481585079871374,18.89068532573939,6.7664519757825365,17.473992804960368,20.91998438504718,14.912086835890692,13.419477133868904,14.951571505254366,20.35600577421059,1.3417320477847352,0.054231808821804624,19.911759874740234,18.290180350716227,0.054231808821804624,18.265028994604553,0.054231808821804624,14.978210235054576,15.620678002461732,8.549697640609617,17.243756284367194,15.560307892080342,11.448206951804455,15.420461691724105,22.430452423040002,9.091351630843523
cnh,22.544336773803707,19.475981411054942,3.358833422850059,17.554649051184075,6.999856539211691,2.711554374609091,10.17836462203327,19.564773658874664,14.4557331922652,30.610602342542613,19.13351863789458,11.640741970554487,14.719626760755125,21.466895556631403,15.87198919584362,19.380584785714397,7.786134939256484,19.07684992050072,15.120791225681643,14.056742618126053,20.32413058857503,15.11895178027743,11.366854353871462,13.888324062603091,5.869829272396519,12.52762811300039,6.023940031381948,14.288200148110985,20.5586857310576,23.465467022213176,14.101929994048874,8.154027653671994,12.041666413727878,15.197348393991644,17.284592302434852,19.369884812905262,10.4044899869599,16.799178121217967,16.06434404803205,13.499622002700898,17.511633492198055,4.6388611090320335,21.785440036541935,16.149053439482074,16.536986793043155,10.940676824000393,6.524421184977849,8.35163580028996,14.202454211311238,8.119069185014638,19.567037768794986,16.89627403935884,9.068239414470188,9.388022331663358,17.65987534995282,12.002101908255408
