,acf,eng,ewe,fin,fra,fuv,hat,ibo,kor,kri,mai,mfe,mlg,por,spa,srm,srn,tam,tpi
crs,3.428715666719363,,,4.933594552394193,6.336013183080584,,4.785986981165925,,4.377143796895152,1.0894573246852433,,2.1350808926502043,5.309473355545548,,4.691907943076772,,,,2.9854307230561528
hat,3.4712215104360857,,2.2137068390550616,3.633143090492323,4.032859343292383,,,1.9507118203409972,3.1939571517715746,2.4013245575892275,,3.294985971807586,,,3.488429647572851,,,,2.7264645739348423
mfe,1.5690444815357798,,,3.103157743507967,6.444979118021617,,4.03653109898258,,1.989475494280555,3.206166354486193,2.825133314256045,,5.916070425495477,,6.66573665777129,,,2.2487237428133993,3.246143458220538
bzj,,6.164308331445707,,2.023191995811504,,,3.442921020545431,,2.345222115207882,2.812697167158096,,4.418561492613077,,,,,3.399829916361891,,0.020036236030416918
cab,,3.5536318383565293,,0.10533338347616689,5.405744815304004,,,,2.8143619767875174,2.6557776702096403,,,,,,,,,2.7562624312755117
djk,,3.1394528999188465,5.416807575769779,4.704781898728545,,,2.6280144556640024,2.2788246970614185,0.9547683380865413,4.1687218547727305,,3.666742646364924,,,,,5.183497565757062,,2.4561201120435787
gul,,5.632172456451081,4.419926458456894,5.477629250814143,,5.958297949939209,3.75008637104752,4.038096299879361,1.483906473651365,3.090391690867007,,2.4091373115005603,,,,2.3500507307317053,,,3.3719597663666856
icr,,5.848656856500089,3.0316954279533186,4.578611797274462,,,3.3336833290917762,2.825313973966825,3.645651960255394,1.6649322514694787,,4.263381911013814,,,,,4.269083206530899,,3.366990233318791
jam,,4.887237689278522,1.6529370087998434,0.22675037116680866,,,1.396487578719058,3.348809186902508,0.9432071896205123,0.018112054443173212,,1.5273130725315833,,,,,4.253807735934119,,3.0614993474143994
kri,,5.11282764014119,4.985662914970482,3.862457517900231,,,4.568214906782985,3.3290723591971525,4.440156817131883,,,2.8267670977540473,,,,0.21393661105817427,2.6249160219901513,,0.7459537828875542
pcm,,0.1188112242910528,,4.017029629686328,,,2.4575736187120136,1.5906367205396736,1.1534434756412277,2.2588713252146295,,3.8678467424047565,,,,,2.6655665288537946,,2.880950945468539
srm,,4.188374552724974,2.9513995056389746,1.6102896339256156,,,3.9683854333265933,,4.426770029864059,0.354003649617048,,4.018187312972659,,2.5871949196506283,,,3.4008513503788715,,3.1126447334098493
srn,,2.979008286492218,2.89713513278364,4.265998082331608,,,4.303041349221768,,5.415393301020754,3.6046505746868625,,3.3956472230675288,,,,2.1942050328315137,,,2.557643202431564
tpi,,3.564499706467582,,4.91154507878756,,,4.883729392348812,,6.997164872460715,4.441035088935627,,5.093149188625944,,,,2.934076338380313,3.760608041321548,,
acf,,,3.2548558978775817,4.362849451165176,4.238633696798209,,4.841924250201544,4.791095898425976,3.6242410964211165,0.8675601225949294,,4.100632969252565,,,6.535543234947194,,,,3.355300900723967
ktu,,,,4.989811169956524,,,,,4.376250674060458,3.421265427372107,,,,,,,,,3.34566514990781
pap,,,,3.5291065786638747,0.9731802124960474,,,,3.638026081342301,3.3099466886144495,,,,3.167659130417836,4.509087239519617,,,,1.0006041455491812e-68
sag,,,,0.006301003970278698,3.3421872365564522,,,,5.802435297264575,3.688164612770507,,,,,,,,,2.217295230526007
