,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,29.861738483602316,31.111471414641073,,29.86333915186626,28.47735998967968,,,,,,,,,,,,,
bul,,34.573678114201485,,32.84040384072412,31.6034618224501,,,,,,,,33.75821875105912,,,,,
hrv,,30.184495722385456,,28.516600814842775,28.815262251918682,,,,,,,,30.869061973975604,,,,,
slk,,29.007385557371467,,25.8146997786449,25.133451051967835,,,,,,,,26.957056607460256,,,,,
nob,,,16.061287473980247,27.585911675556613,26.340464866051107,27.234779938315302,,,,,,,,,,,,12.861709899377379
swe,,,27.473890857458606,24.72847593604069,24.650495913445106,25.697047085553514,,,,,,26.32826449605585,,,,,,
ces,,,,28.365090224190375,28.693926656099585,,,,,,,,28.138387117780788,,,31.048426967282754,,
dan,,,,30.292256269366753,29.944861967236296,30.07846253073019,,,,,,33.3935667016466,,,,,,32.790927000085965
eng,,,,32.04623381970153,29.472764432291402,,,,,,33.404872932894975,,,,,,31.51582886227678,31.35192193750681
fin,,,,21.310956583088732,,21.940747966279204,22.449330697930485,,,,,,,,,,,
hun,,,,26.505054818687725,25.345143958485718,24.797073387589446,,,,,,,,,,,,
lav,,,,25.10084264705007,25.178714754737857,,,,,24.92020628743173,,,25.792015616623537,,,,,
lit,,,,24.02381463677959,24.973345436133734,,,,24.194699637914404,,,,23.957947114752816,,,,,
nld,,,,32.650937240873475,31.003148431789914,32.19660016194374,,,,,,,,,,,,33.12663972851213
deu,,,,,29.490473375490883,28.69340387482052,,,,,30.063471924718687,,,,,,,30.29367739979922
fra,,,,,28.253980600033618,,,30.050387022434982,,,,,27.91704837805542,30.079741790936826,,,,
ita,,,,,28.33975434014554,30.59804123551631,,,,,,,27.598969895454317,,30.08957940391476,,,
por,,,,,22.224352599274443,,,22.49428438432466,,,,,19.532261509776717,,,,24.019293758848086,
ron,,,,,27.226353820881354,,,30.2346205457809,,,,,28.40960518412569,,,,30.567776176876404,
spa,,,,,21.595036853899558,,,26.259358353307082,,,,,22.46371159883694,26.656707705611314,,,,
