,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,16.297304565465772,17.541393005151242,,16.834991505770244,15.25428068888223,,,,,,,,,,,,,
bul,,20.724475490217415,,18.930971858320284,18.30018446783902,,,,,,,,20.002011533139928,,,,,
hrv,,16.76428873525284,,14.940633384585192,14.981948146808792,,,,,,,,16.811557317743464,,,,,
slk,,15.408067126423491,,12.392002337237248,11.917074727834075,,,,,,,,13.57653363816155,,,,,
nob,,,2.6503254876150226,14.208249505918571,13.374302067095288,13.789765994100494,,,,,,,,,,,,1.516980065445189
swe,,,13.969149688293635,11.627904476052104,11.340812469512002,12.6038609939218,,,,,,13.206912615210651,,,,,,
ces,,,,14.70957029914205,15.202801996972106,,,,,,,,14.567375404166418,,,17.043528282944425,,
dan,,,,16.969729224631813,16.682290614095287,16.706062473674766,,,,,,19.47637653355809,,,,,,19.00205350129314
eng,,,,18.085420670488755,16.231991754706925,,,,,,19.73947595912154,,,,,,18.180839232562164,18.122841428778223
fin,,,,8.509676649595207,,8.853422727763842,9.231844029722973,,,,,,,,,,,
hun,,,,12.947042395816757,12.589629578369886,11.942420669762607,,,,,,,,,,,,
lav,,,,11.625205650158687,11.895571098603172,,,,,12.122623047008432,,,12.80312025948815,,,,,
lit,,,,11.394526435253018,12.073215954097643,,,,10.917563373113483,,,,10.72072187032364,,,,,
nld,,,,19.073675927403077,17.395275775362272,18.263665280209498,,,,,,,,,,,,19.16028439344381
deu,,,,,16.22779601676979,15.466717569892815,,,,,16.539853105101553,,,,,,,16.516955490330886
fra,,,,,14.600754919321124,,,16.319076950037537,,,,,14.900913749280535,16.547438007932044,,,,
ita,,,,,14.667978298742906,16.86952159452335,,,,,,,14.181167781938067,,16.37313380145855,,,
por,,,,,9.024111397058654,,,9.364317240942984,,,,,7.9443258008705495,,,,10.912004797542911,
ron,,,,,14.02998437421487,,,16.39194745193341,,,,,15.003442168312874,,,,16.983340358042312,
spa,,,,,9.693758124975782,,,12.73948568232062,,,,,9.99065712038053,12.759955592458892,,,,
