,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,4.897463562444405,0.36302679697723594,7.055089253359022,3.642082254260835,1.8144049013655859,4.787618033574464
ara_ALG,4.5091959353658035,2.2827667479543874,5.006215147099585,8.05301372947163,6.068246689233109,2.3858144470840172
ara_ALX,3.3559943070059384,4.9609399597748265,12.00884472831186,3.5221385049814984,5.492632516562193,6.310839351923711
ara_AMM,6.661464923075377,2.799944308727441,7.477307430837609,1.263751196755633,4.596247697819129,5.443502153187852
ara_ASW,1.4096270357461784,5.796645135767037,9.67464767472412,7.47435887497538,5.2224824462027595,7.411639828973606
ara_BAG,5.949084342293382,5.058442519419178,9.143153009520558,3.8675193650060153,1.8157544553910983,5.439842494603625
ara_BAS,10.98093380341663,2.302985555164223,5.482467417403167,7.536512505815944,5.108918207758006,6.099542764145507
ara_BEI,8.402912805517394,3.7519905956020816,4.29787986068027,3.339865238587778,7.9496710239756565,7.465001049189794
ara_BEN,6.211739435900524,2.2962535651645677,3.7122996587378023,7.586829428879124,4.484274275149429,7.677771085631417
ara_CAI,1.1314416130320615,0.7157081499597764,7.1494634163162765,0.5268465654220051,7.653362682114273,3.6765117171627297
ara_DAM,12.537528267922339,2.098677915463356,3.9963502035531526,8.603634967825714,1.1929373887499357,11.822994227199505
ara_DOH,5.99477765850514,9.56865160909364,2.2793137604492526,5.420117134354486,1.1985216968151302,7.461530939621979
ara_FES,2.021774266189658,3.452199108372456,4.755298223566684,9.082694271069997,4.337292986938608,8.808952900114248
ara_JED,3.256983955376849,1.7889673781074198,5.426978470377575,8.668428502695104,7.892715237703947,3.937133392527639
ara_JER,3.787219198351934,2.3938209230056238,6.704167894249329,1.505221817309092,2.5747642215265985,9.165690482966971
ara_KHA,5.299499084807034,2.326384192346768,2.0349802775091175,10.868879297909205,3.0490536785619113,9.406545868289117
ara_MOS,4.411202604072336,4.551211529605399,9.167731368353799,7.569128784198081,1.5663061723300322,1.055831302105355
ara_MSA,2.9901626716161687,2.794567350030653,3.0387109074739254,6.846062942688437,4.863377361649243,4.493675351251347
ara_MUS,5.251242869097773,2.9879754813075423,2.516976719807012,6.914102581885502,1.6023569210682718,4.431599006363966
ara_RAB,1.9165284657186943,3.782406313568276,1.41609864550925,2.425086442235668,4.466562838617261,5.77459340484336
ara_RIY,1.0858195508853554,6.338432470953209,5.329962844733066,5.131190090947951,2.6732485897778315,6.055982270691451
ara_SAL,9.47680714837511,1.2653524907278908,8.110321028410207e-06,5.414728527715137,6.756687381163184,6.954715196004015
ara_SAN,8.943994583432232,2.428117056055158,2.563032119958415,2.2373127713101244,3.1580797228187363,0.31518338772939064
ara_SFX,8.787479165494624,4.153819594966915,0.8539828122530393,8.046548421957052,4.626782456539571,6.589022546948267
ara_TRI,8.71807075397301,3.1870892432704667,2.0953422826957575,9.545733685041666,6.8243855472231765,3.37824916238826
ara_TUN,1.9649603817194625,1.2980457985409883,6.020973754881075,6.689007780243264,2.245645743458658,0.39284056452259924
