,acf,cat,cbk,crs,fra,hat,ita,lat,mfe,pap,por,ron,spa
acf,3.6806780737378872,0.38200270994324903,0.0,0.721458616635541,0.2768649275367281,0.3442696589718981,0.0,0.0,0.0904528223973955,0.08273151985535243,0.3047476219168832,0.41069704429800424,0.25204433529164305
cat,0.15774240526389782,8.86680343729928,0.0,0.4735692184305105,0.9667620144258748,0.17176890531064615,1.6560345931468827,0.7210582615460925,0.1827712645588413,0.4138909952590364,1.005809432103936,0.5951368710053284,1.8011043176474892
cbk,0.22794647609059915,1.9504088867394334,3.917629163907831,0.22047544998190993,0.15802014101047845,0.08248540086416511,0.9108176781252393,0.517228990651013,0.005520337054299773,0.54920165009435,0.7846704689168043,0.5738444629453419,3.104528781366593
crs,0.6077569456461784,0.5592149955686612,0.11347239208606297,7.161741499869526,0.588496189934606,1.30132145316664,0.4349535209006472,0.3673571715557493,4.680461015286795,0.0,0.3217456449591971,0.40042537806540857,0.40757875219052586
fra,0.28526236168338315,1.453050567115957,0.17781485170207567,0.12301608821318588,11.21218190820238,0.25538369625494006,1.0608510856553242,1.0559723315275331,0.7326506270843183,0.132269371936669,0.5638665595504353,0.5449944603334593,0.3087061356741678
hat,1.1460807324616589,0.5665521115399219,0.05547041840418032,1.802637145099359,0.43814608707164737,3.9877464464982264,0.24203410966400796,0.22496503920978483,0.8733105722516719,0.2731632621071398,0.1860454582906641,0.5868136675590865,0.32784458505000025
ita,0.1816711644612976,1.9935906109291324,0.5231070626092951,0.4929653318149594,1.0613256911532005,0.4535411325597334,12.059371157424897,1.6952393964566905,0.7701002032606183,0.22144978940754356,1.440302679403576,1.4266434699502568,1.3869812070685512
lat,0.5375409356269287,1.2822927403917301,0.42953303488332395,0.45642936801170997,1.877504328575501,0.5008676461928712,1.8235368571901809,14.508288659419586,0.6273234045621834,0.8612444704966435,0.8488714433161615,1.3901213621709765,0.9586278184322534
mfe,0.2813660008123122,0.7301897467540357,0.16343257041013004,3.994828092677121,0.43500959776664416,1.2100977104420547,0.6956952622963684,0.34991761118324227,7.452357906614363,0.36350811223250723,0.3207278023991531,0.5998981629157392,0.6742748446997595
pap,0.1101245560891666,1.242835821100055,0.624536651682984,0.5707302793313023,0.5196729850360509,0.5549159438766154,0.6260165107176991,0.7439223453978752,0.36169569100110976,4.40986699213807,0.5803175160189635,0.6927203199985197,1.802286163405162
por,0.09464238306893691,1.615366179599203,0.6902138445707351,0.3811212462981537,0.6237748257432987,0.04324719942087363,1.6503815787651757,0.8780926895329912,0.1855939538866327,0.16660746508795832,5.383517616424939,0.7471601006205848,1.8110133088529548
ron,0.20385170751633375,0.6150351343787204,0.16516724067596122,0.030143400763535055,0.29979369949148094,0.1225963764952045,0.9330458452134014,0.5649853717395743,0.16614987378473067,0.44416119233851425,0.5743472020636897,10.471117278884039,0.33202709507948747
spa,0.23064921772031255,2.9959593241831506,0.7343221418719068,0.392978042069112,0.9867549833893055,0.18242913834504293,1.9679109529696568,1.2585540135968198,0.4765973115502309,0.8688955979153139,1.8325934238996968,0.7372101371555555,8.149144808013357
