,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,33.18321126456764,36.18755420345543,,31.558916036859085,29.06379662281783,,,,,,,,,,,,,
bul,,38.398589565933314,,35.978627540996065,34.387061310889436,,,,,,,,36.479122290425266,,,,,
hrv,,36.88364399961689,,31.620040112488912,31.069355404085197,,,,,,,,34.348238452113605,,,,,
slk,,41.133675828112835,,31.574608710909978,29.850401291565493,,,,,,,,35.21467703799539,,,,,
nob,,,46.13975642760512,37.663890680796285,31.792076412401286,34.53906510369365,,,,,,,,,,,,42.39699657073826
swe,,,42.016335619817085,35.48711553941267,34.33845258596819,34.45329804283073,,,,,,43.53431490971678,,,,,,
ces,,,,29.59070693756452,29.778177265580076,,,,,,,,33.7226962064844,,,39.896395958090785,,
dan,,,,36.00766664580258,33.75899845246813,36.19619805450417,,,,,,46.908170357415464,,,,,,42.7418412779751
eng,,,,40.30994190634073,38.10563415226723,,,,,,43.98708073054291,,,,,,41.443650017620534,43.00824016152627
fin,,,,28.675458968451483,,27.911834818914844,12.44749386021305,,,,,,,,,,,
hun,,,,29.55163022985617,27.631264423030586,28.3003390164171,,,,,,,,,,,,
lav,,,,30.827851872630774,30.02345425918224,,,,,33.88552776572343,,,31.217677922420712,,,,,
lit,,,,28.314921088468235,29.1225944029951,,,,32.464665050745836,,,,30.27514273583706,,,,,
nld,,,,36.02130644471023,33.35047005717367,33.13859291608027,,,,,,,,,,,,37.17555632658273
deu,,,,,30.547850476067868,32.52806354638472,,,,,35.32265845468452,,,,,,,34.2958093409779
fra,,,,,33.785008092813456,,,39.56559232319221,,,,,34.58597109199767,40.28013833754807,,,,
ita,,,,,32.08998165744282,38.81811007030815,,,,,,,35.91100261172153,,40.51995633092233,,,
por,,,,,34.73158461676778,,,43.17316102662679,,,,,36.934284288202484,,,,46.37299255572253,
ron,,,,,32.59842791211549,,,38.13807147967644,,,,,36.463078511887616,,,,38.08002366075493,
spa,,,,,33.70685903573319,,,39.39177651323395,,,,,36.1995818567275,45.99670189871384,,,,
