,aeb,aii,amh,ary,arz,ayp,heb,sgw,shu,tir
aeb,16.961804224468935,7.8834512336974,8.94636917995765,14.482773294924002,14.555187425152457,12.724367211232202,11.198506939340946,6.7311398343239945,13.634851090760506,9.638735499894718
aii,11.149388920263403,21.78014544831914,8.966515497699534,10.080997022433383,14.693414572508633,8.079880748508135,11.157476666553029,6.6949431489747395,14.048749187062384,9.55280395332258
amh,11.294076185869786,7.2950781176130475,14.955395088574708,10.346774154893463,13.755915075304396,9.034251738599973,11.320850036131677,9.252403751454219,13.102046034208078,9.750410705678636
ary,12.539403054714205,7.573753249961373,8.908368249285935,19.82464433893375,14.133002898265094,12.50127962621147,11.146488633610904,6.699648975747258,13.856619595480865,9.592796422663794
arz,10.651933643763636,7.630183133600441,8.641474987090824,12.993148236344243,22.91718523450491,12.901754702357525,11.142568623974935,6.7305144450401695,13.365009587012613,9.868111731983586
ayp,10.691505362691558,7.688956592988168,8.993257050880175,11.955554809031941,13.491745604376417,19.67817898332639,11.169715235941037,6.682227023544109,13.71184010052624,9.776267143742801
heb,10.904649454958266,7.104070034498151,8.354157446366099,10.507262701510856,14.43239395404354,8.208853952798624,20.24160765157941,6.9143453333608935,13.455101597131172,9.859595082785061
sgw,11.831205851185375,7.203298016495388,12.445726599578656,9.22703463565223,13.977553655006087,7.869140499607524,11.278870823699087,14.254457618505887,13.67610970595415,11.239715103935715
shu,14.873933293523478,14.154379905403882,10.805312985099931,7.773828092089263,9.944200509773392,11.169667410774617,11.605414258207063,10.34272724819866,14.266317012851806,9.786921671318211
tir,11.305753550783843,7.0548898768948485,12.39537544715961,9.095355909473982,13.985324009893956,7.593383912641266,11.281927151795392,9.121807611497076,13.719153315140817,15.177998726855183
