,aeb,aii,amh,ary,arz,ayp,heb,sgw,shu,tir
aeb,6.940690788461157,0.2409519837269016,0.47752179910978887,4.52556653184674,2.6854843321435093,1.6024922422988954,1.8050958238941908,0.17050621852093661,1.8298041697924272,0.7926534485009064
aii,0.570377022261197,9.470821677375605,0.28304131377594227,0.7254972900290171,1.3697784802615844,0.489408088533336,1.7975458196966363,0.16931490420287193,1.9352812014529934,0.6880786777051118
amh,0.36506598328598416,0.1467730822412916,5.261634596970488,0.7819988170654012,1.2262130854723792,1.0461337030068236,1.8122992313901598,1.2135937380519464,1.2140288421754897,2.352451818286702
ary,3.5905641857362363,0.19344629151264028,0.4077717088920328,8.169573234337323,2.7959223270799436,1.5687529628018222,1.8444503046784642,0.16757985968021488,1.9346854042322352,0.8068795888967196
arz,1.0703428784595554,0.22424108121555622,0.2612803200491557,1.6356469312788886,10.215949391733858,1.3420504928627839,1.8349404472456166,0.16923392653668176,1.7591894668701307,1.0333606947203167
ayp,1.535637990219786,0.24416278401912972,0.2993900791612003,1.4387179215496864,1.569154531879972,8.46917479634039,1.8340543821757211,0.1691010390101152,1.9461608567037,0.8701697776812267
heb,0.3569158396672817,0.15129192405901445,0.21542044468553764,0.2889508340021054,0.9042254496811174,0.6574976381623904,9.319920430090608,0.18945012242623074,1.5715823377666092,1.1256031269734699
sgw,0.2972378043523043,0.11506761858474239,1.81782206641339,0.6101248472696373,1.3173081185784612,0.6209263451185476,1.8455018324004546,4.617395221550227,1.444375557780929,2.199384297121567
shu,2.7649880661526702,3.2668033838820354,3.6861509572145845,0.15654856298173506,0.6392684052479519,2.293613999125959,0.7916400779830853,1.5050143980826611,4.609796118646822,1.229580722802521
tir,0.35004777920076474,0.10767307998938751,1.6116833027487836,0.6729765953433686,1.176688554714787,0.5476667994284709,1.8380847134934262,1.2775221912896575,1.5006223687092297,5.394714552416397
