,acf,djk,eng,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,spa,srm,srn,tam
bzj,0.11755037947458113,10.39363396790891,9.043005791262527,,6.743916970346355,,,2.791475826036929,3.703735298845828,,5.072946731553072,8.730806876296677,5.029493348581838,,,2.2399711245611797,,,,6.220200134333316,3.677239615868375,
crs,7.1960230853597125,0.0,,,7.919494826626227,6.994804084259499,,10.94012766178792,0.8754537828804407,,,,0.020551924713319014,,,2.036785540974745,0.07378219099445182,,1.417830871587018,8.39837147571852,9.91617682851664,
djk,4.110002785085143,,3.331104285174133,0.0911436210854717,0.8038815080959658,,,0.3847080957641005,0.7434555725983687,5.6442501861968,,2.3106109331506106,10.203161059301154,8.74269416359827,,6.909585190205803,,,,3.0836033337918556,6.512236849056354,
gul,0.0024731165665938803,0.5471857458931417,0.7594052216101765,7.083215816613455,2.1022107014149736,,7.02536936097267,,11.480546492735522,8.391794678259542,1.1611262901815955,6.2175872693513075,8.244714837931694,5.710115921354161,,8.700716432666166,,,,3.5812293548269754,9.589272038228897,
hat,13.776360914957651,10.292845926080172,,9.13229314679836,4.05036463170409,0.19084348504088577,,12.025278151846832,,12.68518983881275,,,0.0,,,11.744948391960458,,,12.285793378873688,3.7107426731024127,0.1587865961439583,
icr,0.1251917621877805,11.332650166515153,8.88772372128712,4.1670885718985495,7.651567803372679,,,7.510097755950397,2.9770948527220487,11.713510627285563,,6.9138881679328055,4.508226838751714,,,3.844683018837726,,,,5.859280681103593,0.010833289808758001,
jam,11.850617863341865,8.987861130185305,2.0932685885781925,5.3159401926624135,1.837501469880694,,,12.330263162231326,4.373825053700331,8.997406295849549,1.340712961187747,,2.8195097127365454,9.276407164695996,,0.14505644771005954,,,,6.053598770844502,7.288052434515214,
kri,11.477839985790979,7.152409446772991,5.36629776635033,7.822292089303021,0.8746468047958036,,,10.439621724609612,9.338799260041377,11.147993383336651,3.188088371142605,9.626395331944197,4.0720017521172736,,,7.672658054816349,,,,5.900459980377503,6.335871006305261,
mfe,9.924740803809373,6.567541857441867,,,7.622449558938973,10.689323347545573,,11.72361361130273,8.00590015691433,,,,9.792972333343942,,0.25357421288108206,,9.74021493147952,,0.22577567498239937,3.2817469441323173,6.763883799511534,0.732732182523907
pcm,3.151166721305664,0.3232958783258315,4.6369642889700025,,0.6551993205402571,,,0.7279720303760664,3.0279264801120753,4.433217985359057,11.225516219653278,0.2682336750966545,3.70808862616464,,,13.440693040305495,,,,7.594564783492414,6.629134536000516,
srm,0.015210262762628934,0.20764452286191215,4.593700694372966,4.300042236230384,8.32557875434835,,,7.197820618042096,1.9353026479553357,,3.4043951743419996,7.912085968135136,2.147035551830596,,,7.718518059233537,,0.7914773866252087,,,8.006059610437495,
srn,3.1780106853670222,2.3628535277938454,2.0509230543483774,8.833037935085345,10.540751029892624,,,5.629981280881472,5.717844053519137,,0.15630049287487857,9.947767421280112,13.570455155936273,,,7.955146518302577,,,,10.769322318811241,,
tpi,0.0,3.8513650389210117,4.6145467878354065,,1.6386824675161495,,,5.748969040926765,9.3437250792917,,0.4056665974990574,4.875583370313015,8.368840067802017,,,0.012933834180170578,,,,2.013405443862733,6.6405302824681325,
acf,,7.0641531239072055,,10.176472744312775,0.814985234270555,7.574844387853245,,9.313080664497502,4.4634016096945,8.827457107823689,,,3.514427823831003,,,4.103629543717641,,,10.896787270468781,1.9192425650289824,11.337859316390459,
cab,,2.051738368770641,5.740441621941217,,5.952413123335184,3.8460888896106447,,0.8946119915047506,3.895513166944502,,,,5.755816065998365,,,,,,,0.01252215685975644,,
ktu,,8.767750667552413,,,13.916643722657135,,,4.8980984402280665,16.62170501035412,,,,3.227138598730093,,,,,,,14.332606222829282,,
pap,,3.0739090971642735,,,3.5153939226682525,4.019619360051795,,3.2459581511410196,1.4479679282112388,,,,8.563122134735925,,,,,8.425643175935283,5.660402622751285,3.0852669574006732,,
sag,,3.1294093048912526,,,0.6628288213190885,7.518347411539194,,13.5316594255226,9.569303775152129,,,,7.345779966443963,,,,,,,0.0836872015086163,,
