,acf,djk,eng,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,spa,srm,srn,tam
bzj,5.606940762750594,20.888708072509328,21.317464645248446,,19.409600677053255,,,10.173740879806935,15.486247217802818,,16.837569330404374,19.867132594736468,17.030830941942483,,,14.108203967965677,,,,17.393452675366596,11.665173047661895,
crs,19.476994173036495,0.7366667804016235,,,18.307749134759817,17.330060374300015,,22.61725103159632,5.9227766144021965,,,,3.747909429364603,,,6.225107970693658,10.574681476064708,,11.814081852147181,20.087101951387577,21.74880843792409,
djk,13.29871096427397,,15.579867565107802,9.915568674999225,12.344881501832925,,,10.928739392356166,5.099455383927361,14.94713068704267,,9.235489141204884,20.652682821436287,20.639453438159364,,19.274824466694536,,,,11.000490875214947,18.293539586653893,
gul,7.904973167981395,9.9122319659151,13.279146254830268,18.229579850252026,7.044911674089592,,17.75310004601446,,24.844351466991483,20.633981876672543,10.656054609425455,19.511325519770956,21.42716869413067,17.34427119276574,,21.514117847171203,,,,12.926560377902977,21.281547690185885,
hat,26.062249748935052,22.14632912513819,,21.158802757915556,14.494431662419908,8.109074226832671,,22.417230103178746,,24.471190252313548,,,9.898703731013885,,,24.016553822745955,,,24.61200648832976,16.111032202291167,9.986220642321534,
icr,8.604869041551314,23.402051213565777,19.243458427592685,14.56697705324346,21.13157387512481,,,19.560849146343195,12.537538985440403,23.672990102261988,,19.47112936314552,15.186204361323139,,,14.261461391295093,,,,14.633556815288468,0.04302694343303897,
jam,23.57222972962435,20.97499470415543,14.789776484365794,17.655400567823268,14.247592011927852,,,24.301367715373356,15.090407767515632,18.841105063698993,8.166114943043432,,11.262665444523785,18.95203679230844,,10.741295931469558,,,,17.625859351497695,18.34690233723892,
kri,23.678948149420894,17.261705026895218,15.189659957780027,20.11115256262156,12.251271353214854,,,20.594609084164315,22.283201968208598,21.886545161828,12.267887232253399,22.1299845928517,14.85084078885375,,,20.59573915742854,,,,17.5381818749918,19.617022458183506,
mfe,22.96748610564994,17.070908820423572,,,19.97396906681626,22.119755077804427,,21.42518023564794,20.834304071863993,,,,22.06119801189633,,13.002790500533697,,20.864580668787898,,11.3577765764726,15.470752654563622,18.043042118880013,2.592944404328216
pcm,12.470004685912835,10.683438720804283,17.59478329025755,,13.073262238675706,,,5.67796643782531,14.356703946264544,14.06832123897759,23.104204703908117,8.242607147260912,13.176071387326251,,,26.382159672440014,,,,19.408661507939343,18.33842061987447,
srm,1.0257122206327944,7.366421721523082,17.000778112095563,15.021108038840314,18.991608491769167,,,20.21627418561177,14.548613335449783,,14.085117896142515,17.765837406863692,13.17661191337639,,,20.469725787801742,,14.72580819438768,,,21.699008007340108,
srn,12.341846560529603,14.107123807103742,13.652633436203446,20.804630210797875,23.318437502868168,,,16.889125573076306,16.338149852328947,,11.546791441808438,22.188997491425926,24.34708153777803,,,20.093176059982717,,,,21.801455342869502,,
tpi,8.774217635256829,14.554383313418166,14.803101334847742,,14.05954370392104,,,16.840650464172516,22.46063614464067,,4.151229980896998,13.925981272714036,20.710241404069155,,,8.28997597762532,,,,8.395793774907082,18.92431526394481,
acf,,19.988972284501195,,21.014740033006053,10.98980806308804,20.44989168224616,,22.49107207069989,14.656048120754479,21.20076876449552,,,12.959244846411785,,,13.356930694449131,,,22.00280467570555,13.532126530567018,24.208239103202253,
cab,,9.977340595510507,17.65567824839491,,16.974255540797717,14.044572436886064,,5.241142899781578,13.171206980685103,,,,17.956584193955592,,,,,,,2.4463524760916946,,
ktu,,20.948481994449004,,,26.084411815512198,,,15.965204192210164,29.130770005211225,,,,14.867815055339905,,,,,,,27.132286397027734,,
pap,,14.382603232187344,,,14.838395966223064,15.73067285945354,,11.682342705148557,8.612944202564607,,,,20.21951638129259,,,,,20.88240205026855,14.531678808438825,11.250108558796434,,
sag,,11.817618045195399,,,12.579088285617976,19.107836551449978,,25.280015289146373,22.181649192203682,,,,20.03281226296646,,,,,,,6.247469577889029,,
