,acf,bzj,djk,eng,ewe,fin,fra,fuv,hat,ibo,icr,jam,kor,mai,mfe,mlg,por,spa,tam
bzj,11.572778371431298,,8.634250974213879,14.380881022576364,,16.921352158730325,,,17.119228854139696,,21.348831441422465,12.178666526662433,14.977617029354754,,,,,,
cab,14.97926059935244,,,16.063575440214954,,13.69240719016725,16.15925645466332,,,,,9.184080901816154,1.2623744573793843,,,,,,
crs,10.642789949682852,,,,,19.763962694412847,20.06946425592496,,5.474656077572204,,12.191583702218391,11.334658958608356,14.707837417205171,,11.029574760958365,17.62129039446568,,13.154811269707,
djk,11.653016079542759,11.037820411240281,,12.795308624402477,6.17658716838681,12.89570022098501,,,14.665389168349922,7.88071251305405,9.986979496232854,14.70243165874883,12.074779952070818,,,,,,
gul,13.533457797984703,12.233020474717552,7.93441762747224,6.607257048298234,8.797854713750903,16.22412436877207,,16.304209971861503,4.357497216196289,13.326904243294344,,7.960056616174856,9.73931313018933,,,,,,
hat,12.818148154379152,,,,15.7136313069845,11.303496285487435,18.24270916081244,,,16.99853848701537,11.400807914617578,14.683432309296151,9.53847516770569,,17.516018928379722,,,8.594647382805757,
icr,0.628670411424031,2.116204108595358,14.941983477078486,17.00865810710637,5.926473415409864,7.353713183339071,,,9.506255512629375,11.685247707708209,,12.772250246922196,14.646905070227263,,,,,,
jam,18.194193541359823,4.430815411506179,14.815260434922592,14.397452206227685,12.209591250973988,11.073228506570116,,,17.551411769077873,15.562031720446006,12.554851483398838,,17.06828417530086,,,,,,
kri,1.6528864748498924,19.267885327018647,13.507797051345815,14.309248764956706,14.545194630612402,5.858824169285519,,,14.360746265598346,15.413713519534344,,3.822616767532041,13.308759449630628,,,,,,
ktu,8.678624029251718,,,,,10.703219892055344,,,,,,14.352000837794005,20.524025074293636,,,,,,
mfe,0.6120166347596813,,,,,6.548695872834729,17.901077752592467,,6.167323881753293,,13.541881191060904,13.805038231370315,8.142356854855755,11.040487105520402,,12.9748764727511,,10.269221233109835,6.37190369906827
pap,14.12364252653409,,,,,11.949657446985846,15.436432988416795,,,,,17.315043515837083,7.69888679498105,,,,9.886544855210177,8.098502826234718,
pcm,16.438551415116656,16.010605144359257,10.167691044614394,15.69302305539169,,12.556455928537828,,,8.102781527116235,17.734832615108388,,16.696772585521828,11.679516258305837,,,,,,
sag,18.021898618710942,,,,,12.488469538126646,17.199389007742134,,,,,6.458537404934588,9.71466746772159,,,,,,
srm,7.894943038531695,13.86703742251743,13.49087739887073,16.563557399926683,13.30547286056051,15.288102010807691,,,12.233026523458769,,,8.91916655026991,12.494987507617402,,,,14.420907145642317,,
srn,7.294403563686094,9.225314071237477,11.545237570184435,6.783346925280343,15.178539330771844,12.925509796455689,,,19.47978138757386,,,14.918717260684488,10.98049750545241,,,,,,
tpi,10.066191094510478,11.000323296408231,13.726731935928955,15.591051719040763,,12.769048870559171,,,17.292529991538984,,,4.4741289997336375,12.34666031818149,,,,,,
acf,,,,,10.259316481582987,13.138720035483214,17.599185329067353,,10.764903269385313,13.008704808966346,7.729759335807515,16.718693323273,13.996114718519134,,17.645155556851947,,,16.960639689099168,
