,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
lav,0.14502077329036825,0.019753070128427253,0.0,0.0,0.169739248233045,0.0654381884520095,0.016531059092616925,1.520973434575471e-05,0.014219798970317776,0.08221301212814905,0.0,0.03635350646464588,2.1827959292289428e-55,0.0008241724005123553,0.0023206362188026154,0.10920179683648769,0.0025082127587197716,0.003367512430166679,0.0014330703468241534,0.16354998679587673
lit,0.16259645682787047,0.0357252232705434,0.0,0.0,0.19459975235384208,0.05224298032490487,0.011969436630353837,4.490201733097423e-05,0.009246121912942624,0.08870474404673495,0.0,0.05793035631991826,6.442071637753043e-34,0.0,0.0023206362188026154,0.09813910825777714,0.002090227138277522,0.0033684485004252967,0.005031469523454276,0.16285105830007252
nld,0.12587802136527093,0.05227415961933158,0.0,0.0,0.19791477833621074,0.046510855485188594,0.03767919023568131,4.8914113357513304e-05,0.0001641682453695957,0.08744710575136092,0.0,0.02444810416964181,3.1797573320548964e-42,0.0008855053786765564,0.0023206362188026154,0.06638277195346637,0.0006443462534667662,0.0033684485004252967,0.0037810456938559955,0.14211908484743171
nob,0.1261313366276628,0.05982946330924045,0.0,0.0,0.1743678716194592,0.03221066319713339,0.033767499055809155,6.697183383308261e-05,0.0057814513950334104,0.08144871456452607,0.0,0.024704394773045868,6.86417191781779e-109,0.0014438974423910788,0.0023206362188026154,0.06806186821967403,0.0008242957789090959,0.003367512430166679,0.0017092486342702483,0.17686253284794687
pol,0.1264032251571758,0.04197843445187197,0.0,0.0,0.18903391075291834,0.06346867358970895,0.03760287233289914,0.0001879186844681715,0.011923699408051595,0.09389781731611019,0.0,0.025242624703685122,1.0811943693476636e-13,0.0,0.0023206362188026154,0.0484573308886457,0.0003400350539154476,0.0033703183032548606,0.0012637905825757401,0.16928809816784712
por,0.10755175751392067,0.042478012577535834,0.0,0.0,0.18643796488708755,0.043711819164412344,0.01097764336593087,0.0005146076090054835,0.01763670824433777,0.07866102235343511,0.0,0.024517601842681817,0.0,0.0,0.0023206362188026154,0.13012369347133199,0.0025450781874702603,0.003367512430166679,0.007123533280829121,0.16436711923353467
ron,0.11004325694089118,0.04788668981233444,0.0,0.0,0.1635325381437952,0.042341511046031365,0.010730719764870196,0.00014374743822395076,0.016778371235056093,0.08469215788590552,0.0,0.025217398993980622,3.66e-321,0.0006259694474885236,0.0023206362188026154,0.07792928975232846,0.09638108261434228,0.009532699707954596,0.006853752767450314,0.19287354947252758
slk,0.1480470274143502,0.02139084998457206,0.0,0.0,0.20015786544716507,0.06480923752914264,0.01488224363953073,5.021075078269078e-05,0.014613257216762411,0.08432335567826538,0.0,0.02564246748215753,6.541342528560749e-31,0.0006259694474885236,0.0023206362188026154,0.06327909034262516,0.0034006110188317842,0.0033786941416124785,0.001971117978664167,0.18678842172059326
spa,0.1124023124035963,0.05141681366429435,0.0,0.0,0.1912598754328792,0.03988203843918787,0.007776918966917733,0.0005185275050256209,0.010234915217404765,0.08493007388729995,0.0,0.024409647344584694,2.694269935232641e-158,0.0007444073207276742,0.0023206362188026154,0.0785017536367987,0.0008641842729510366,0.0033684485004252967,0.010757189578856175,0.15206676343935727
swe,0.10530483625535884,0.04794048606927706,0.0,0.0,0.18987148245783225,0.011433462862151486,0.02103881109064833,4.3254442212834686e-05,0.0031530899666140843,0.08095974454952294,0.0,0.02496413710861247,4.2654609726342114e-110,0.0008241724005123553,0.0023206362188026154,0.09286422590142235,0.0020963172453660524,0.003367512430166679,0.001664748709186983,0.14085069125266125
