,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,dik_Latn,dzo_Tibt,eng_Latn,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,0.20781767312854083,0.0,0.0,0.06909094275950833,0.0619305021794645,0.0,0.168950635414034,0.060605035604755386,0.6821206528786385,0.09887802845647542,0.12601125173595928,0.07678925792115088,0.5152026937838379,0.004780138225880304,0.03982629810840166,0.0,0.09984767197969191,0.056992709382897244,0.0,0.0,0.05482701551751212,0.0,0.014559090531331087,0.0,0.10607331911796081,0.01969009808305433,0.29925209862706126,0.021963870988237932,0.0,0.05158719238417131,0.006813088833639291,0.16916239336510364,0.18796941711435355,0.0675227101486886,0.02361569431969812,0.28618101336371016,0.0,0.3090296742849059,0.0,0.06369352227493685,0.0,0.19407831069481318,0.0
ace_Latn,0.002596323642526377,0.7263102216351651,0.1685768561673533,0.1082703648908716,0.13266356397239853,0.23789498637398143,0.18114467143088486,0.18332884177965436,0.128473372562957,0.6714622237562287,0.19038559346949357,0.23463638724803992,0.0,0.3478803716204144,0.12412494673609853,0.18938571420055839,0.2212453535735901,0.5455510463336415,0.11980292961718098,0.10448493412076787,0.13469014178927363,0.14586514947589402,0.16750091336002715,0.1549979693775434,0.10477002688071213,0.04314094076631214,0.18844971648711306,0.24928622487030827,0.01007190515676104,0.19671359384408138,0.08605489176758319,0.06698141553337678,0.1764164116482867,0.14102865365849193,0.23552444783032378,0.11963128156715142,0.23828152985402706,0.11226217275640771,0.09345630923491877,0.17382043021185467,0.20135431153048255,0.286403798979209,0.3081082690431671
ary_Arab,0.33053819810437,0.11625364425329288,0.8628877525154239,0.6428835466360603,0.08886373072977438,0.07308043138030662,0.15946610940164607,0.2666353884270878,0.1215626279164086,0.2443349050433019,0.2974478693183089,0.2722199284295179,0.3844517977747639,0.06812078904303265,0.09403970187837807,0.03996986373960709,0.25951482439712237,0.29356047135267693,0.0,0.04997674420894427,0.2117151164174631,0.09622887215940423,0.14301009229897677,0.2736057662837883,0.22143341537609817,0.11218666606342609,0.31326410821044703,0.09081415210301813,0.0933346757730611,0.10988719773745093,0.004585686091616914,0.30627924413189245,0.12290271149360521,0.30560502406728496,0.05217854016754142,0.16184991695514217,0.0,0.6498856724982094,0.1401343863095068,0.23588693190983445,0.2001392476340822,0.15342422847596637,0.033337870771513956
arz_Arab,0.27672733766053614,0.0,0.8142769373783763,1.0454741666591527,0.12516248790060658,0.041472655163303784,0.1601179942938682,0.1967321058942031,0.17369883834350563,0.2540214793532254,0.3233800825449684,0.18230011434066729,0.4055437289750312,0.0622388536048466,0.09221954970028001,0.10534405738310149,0.28810487028318477,0.2603153453056577,0.0,0.0,0.26986792954950545,0.09122813173184863,0.14892430022110492,0.2454929471721723,0.2159181350593009,0.0988687296823132,0.2856384974645607,0.06277458923961898,0.06190824892455815,0.1315820187660468,0.0,0.2708069924107823,0.13743045074328286,0.42231637983774384,0.1009988270651343,0.2336702435891853,0.0,0.5172906385983929,0.03649628935395555,0.18623018391253954,0.1681470714852793,0.18306963270866738,0.055529226518851615
bam_Latn,0.1617769824431159,0.1306293269919241,0.21042653402599854,0.0251247133484529,0.5962845438794133,0.0416928895200237,0.1608262778429106,0.09159551326796311,0.4524511628123573,0.24400550876644544,0.12485651631267825,0.22662320598886776,0.0,0.2366061632219978,0.10106689703990224,0.17739915766497205,0.2206216540288075,0.46011342464434346,0.0,0.1549570200466408,0.12589228711408618,0.2779762332605502,0.14596259878684625,0.11317580580238928,0.16604437178512743,0.0564911474086518,0.23684747659788163,0.17647495618830922,0.0,0.14831147628976815,0.1259068556412375,0.21817853871590298,0.2130229700044186,0.15546330924368412,0.38974244857529605,0.16858031352053082,0.0955622042933375,0.21521875402168655,0.24136530754229168,0.22486946546976583,0.16229455126010528,0.2654430532621097,0.1760708623001932
ban_Latn,0.005018017977510114,0.24070697560563836,0.1968512343959139,0.13580545450952242,0.11860561238475409,0.9069644933494629,0.13949318504305364,0.18044636015593163,0.3258510272343216,0.7716036810804745,0.31294508696793955,0.24413341857863768,0.0031959946607156287,0.4149594377698156,0.11960337507413943,0.27889184709046333,0.2294557487790887,0.7008038416027214,0.14369816871988927,0.14525487543713078,0.1407985085308998,0.10462680612077113,0.2187932425368171,0.17666861163666692,0.17385574346745614,0.1183019560815497,0.20658689236227845,0.280343407744597,0.05698946309913033,0.24961060695255632,0.15093388856571455,0.14054606327571895,0.21544625441361065,0.11704738234363377,0.1646512083179621,0.13087545711134085,0.1797967272242511,0.14080084395537806,0.17269389710142002,0.15856202258521446,0.11384105550454215,0.28803104240490907,0.2421888850105578
ben_Beng,0.3823456460073489,0.0,0.31573133045096125,0.0,0.15275112102753896,0.05769768456756719,0.8946265726196359,0.20074303759409862,0.0,0.18665891257326095,0.20603865377112562,0.2729138650463936,0.4720827352792618,0.0714741911858554,0.2549545192130349,0.0,0.17078450215774055,0.18557382452276094,0.011467177060681344,0.3601839794306425,0.19417205461187326,0.2775453997920243,0.11707593253778814,0.24295039790412432,0.2439163840687515,0.09862904918175452,0.5398785321608948,0.13569227069598133,0.5023037061424773,0.25255335371623167,0.08412094561546501,0.21556133356903295,0.1048143543726372,0.40659047499046963,0.07242817965407511,0.27709330441543667,0.0,0.41423038128511,0.0,0.251346709634527,0.22341410315255317,0.07202613515151413,0.08178862776826712
bho_Deva,0.42079434240130453,0.09514052687536712,0.32406549730028367,0.0,0.06682529809986715,0.009582298189929617,0.09302549909022417,0.8884114069763083,0.0,0.1837158352972983,0.2673822948117728,0.11694371359876765,0.410061945254224,0.07245706870461976,0.15628063926376878,0.0,0.25945771570868104,1.4102852227965688,0.12291141168866915,0.22391754130519637,0.18125654437012795,0.36860775802402657,0.16874602438395936,0.11382070278228262,0.26035493744545146,0.0868081328653183,0.45930937187320886,1.9797736397110803,0.08723762297221782,0.14118575944521083,0.0737023604598881,0.2283836883222583,0.14645313226274403,0.2661648160879455,0.0946152751132674,0.31880250544520816,0.0,0.36523140241870067,0.08697197075936636,0.23280327642504606,0.05916658220903592,0.15920084804486034,0.27466571637062565
bjn_Arab,0.2701441125058883,0.0,0.0,0.0,0.07392104553671563,0.0,0.1931759881578925,0.04404563515349125,0.9629709366829271,0.16407055400704174,0.15325970198943306,0.0069299990456404,0.5280016260790994,0.0035079824484443023,0.03854105180688627,0.0,0.09118549343621574,0.04456931678505305,0.0,0.0,0.058121524232128685,0.0,0.0,0.11518834739803019,0.1265400276830304,0.0,0.2236604522511989,0.005515807493724267,0.0,0.02863383134017905,0.0024517722958337096,0.2697500092571894,0.22565064948013536,0.15435727278597167,0.0,0.14458570134104587,0.0,0.43718943580181957,0.0,0.041336798493237126,0.0,0.0816620513256332,0.0
bjn_Latn,0.06049894593099436,0.5371206324261877,0.21712251994652698,0.16930429750841336,0.22103699546421618,0.5542174177492436,0.20137887714932212,0.22935844957821505,0.2708488099969131,1.7247540683832039,0.2874565034401759,0.2255650640164455,0.0,0.3992640273422201,0.11565099788008881,0.29899055254114426,0.2853037695552665,0.6085893220748302,0.13617089919061787,0.1215928009205629,0.12483803470083199,0.10431874437610178,0.033094808434256606,0.17896802451277738,0.14270526017753982,0.09398776529744435,0.12091724519377589,0.31249562716322865,0.04043037302376318,0.23633139187401309,0.14090386311109704,0.07648430561915909,0.2505137602078569,0.09720335992944629,0.17826167528529036,0.14339221392058743,0.21676695281400038,0.21246310158903503,0.20847165132913137,0.26037516628040036,0.15502231753100038,0.26134699889629864,0.2942961324786184
bug_Latn,0.022404263190156204,0.20687756399651303,0.06906182974116959,0.11334325791636157,0.15973051836382446,0.4257097647300627,0.1373202106255924,0.16385324417433744,0.2103336022624216,0.7172732403483213,0.45998681968001787,0.18778232755492708,0.0,0.23460181860785445,0.07013212124086676,0.20592166354174157,0.1305747717767929,0.594681947698958,0.13105339219818513,0.13247370160295624,0.08130457802271707,0.07570822666655586,0.09993632391107488,0.14417612126702828,0.14318411403131037,0.13529358172189276,0.1819937182158604,0.17995093504111193,0.015309898984595338,0.0994734684025862,0.13295021715531297,0.11340891048385959,0.23625181262374184,0.1217214256962964,0.09567474038745072,0.10439245118768481,0.16284929198057196,0.20787714996282913,0.10177549878093384,0.23291422352270752,0.16912699200954506,0.29556301183033185,0.2536809937778397
dik_Latn,0.14432352118756775,0.1637814616057245,0.13099095582732012,0.005800212875673116,0.18703461853774783,0.11795272185893912,0.07778471170894452,0.12897868714271699,0.25957957540718635,0.2335273468683532,0.13964628265077206,0.3665588749572031,0.0034604163004492428,0.25677486655036397,0.14208469889582576,0.11252466236226066,0.2066289614800274,0.36345399708502235,0.027294471966186507,0.14957726751004552,0.17108655347934265,0.19632137305527841,0.1419768593955375,0.14263655125649155,0.22626993409929863,0.08934642441499463,0.18527544918193595,0.10894921530539259,0.0,0.19599677544354677,0.12552874181650786,0.19060520618062737,0.18627305897278656,0.10464590955489173,0.15798573322964415,0.22100620505640656,0.11159555166942958,0.2081449067850425,0.11363120375033797,0.20011225633133023,0.0943082809181357,0.08982376796982638,0.12004932920559774
dzo_Tibt,0.07332337938994371,0.32703969042622383,0.12226253241236407,0.026562030079003485,0.13131772021567345,0.026043314166150466,0.13393654104115793,0.0,0.07615722308751138,0.15278750138520136,0.058052616391488954,0.12354611775183866,0.2359937032049988,0.0,0.28350102161402546,0.26145742517759807,0.3210069657372756,0.0,0.0824496702063593,0.22412759207657373,0.0,0.12223797788850277,0.12039672808252,0.11837806138919227,0.02324908283182836,0.13846218003649557,0.20007206352517493,0.08320046934734115,0.0,0.0,0.017915357150685818,0.0,0.32241864592153746,0.12644388596441036,0.0,0.0,0.1365280664456412,0.40028459498467583,0.05438303030413927,0.02728903580622699,0.20603296831784057,0.33631946214719655,0.13208530763836546
eng_Latn,0.005154228121301063,0.06466031338652511,0.09422203052632305,0.17263920064721816,0.09827590125027319,0.27421548911878935,0.18644350940439036,0.17571218075485762,0.14760381873597161,0.3122178857893565,0.0640960076867696,0.32684108993736327,0.0,3.2112481682728884,0.12393764456834866,0.3084162406776585,0.23659435259337958,0.4803278111337441,0.0933565148111839,0.22102921636963258,0.12859779872177857,0.06414798229142882,0.27273584145161545,0.20030796381214522,0.34935913747532865,0.15483017491180684,0.2924679708773019,0.2504733451465524,0.046745607856831795,0.1828552640286878,0.07444354762071104,0.2036403390282704,0.3212553520880981,0.09305601868987401,0.13583848406265542,0.31215778822936135,0.15117625283812686,0.258675204095403,0.12702045628577485,0.17509788021451556,0.24503386322723308,0.2234451888184319,0.1950061208277596
fur_Latn,0.00620815514647588,0.09347119814412963,0.16769025267553328,0.07225340345092635,0.1540815673375171,0.07932854373338971,0.11816107360002803,0.197968576161617,0.2157208137929496,0.32811307191578276,0.14177098286630407,0.1458419677420819,0.0,0.3857910084005507,1.0682659803430852,0.14298664517070225,0.2160655875457751,0.5440723411848909,0.34063763140671277,0.1030530361391162,0.11819881223450412,0.18231395513723525,0.09357151252158902,0.30761321197624536,0.2543633919997874,0.6229403433046805,0.2670432485596126,0.202975193868131,0.007306486421924774,0.2384264389150017,0.09159749364120451,0.09058807225830323,0.19351211911491317,0.13345160969478642,0.2768679409356656,0.17669642784159656,0.3737699173088549,0.5328775237930499,0.09477407377207347,0.21039258943042194,0.21434845964165827,0.2606227565641248,0.19704890654734708
