,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,dik_Latn,dzo_Tibt,eng_Latn,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,0.24373511013796606,0.09735540431404394,0.18920858939700633,0.058461829283927944,0.06123948945714342,0.11922819344757146,0.07462609380685278,0.07555472274435746,0.281334442290155,0.1972222986473944,0.07992270214033506,0.09372325837263053,0.19767859124039888,0.006342689170874018,0.16582078276691853,0.09702329482310125,0.21403438209579836,0.02177631335175791,0.05097244956104925,0.08164555003009775,0.12501264232018866,0.08406002222730526,0.07037695246550262,0.14370471279886968,0.04900842478910387,0.06316432200729716,0.22253249590157745,0.02634492152849069,0.09726794332078252,0.007038897718287249,0.02046646138225581,0.04522367979243815,0.1365263240683186,0.18848288808237088,0.030721979881172375,0.10877303497405696,0.08183516980364601,0.12429618857318374,0.2057135716643419,0.0673956334352499,0.09883443869446144,0.12858393346610117,0.08435763228674299
ace_Latn,0.12597615215727243,0.23327332744329374,0.13390693422980654,0.14385094074394494,0.10949464477705877,0.15659900131430096,0.12441692812750266,0.12026300628106629,0.15954513858608924,0.2047835356946651,0.08940188440792529,0.08281034014908903,0.15393375333411777,0.16687891348674613,0.03913302222369302,0.07164467642096406,0.15044782481180705,0.28184504605349886,0.05977760959397552,0.08087501062569441,0.1305451172663075,0.1476515457028574,0.10258350666369953,0.09969173739090643,0.0688452043044108,0.048080809918875644,0.10808646771143554,0.15380232050841758,0.06514798762547068,0.07650243975787874,0.22950287533234523,0.04573787667486172,0.06821122671820305,0.05463118959459725,0.08140932861982511,0.1169491608627693,0.07530848588062543,0.09481359347878389,0.0960744041065614,0.06903438529496142,0.06667338107229756,0.13381822644691693,0.08856792096954823
ary_Arab,0.14138920056102702,0.2002352589925373,0.2499911655403768,0.26468072257447256,0.0958479192741773,0.1359216541856267,0.09095309571206833,0.08539906592001925,0.16653195580592314,0.18278917279769685,0.08805819295205472,0.13175883818248257,0.1503866488559478,0.02379449121000347,0.18036213530525522,0.14457252871584114,0.25974811063339187,0.0458534409375926,0.045303948567768856,0.10097528363867136,0.18298521898961517,0.11691574847509562,0.09096281134174466,0.3461095783318436,0.05909034387772514,0.07483608274111898,0.2509142123202042,0.040158347867984355,0.1247487317459507,0.007193975910849673,0.006309991115306619,0.05017378540471728,0.09943668786864811,0.132345057257439,0.03269111394104372,0.1047525996983533,0.12776869026066048,0.21554359294532552,0.19426622787030903,0.1226445410435434,0.1338765433034012,0.11564328731374546,0.07677736865627938
arz_Arab,0.16025812256813418,0.1990715578413495,0.28925818063194025,0.3378589240256123,0.10407455175748642,0.18214183894514188,0.09382631426953242,0.08366512980604146,0.17337344669324456,0.18527648386259335,0.13179390895761398,0.0997267011942988,0.14610270170228343,0.020486539041376317,0.12914659566471534,0.16144537351567373,0.2677263965090666,0.04696471839209989,0.04517871247780685,0.103108972843826,0.19418458121302332,0.13021343415589096,0.09141642734281162,0.24467877227947848,0.06142827335839794,0.0692057069423367,0.14023473708852754,0.03708839211630926,0.14061173474392583,0.008564474501798104,0.010767179948808533,0.06475541183609684,0.15676656277690296,0.20574372069337027,0.037900105053836966,0.1057113642258972,0.11453547476448002,0.20863707498050016,0.19020920056947352,0.09921097005334134,0.13059942240586422,0.11817283878492484,0.07561331027701834
bam_Latn,0.24196869550859001,0.1341502189086563,0.24136216159778567,0.06364825615649619,0.21936659878358422,0.13768984184382424,0.104694475480337,0.11472911262059707,0.297064945187664,0.14554806008792856,0.13850591351648778,0.12845651025151583,0.08928593709310668,0.0997915247148269,0.04617493978746327,0.10325512120489481,0.1692431321042509,0.32740145825716727,0.0771149794354913,0.08303921919308965,0.1652985477306711,0.11909515976481092,0.17947623384686848,0.14334488506161816,0.08466612159891497,0.08062291298493696,0.1440050465183405,0.1230167773701906,0.1053964610709,0.017199683786488187,0.1496689542717705,0.12063544601528718,0.0832465877697799,0.045137634148375,0.19025181165848576,0.1308878033798535,0.07602650826067879,0.1306208033202928,0.13814437093572604,0.16094341104423163,0.15035806707028107,0.113110436010405,0.09194065546423491
ban_Latn,0.1714912491812524,0.09282718886940909,0.186474275499572,0.16656125181863035,0.11060962998571261,0.26117205379936154,0.12090836104661169,0.07511965759316523,0.149625862308678,0.25438480911769773,0.12425143433055709,0.05176736928255324,0.14481842656999372,0.2816437836859224,0.041004517536981214,0.05528148171110157,0.14602178769484758,0.2865402685716847,0.06465619574039602,0.08021646828182677,0.10191292704654405,0.12304569522776618,0.15001164400361874,0.06545005768639554,0.08314567524528518,0.040682703889881267,0.0591068889248161,0.1929916943915898,0.058724051603942735,0.0904950466594105,0.21827604249566168,0.06841495946857822,0.0784750504957197,0.06179298179698337,0.06542022667836242,0.1294565486239319,0.106028084320528,0.05236329945275101,0.09704991851125433,0.08182203560423325,0.0451589265372294,0.07462635455796376,0.07798648166114472
ben_Beng,0.18482335180203366,0.17771368195507314,0.1791863682289634,0.07738583559148655,0.06355432388770074,0.18176065190824195,0.2895352173702495,0.10236249052865229,0.06954014562584701,0.20776944290094615,0.08471063500359513,0.0859330265345393,0.15480720986822016,0.03128053509653226,0.18360085090664535,0.11480032074650669,0.23195463579587836,0.041967338664738,0.07096255228290665,0.19761455492863517,0.10880652442387699,0.12258522872642276,0.137382488472667,0.20285363939802664,0.06175116708994943,0.09925223735508157,0.23825977977931426,0.06476855751389714,0.12192521591546887,0.012400579807101448,0.08740524752899893,0.06018485810455636,0.09963898713496482,0.12233602011638436,0.058156968396577254,0.13707759194701488,0.08860125159189391,0.13014739025679892,0.19443806373699415,0.15281017268522523,0.13053667272560435,0.1003030477641177,0.11365878731179137
bho_Deva,0.15278856384935435,0.13877421825630512,0.186339864898681,0.06937303555362681,0.06548395774336048,0.1483203004809589,0.060373661632155504,0.27637929793984667,0.04360164139661733,0.15191644893378747,0.10598899736419386,0.10088362151955738,0.17625311412478495,0.026071484778163383,0.140255847412241,0.11718034391858431,0.22370406959908248,0.5723717723997012,0.050123116397556365,0.17070146934202138,0.15859125685040562,0.24946023003015433,0.07368297896709827,0.288136760448744,0.05239606558557267,0.07208313527941583,0.24751753926303982,0.7798651588566339,0.09538085120754715,0.007813712228031289,0.07526567175373801,0.04192662427897753,0.06429231344360464,0.09999720096798918,0.028799214834396014,0.15205345399525183,0.07539936351429356,0.11895874912923705,0.21782903142105003,0.09560443759256282,0.14443771110370296,0.10984253303610984,0.09567318696054718
bjn_Arab,0.20247202268760375,0.11397795442312053,0.17350654066229376,0.06975865954712832,0.05977804160703374,0.1291637878319743,0.07984362587133378,0.07203949970524377,0.2993909905042552,0.17741608420423685,0.07529764585031595,0.077075584198505,0.166689872354058,0.00661142501030402,0.14758851746206234,0.12701842511049524,0.18103538227049426,0.018180098900167883,0.058240823344960356,0.06641225452868287,0.12430806398925102,0.09339001780311633,0.05999232920828895,0.14278160059391626,0.0619456480732574,0.05970053260421025,0.15323133444178963,0.02420705264220922,0.09229312875149707,0.007290877320804085,0.009763552272984663,0.06155882494010212,0.12122694992170567,0.09863113660876048,0.022297939038869022,0.08229100844440353,0.08087558349203851,0.1436679087626705,0.1796919508678734,0.11337133604962202,0.10365372926485796,0.15799434496874115,0.07847685867189008
bjn_Latn,0.13048953493148063,0.12681301475463694,0.22110071079596658,0.18328933559974933,0.13361133985603332,0.1983121944366709,0.09041072967199829,0.06487509315275741,0.15162910891895612,0.5221587521996449,0.06467277754281783,0.061636670431418045,0.13358105339393717,0.25677412941223793,0.04216894359822122,0.07533412420655877,0.1438323500324513,0.24709208584984244,0.08346005926733982,0.11012409007707641,0.1751121684638468,0.09905167915463016,0.0890660792630281,0.06733969042648882,0.08235082637742622,0.04555749227472167,0.04570504265653165,0.1855757654102389,0.07133618157235534,0.08673076196296574,0.19296990528353852,0.08734692921535145,0.06049185432096382,0.09035864607376005,0.07330531030139284,0.13879519309377633,0.09726352932361237,0.07614888249634238,0.11210973200536899,0.10058995399496146,0.025691979760180714,0.08480491230793567,0.10842670440377271
