,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,11.792061483116925,6.667951996293271,2.669118136100621,5.017316705681104,5.226879342484876,4.246625405126051,8.993417688384033,8.879518327602607,5.0471660125366276,12.503600938572637,9.36801856950432,6.369984748940665,6.582812006743369,10.874785130285888,5.8644743077067645,7.812105365593777,11.299168002146626,2.6028951064004118,6.476739915439519
ces,6.980554055910224,2.037149849571392,1.2682206973770933,1.484059566403881,1.5528932230141357,1.843190497909866,2.2590075677204453,2.862375100877034,1.8979438941864921,3.879084402894697,2.093842588238256,1.5140327030314271,1.6792068100150974,2.151047684812034,2.3992875240092424,1.9204829028622896,6.937804466835017,2.8914891979117794,2.0615685196121207
dan,6.855780606004519,1.947181389144395,1.4751383048586004,1.582935446965877,1.4361869756443923,1.3883844019750478,1.4942004651701173,3.271911731380091,1.7625204070477924,2.544303898007667,1.6697673227923804,1.6488441563773018,1.4624768652324125,1.8512788122628028,1.8563318767150803,1.620264062129099,5.885976868134138,2.1492733423014023,2.2454507506314685
deu,7.032779797938399,2.510487218272708,1.6361701717672692,1.3849145839983752,1.389720519350467,1.4047240388309925,1.6365086801594917,4.087463373659174,1.8719152497858997,2.7658350337661353,1.7815091613487686,1.4990487277162168,1.5022068660296066,1.667289125395147,2.549718683756992,1.495505375809707,6.489557944810483,2.7051439856915045,2.144756029118579
eng,7.89209095127315,1.8111863032848743,2.0775772294463613,1.6711737215174585,1.3937612186216617,1.3833279053301941,1.6076682131546474,4.788632144830466,1.632799287802307,3.6343279513441527,1.913235180107085,1.3416433401404069,1.3305021728365143,1.8422262670637328,2.0390735575554744,1.5291349017516294,5.804370952489986,2.6282186406977446,2.134449902249686
fin,7.340208309904468,4.1981170076717715,1.3912923571929028,1.4579063037493223,1.3552354672395845,1.3810450583634468,1.4918629831398045,4.148443957927262,1.712000815895328,4.758608509559837,2.585081241675282,1.249762083513836,1.4394623644963664,1.6379130249813165,2.8563703752667164,1.5300533568315318,6.426529917196406,3.200961235772939,2.099679833490433
fra,7.619939171579625,1.8489316996675522,1.0979751992903717,1.51665789742167,1.1872200704402476,1.248942121184482,1.2085402390832358,4.4610840056273835,1.4445674879328854,3.060004088458237,1.5903919644405038,1.1243860026888537,1.2542344283486127,1.6463225223908529,2.1126831645660498,1.5734003336342075,6.330666686112372,2.1995187741805813,2.058442758737191
hrv,7.376416687761207,1.7815249252609338,1.3820032365713826,1.4252693786246786,1.4009345970668594,1.40882296207972,1.593616605692049,2.821432332754493,1.7753715330999584,4.864052890567386,3.002602242111924,1.2297669923834138,1.3476938999237,1.774217716838141,2.705822812256145,1.4721618719678866,7.80115115706531,3.471168062302627,1.8887313187191084
hun,7.809859095576717,1.915352084640025,1.4481528698177892,1.5482400454497538,1.4443955708838716,1.4904949564038803,1.6547852182971063,4.698438627863988,1.8053929229343169,3.1971119411732536,2.1250923903063166,1.4271220770426438,1.4452920679872752,2.3042071272913613,2.3087545768805686,1.8179424740592527,7.316608639273818,2.485594911169046,1.956392880803711
ita,7.369230403884883,1.9105435581392696,1.450509190677998,1.4169037998333078,1.311153932234619,1.3157813051896832,1.4466286768438985,4.838745870717163,1.8338465377327111,4.797081748334454,2.3550119489521024,1.2553619384292958,1.4054005291266582,1.7663795567533342,3.1902112427922997,1.5017432007444504,7.554208965735468,3.786387770860654,2.0585272248324458
lav,6.069290411749864,2.015195384391976,1.8409505402612512,1.6299053985768492,1.767051935641037,1.5509503268904636,1.7080204356966493,2.9713402048038606,2.9596505812900227,4.557916295954297,3.7617919517812863,1.8058676860706349,1.5980781164168554,2.5235582341296725,2.3097187047857846,1.6294184331814918,4.825252148130947,3.0060570130507545,3.292983263402707
lit,6.691303730117393,2.0064143077540417,1.7083293043958712,1.5701319583410491,1.5065194999866556,1.6388486655353474,1.7154836453841384,3.9659995289024668,2.3727361279739303,5.719144111885324,4.188416489138301,1.5460227592885134,1.599090039707831,2.457741503304714,2.5602990288187213,1.4665519325576712,6.680791458727995,3.4420230248224986,2.239291794529347
nld,7.393016432116567,1.685052085769183,2.5112177338930275,1.4422199849528299,1.3165914618824353,1.3223401672013948,1.5236733743653978,3.3488024183164935,1.6026338375342828,3.351033268203397,1.7240890457648685,1.3076510150941758,1.2217329125409686,1.7545336546949877,1.9782271816628778,1.4030196017290935,6.178843357476544,2.542558452357184,1.8804896846837842
nob,7.0324606689132585,1.9991502632713918,1.7336449862586236,1.4816788142102153,1.4137928338563854,1.316282144166519,1.4725531468375224,3.031724793979405,1.6625995102994697,2.5501540424519735,1.6487578765249362,1.4793534211789303,1.448298764839101,1.802653423926355,1.8716446133544618,1.6406022088625178,5.713401315107778,2.1786999141322956,2.3124083479872994
pol,6.50910192177831,1.682112365476375,1.3254713109495977,1.3547081954848086,1.3918226103296814,1.4147661250727246,1.56412400617741,3.1430594823468603,1.6979751138006087,4.091920726648846,2.2987218375820184,1.1647381511355404,1.2970716719985913,1.876687418527378,2.3908331705733095,1.3423470657208758,6.891121722891865,2.58990720917608,1.6526559090132276
por,6.927307597793819,1.6974645359234573,1.4161278590655417,1.6140417100052051,1.2895860464591664,1.3527539346318431,1.2714252542082398,3.657224860041409,1.6836852960879338,4.358371669290803,2.407819463585482,1.236719626491654,1.2981229223705437,1.9627428446742794,2.2172928868968116,1.481121641563323,5.33370058828185,2.64925098325045,2.0874573651762884
