,acn,aeu,ahk,atb,bzi,lhi,lhu,lis,lsi,mhx,mya
acn,4.221168973189464,0.08141133425032265,0.09199894238020434,0.06791954296502212,0.0,0.14554217387530155,0.28621959532324937,0.0,0.6868048028350877,0.40378965056618554,0.0
aeu,0.0804142198155855,4.186119344086656,0.23826809299808005,0.0,0.0,0.2146333377566485,0.052627158323278245,0.011784378806003915,0.15965423438448756,0.012130313398420967,0.07883986511077623
ahk,0.15512441288985102,0.14041659160965203,3.907691737463608,0.021615075908959724,0.0,0.21005089770879515,0.037854358386945286,0.0,0.022392834020555696,0.0,0.0
atb,0.34555464255880075,0.02697953804392128,0.17793226406443452,2.001480068576406,0.08350148773058308,0.0,0.02441287937085601,0.07473640566901985,0.14699173687797717,0.3097206573129956,0.010436960309833765
bzi,0.13266988447806405,0.10122267643531657,0.06078896790958499,0.0,3.1122082313478927,0.030207606361466688,0.0,0.6650767490389864,0.22667389600654708,0.0,0.0
lhi,0.050932711567953426,0.33648000322075866,0.1327847388220711,0.008172366200803083,0.0,2.497453447212104,0.011201819007969682,0.17430939609531926,0.2275249704729152,0.0,0.0
lhu,0.0,0.0,0.0,0.027247519119461217,0.14074022568089362,0.17235023659237125,4.344029936063315,0.0,0.10759952362688452,0.25661733138655407,0.0
lis,0.010121876133318608,0.0,0.037248783232106675,0.0,0.1920873815186379,0.0,0.0,3.843505920278007,0.40844023069766067,0.009054385839319501,0.0
lsi,0.14747451034104753,0.12444139408323807,0.0,0.2211626099335735,0.0,0.0,0.0,0.1435013166307062,2.857449263578733,0.4219847844423743,0.00079424794801497
mhx,0.18930631394390485,0.0910787016702983,0.0,0.48773677340002486,0.009185929676204907,0.1401646473580902,0.07795596109075831,0.16092772889150275,0.3170332785066101,3.522820797888439,0.0
mya,0.27496550769307504,0.0,0.3217492270562978,0.14363456144063314,0.0,0.0,0.0,0.10564979165956512,0.0,0.24666483536062778,3.2302545886801326
