,acn,aeu,ahk,atb,bzi,lhi,lhu,lis,lsi,mhx,mya
acn,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
aeu,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
ahk,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
atb,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
bzi,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
lhi,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
lhu,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
lis,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
lsi,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
mhx,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
mya,17.087392211088222,17.48954704033431,18.737196940935554,16.090219157650452,16.59704442827638,18.264067556878018,18.468950890376462,16.405843046178013,13.667992872926266,16.869891570702197,16.409925275393675
