,fur_Latn,ita_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,scn_Latn,spa_Latn,srd_Latn,szl_Latn,vec_Latn
fur_Latn,25.921168613953643,12.78860653791556,15.043864755034786,9.988983076339348,13.113498683573422,12.984506506651432,11.5486172051363,9.655678460136778,13.082126090005428,12.722009948615725,15.809551177862858
ita_Latn,16.70438049784869,22.624228625892613,17.574571272556845,9.352032426510355,13.530622339936476,11.097691518343924,15.045168343297115,11.358193556213896,15.029523663019356,12.140346072902393,19.73874423703069
lij_Latn,15.071623346145364,13.054487716615126,25.96222475705311,9.24692440116096,12.761669605698833,12.915946966531012,14.119580332606956,9.427655694037265,14.216887863890154,13.09039596472796,17.6680146912607
lim_Latn,11.0241135686067,7.0530460496130845,10.583457439665583,21.57463588243792,6.645350533054069,10.463662047834932,7.823942624674701,7.0752631402380155,11.0368523356211,11.52679849998992,10.036834517707469
lmo_Latn,13.697429213009425,10.517646948140516,13.366075609571029,8.502442807745366,15.04009971650972,11.879181630197207,10.989895383754602,8.089668782631176,12.44895528928344,11.66354674123051,15.505984187244326
ltg_Latn,8.708005575226338,2.390343384071337,7.131797666449397,5.714156621514423,3.300015199520381,21.486403977839903,5.530665983668029,2.9022738137244164,6.718504807826291,7.534891043577178,7.679479541151937
scn_Latn,13.072419672640835,11.302797711465072,13.29462833431185,7.648918039987761,9.870504159459852,13.16577621426874,19.731306389307655,5.129530532333669,14.325755536318288,12.715723861743328,13.762084881707205
spa_Latn,12.510804524188387,11.494717173675758,12.656887122496356,10.314433220922709,9.24719953157535,9.268370483939329,9.523169242813095,23.928506168703375,14.5713065599858,11.069468744321131,15.275390024627397
srd_Latn,14.354800894491424,14.006205157362594,14.876775635515047,9.947821509930108,11.308635934329851,12.104231062871024,13.126404098377106,11.580959612089549,23.595579271597288,12.412767683076405,15.705487580118977
szl_Latn,7.003380270148088,2.5570872885938822,8.144026440615749,8.293726850235412,5.463985555295241,14.39238684125882,5.6265492856963455,3.326684225319238,7.406072675372152,22.444070356810983,7.626983153219963
vec_Latn,15.88168711755172,15.00234836942838,16.817121044981782,10.274656449970983,14.535969723523143,14.002654693145086,14.822959999469928,9.613369586685662,15.326652924709276,13.37354238321598,24.211770207301083
