,fur_Latn,ita_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,scn_Latn,spa_Latn,srd_Latn,szl_Latn,vec_Latn
fur_Latn,9.617989931568856,5.336636978751556,5.343768536291564,3.982287079382525,7.150192995371508,3.83933072029982,6.2855343948053966,3.666392068103782,5.841747285643839,2.3102772490640993,7.029255118315388
ita_Latn,5.849650035084722,9.347821379973976,5.664793656338745,3.7034225276667296,7.464997814055393,3.1323975545825022,7.52585539956136,3.2510000638624166,5.140667908487004,2.797243117066156,8.60257031077346
lij_Latn,5.963608308876926,6.830365968821879,9.30345873083295,3.89388237743086,7.791200961350371,4.04267804349665,7.79083283679446,3.2562588990722388,5.517645300734151,2.9428938698326266,7.907102674977661
lim_Latn,3.738307388078681,3.659783911851453,4.156698274696276,8.856227202827471,4.054509944282484,3.1308379125306707,3.4953282533721723,1.969396874644311,3.130531241297616,2.394427201590599,5.747048212091661
lmo_Latn,6.756467977594516,6.07848198889121,4.934149439294634,3.78102011749315,7.979286967130269,3.9907300877036898,6.459322974821494,3.1889244865378017,3.9284853966211903,2.7037784855911844,7.31803589558184
ltg_Latn,3.663917998513671,3.760151765267935,4.446501034925424,3.104688492919187,5.073268283191921,10.254352883472674,6.785569568559738,3.765716578665142,3.1455150841926827,2.83357709411795,4.7134964034398426
scn_Latn,5.23871182941122,6.106287747082218,4.7407248683436,3.4343816499698745,6.527313530777123,3.795313472657634,9.462757876193905,3.640626499653843,5.2610643641907515,2.4796125774459754,7.033953141105184
spa_Latn,4.059665688918206,5.516919097382532,4.038291360525506,4.365521072452965,5.577760866326244,3.0331312769555963,4.787125982113739,8.1702987278238,5.145903702691266,2.400555373817536,6.547511791495918
srd_Latn,5.531087621738413,5.505300478716618,4.823307580676634,3.972604893612404,6.443966662658807,3.3378041782921786,6.550684154023709,4.178871771764426,9.236426912606094,2.201236468440065,6.797087869336954
szl_Latn,2.5559379266453166,3.6554626827295698,3.2435488799432215,3.710054153682215,4.445332985588717,3.117599734575212,6.634554039236876,1.7738375753586544,2.5052515810801745,8.542707334258894,3.8105785163755943
vec_Latn,6.566576247839773,7.564222079540774,6.5699132186622435,4.095589166747579,7.690218313427096,4.284401210762429,8.468667264332916,3.6587042429222625,5.9245638434309615,2.856067327736995,10.394894443220776
